Date	Flow_influent_[m3/d]	Flow_to_bio_[m3/d]	Flow_out_[m3/d]	SS_influent_[mg/l]	VSS_influent_[mg/l]	COD_influent_[mg/l]	COD_influent_filtered_[mg/l]	BOD5_influent_[mg/l]	N_tot_influent_[mg/l]	NH4_N_influent_[mg/l]	P_tot_influent_[mg/l]	PO4_P_influent_[mg/l]	pH_[-]	SS_influent_to_bio_[mg/l]	VSS_influent_to_bio_[mg/l]	COD_influent_to_bio_[mg/l]	COD_influent_filtered_to_bio_[mg/l]	BOD5_influent_to_bio_[mg/l]	N_tot_influent_to_bio_[mg/l]	NH4_N_influent_to_bio_[mg/l]	P_tot_influent_to_bio_[mg/l]	PO4_P_influent_to_bio_[mg/l]	SS_Line_1_[mg/l]	VSS_Line_1_[mg/l]	COD_Line_1_[mg/l]	SV_Line_1_[ml/l]	SVI_Line_1_[ml/g]	DSV_Line_1_[ml/l]	DSVI_Line_1_[ml/g]	SS_Line_2_[mg/l]	VSS_Line_2_[mg/l]	COD_Line_2_[mg/l]	SV_Line_2_[ml/l]	SVI_Line_2_[ml/g]	DSV_Line_2_[ml/l]	DSVI_Line_2_[ml/g]	SS_Line_3_[mg/l]	VSS_Line_3_[mg/l]	COD_Line_3_[mg/l]	SV_Line_3_[ml/l]	SVI_Line_3_[ml/g]	DSV_Line_3_[ml/l]	DSVI_Line_3_[ml/g]	SS_Line_4_[mg/l]	VSS_Line_4_[mg/l]	COD_Line_4_[mg/l]	SV_Line_4_[ml/l]	SVI_Line_4_[ml/g]	DSV_Line_4_[ml/l]	DSVI_Line_4_[ml/g]	SS_RAS_1_[g/l]	SS_RAS_2_[g/l]	SS_RAS_3_[g/l]	SS_RAS_4_[g/l]	Total_SRT_Line_1_[d]	Aerobic_SRT_Line_1_[d]	Total_SRT_Line_2_[d]	Aerobic_SRT_Line_2_[d]	Total_SRT_Line_3_[d]	Aerobic_SRT_Line_3_[d]	Total_SRT_Line_4_[d]	Aerobic_SRT_Line_4_[d]	DO_Line_1_setpoint_[mg/l]	DO_Line_1_value_[mg/l]	DO_Line_2_setpoint_[mg/l]	DO_Line_2_value_[mg/l]	DO_Line_3_setpoint_[mg/l]	DO_Line_3_value_[mg/l]	DO_Line_4_setpoint_[mg/l]	DO_Line_4_value_[mg/l]	Fe_to_bio_L1_[l/h]	Fe_to_bio_L2_[l/h]	Fe_to_bio_L3_[l/h]	Fe_to_bio_L4_[l/h]	SS_out_[mg/l]	VSS_out_[mg/l]	COD_out_[mg/l]	COD_filtered_out_[mg/l]	BOD_out_[mg/l]	N_tot_out_[mg/l]	NH4_N_out_[mg/l]	NO3_N_out_[mg/l]	P_tot_out_[mg/l]	PO4_P_out_[mg/l]	Temperature_[C]	Var.87
28-06-2017	48391	53518	52009	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,976111	15,9761111	16,846667	16,846667	9,708889	5,8575	9,060694	4,250972	8,566806	4,548056	8,566806	5,332083	0,9159453	0,8772321	1,0740157	0,7810013	0,9471295	0,6066545	0,9589572	0,5867837	15,57375	16,73055556	20,629028	18,97222222	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
29-06-2017	76002	84016	81304	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,042917	16,0429167	17,007639	17,007639	10,811389	6,397222	9,839861	4,586389	9,209306	4,774028	9,209306	6,33375	0,9719043	0,7648504	1,116213	0,6657702	0,9967047	0,5585077	1,2127848	0,4998129	4,572917	4,79819444	6,622222	6,01083333	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
30-06-2017	125627	138756	136567	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,093056	16,0930556	17,151528	17,151528	12,037639	7,213194	10,930417	5,345278	10,008056	5,244444	10,008056	8,225139	1,1218807	0,7510148	1,2205757	0,8007559	1,0772358	0,6392361	1,2997677	0,6888988	2,955139	3,24680556	5,874722	5,71	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
01-07-2017	69042	74984	74101	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,945139	15,9451389	16,906944	16,906944	14,736667	9,12875	14,069444	7,418611	12,550694	6,905556	12,550694	12,288194	0,8984524	0,8165854	1,0802372	0,9052562	0,8804552	0,6204689	0,8800535	0,7042373	2,568194	3,07486111	2,131389	2,14055556	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
02-07-2017	52263	58439	58048	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,963889	15,9638889	16,720833	16,720833	19,586528	12,266528	19,437639	10,665833	16,924722	9,494722	16,924722	17,25875	0,8512285	0,8845963	1,05337	0,9852523	0,8500688	0,6353958	0,8833103	0,7233556	44,522639	49,41208333	23,943194	22,98388889	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
03-07-2017	77284	84954	82962	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,96125	15,96125	16,969444	16,969444	26,885694	16,72125	26,243472	14,559861	22,689861	12,702361	22,689861	21,530694	0,9035629	0,9181707	1,1217687	1,0789404	0,8945839	0,6790468	0,9421607	0,6796501	75,9225	79,75027778	42,40875	38,99430556	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
04-07-2017	56898	64468	62841	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,945833	15,9458333	16,97125	16,97125	27,711389	17,146389	19,708889	10,893611	17,350833	9,790694	17,350833	14,30375	0,9406143	0,8655213	1,1602703	1,0181333	0,8885677	0,6400533	0,8938239	0,6629596	33,60625	37,83763889	7,406111	6,85569444	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
05-07-2017	49793	57250	55749	320	260	770	110	    NA	54	35	7,5	3,3	7,8	130	110	400	110	140	58	43	9,1	6,3	3010	  NA	  NA	515	171,09635	110	110	3300	  NA	  NA	700	212,12121	120	120	3500	  NA	  NA	860	245,71429	140	140	3880	  NA	  NA	810	208,76289	130	130	16,054167	16,0541667	16,675972	16,675972	26,223611	15,878611	14,770278	7,958194	13,292639	7,425139	13,292639	9,16875	0,8840413	0,8899522	1,1303235	1,0736842	0,786413	0,6420237	0,9099185	0,5726839	38,652778	41,00583333	23,909583	29,76138889	6,4	3,9	27	23	5,2	2,6	0,096	1,5	0,64	0,4	  NA	
06-07-2017	48791	55073	54244	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,989583	15,9895833	16,816667	16,816667	19,498889	11,396944	10,304722	5,316667	11,0675	5,836667	11,0675	5,52875	0,8933806	0,9043317	1,1453939	1,0874026	0,7423497	0,7071365	0,9468579	0,61807	74,796667	76,49708333	39,804167	51,80166667	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
07-07-2017	49070	52556	51596	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,026111	16,0261111	16,661528	16,661528	14,954028	8,669722	7,634028	3,907917	9,241528	4,753194	9,241528	4,066528	0,8822353	0,8736029	1,1666264	0,9359951	0,8463215	0,6215651	0,8878747	0,490691	103,967917	114,3136111	93,392222	98,47	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
08-07-2017	49039	54428	53926	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,027083	16,0270833	16,684444	16,684444	12,380556	7,259722	7,006667	3,66875	8,257917	4,226389	8,257917	3,611389	0,8787559	0,9081243	1,1705959	1,1418936	0,820411	0,6042534	1,0132877	0,5876072	78,439028	75,72680556	59,610417	57,28027778	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
09-07-2017	44226	48150	48172	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,974722	15,9747222	16,672639	16,672639	14,528611	8,462639	8,622083	4,557361	10,755139	5,416806	10,755139	4,311528	0,8415365	0,8849057	1,1233883	1,1448795	0,7695833	0,6174397	0,8386111	0,6212871	18,183889	19,08361111	4,550833	4,85763889	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
10-07-2017	49041	53546	52656	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,097361	16,0973611	16,735972	16,735972	18,121558	10,413213	11,825452	6,152851	16,504312	8,13936	16,504312	5,76217	0,8520913	0,9173858	1,1746522	1,032518	0,8419214	0,6427778	0,8480349	0,5746183	13,23625	13,53041667	7,966806	7,79986111	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
