Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ200528-154,MQ200528,LIB-Damhusaen-LT-D-57,53662,"",Winter,D,mean,Damhusåen-D,2020-01-20,4,2020,,"","","","","","",,,,,,,,,
MQ200528-155,MQ200528,LIB-Damhusaen-LT-D-82,56229,"",Winter,D,mean,Damhusåen-D,2020-01-27,5,2020,,"","","","","","",,,,,,,,,
MQ200528-156,MQ200528,LIB-Damhusaen-LT-D-84,53253,"",Winter,D,mean,Damhusåen-D,2020-02-03,6,2020,,"","","","","","",,,,,,,,,
MQ200528-157,MQ200528,LIB-Damhusaen-LT-D-86,54473,"",Winter,D,mean,Damhusåen-D,2020-02-12,7,2020,,"","","","","","",,,,,,,,,
MQ200528-158,MQ200528,LIB-Damhusaen-LT-D-88,55312,"",Winter,D,mean,Damhusåen-D,2020-02-18,8,2020,,"","","","","","",,,,,,,,,
MQ200528-159,MQ200528,LIB-Damhusaen-LT-D-90,56558,"",Winter,D,mean,Damhusåen-D,2020-02-24,9,2020,,"","","","","","",,,,,,,,,
MQ200528-160,MQ200528,LIB-Damhusaen-LT-D-92,54130,"",Winter,D,mean,Damhusåen-D,2020-03-02,10,2020,,"","","","","","",,,,,,,,,
MQ201009-247,MQ201009,LIB-Damhusaen-LT-D-94,12967,"",Winter,D,mean,Damhusåen-D,2020-03-09,11,2020,,"","","","","","",,,,,,,,,
MQ201009-248,MQ201009,LIB-Damhusaen-LT-D-96,33336,"",Spring,D,mean,Damhusåen-D,2020-03-24,13,2020,,"","","","","","",,,,,,,,,
MQ201009-249,MQ201009,LIB-Damhusaen-LT-D-98,36355,"",Spring,D,mean,Damhusåen-D,2020-04-07,15,2020,,"","","","","","",,,,,,,,,
MQ210618-68,MQ210618,LIB-Damhusaaen-LT-D-136,,"",Summer,D,"",Damhusåen-D,2020-09-04,36,2020,,"","","","","","",,,,,,,,,
MQ210618-69,MQ210618,LIB-Damhusaaen-LT-D-138,,"",Summer,D,"",Damhusåen-D,2020-09-09,37,2020,,"","","","","","",,,,,,,,,
MQ210618-70,MQ210618,LIB-Damhusaaen-LT-D-140,,"",Fall,D,"",Damhusåen-D,2020-09-22,39,2020,,"","","","","","",,,,,,,,,
