Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190301-166,MQ190301,LIB-Hirtshals-LT-235,47232,"",Winter,"","",Hirtshals,2017-01-30,5,2017,,"","","","","","",,,,,,,,,
MQ190301-167,MQ190301,LIB-Hirtshals-LT-241,98532,"",Winter,"","",Hirtshals,2017-02-09,6,2017,,"","","","","","",,,,,,,,,
MQ190301-168,MQ190301,LIB-Hirtshals-LT-247,107841,"",Winter,"","",Hirtshals,2017-03-13,11,2017,,"","","","","","",,,,,,,,,
MQ190301-169,MQ190301,LIB-Hirtshals-LT-253,90246,"",Spring,"","",Hirtshals,2017-03-22,12,2017,,"","","","","","",,,,,,,,,
MQ190301-170,MQ190301,LIB-Hirtshals-LT-259,106222,"",Spring,"","",Hirtshals,2017-04-05,14,2017,,"","","","","","",,,,,,,,,
MQ190301-171,MQ190301,LIB-Hirtshals-LT-265,7809,"",Spring,"","",Hirtshals,2017-04-28,17,2017,,"","","","","","",,,,,,,,,
MQ190301-175,MQ190301,LIB-Hirtshals-LT-289,41828,"",Summer,"","",Hirtshals,2017-07-06,27,2017,,"","","","","","",,,,,,,,,
MQ190301-176,MQ190301,LIB-Hirtshals-LT-295,57919,"",Summer,"","",Hirtshals,2017-07-26,30,2017,,"","","","","","",,,,,,,,,
MQ190301-177,MQ190301,LIB-Hirtshals-LT-301,67367,"",Summer,"","",Hirtshals,2017-08-14,33,2017,,"","","","","","",,,,,,,,,
MQ190301-178,MQ190301,LIB-Hirtshals-LT-307,97794,"",Summer,"","",Hirtshals,2017-08-22,34,2017,,"","","","","","",,,,,,,,,
MQ190301-179,MQ190301,LIB-Hirtshals-LT-313,63158,"",Fall,"","",Hirtshals,2017-09-25,39,2017,,"","","","","","",,,,,,,,,
MQ190301-180,MQ190301,LIB-Hirtshals-LT-319,69411,"",Fall,"","",Hirtshals,2017-10-10,41,2017,,"","","","","","",,,,,,,,,
MQ190301-181,MQ190301,LIB-Hirtshals-LT-325,74002,"",Fall,"","",Hirtshals,2017-10-26,43,2017,,"","","","","","",,,,,,,,,
MQ190301-182,MQ190301,LIB-Hirtshals-LT-331,46056,"",Fall,"","",Hirtshals,2017-11-13,46,2017,,"","","","","","",,,,,,,,,
MQ190301-183,MQ190301,LIB-Hirtshals-LT-337,54543,"",Fall,"","",Hirtshals,2017-11-23,47,2017,,"","","","","","",,,,,,,,,
MQ190301-184,MQ190301,LIB-Hirtshals-LT-343,41862,"",Fall,"","",Hirtshals,2017-12-06,49,2017,,"","","","","","",,,,,,,,,
MQ190301-185,MQ190301,LIB-Hirtshals-LT-349,60222,"",Winter,"","",Hirtshals,2017-12-15,50,2017,,"","","","","","",,,,,,,,,
MQ190301-186,MQ190301,LIB-Hirtshals-LT-355,66530,"",Winter,"","",Hirtshals,2018-01-11,2,2018,,"","","","","","",,,,,,,,,
MQ190301-187,MQ190301,LIB-Hirtshals-LT-361,13688,"",Winter,"","",Hirtshals,2018-02-08,6,2018,,"","","","","","",,,,,,,,,
MQ190301-189,MQ190301,LIB-Hirtshals-LT-373,1981,"",Winter,"","",Hirtshals,2018-03-09,10,2018,,"","","","","","",,,,,,,,,
MQ190301-190,MQ190301,LIB-Hirtshals-LT-379,21037,"",Spring,"","",Hirtshals,2018-03-21,12,2018,,"","","","","","",,,,,,,,,
MQ190301-191,MQ190301,LIB-Hirtshals-LT-385,78827,"",Spring,"","",Hirtshals,2018-04-11,15,2018,,"","","","","","",,,,,,,,,
MQ190301-192,MQ190301,LIB-Hirtshals-LT-391,74996,"",Spring,"","",Hirtshals,2018-04-23,17,2018,,"","","","","","",,,,,,,,,
MQ190301-193,MQ190301,LIB-Hirtshals-LT-397,8366,"",Spring,"","",Hirtshals,2018-05-28,22,2018,,"","","","","","",,,,,,,,,
MQ190301-195,MQ190301,LIB-Hirtshals-LT-409,63281,"",Summer,"","",Hirtshals,2018-06-22,25,2018,,"","","","","","",,,,,,,,,
MQ190301-196,MQ190301,LIB-Hirtshals-LT-415,33916,"",Summer,"","",Hirtshals,2018-07-04,27,2018,,"","","","","","",,,,,,,,,
MQ190301-198,MQ190301,LIB-Hirtshals-LT-427,2836,"",Summer,"","",Hirtshals,2018-08-13,33,2018,,"","","","","","",,,,,,,,,
MQ190301-199,MQ190301,LIB-Hirtshals-LT-433,75397,"",Fall,"","",Hirtshals,2018-10-25,43,2018,,"","","","","","",,,,,,,,,
MQ190301-200,MQ190301,LIB-Hirtshals-LT-439,51756,"",Fall,"","",Hirtshals,2018-11-09,45,2018,,"","","","","","",,,,,,,,,
MQ210129-36,MQ210129,LIB-Hirtshals-LT-445,,"",Fall,"","",Hirtshals,2018-11-22,47,2018,,"","","","","","",,,,,,,,,
MQ210129-37,MQ210129,LIB-Hirtshals-LT-451,,"",Fall,"","",Hirtshals,2018-12-06,49,2018,,"","","","","","",,,,,,,,,
MQ210129-38,MQ210129,LIB-Hirtshals-LT-455,,"",Fall,"","",Hirtshals,2018-12-13,50,2018,,"","","","","","",,,,,,,,,
MQ210129-39,MQ210129,LIB-Hirtshals-LT-459,,"",Winter,"","",Hirtshals,2018-12-20,51,2018,,"","","","","","",,,,,,,,,
MQ210129-40,MQ210129,LIB-Hirtshals-LT-463,,"",Winter,"","",Hirtshals,2019-01-10,2,2019,,"","","","","","",,,,,,,,,
MQ210129-41,MQ210129,LIB-Hirtshals-LT-467,,"",Winter,"","",Hirtshals,2019-01-18,3,2019,,"","","","","","",,,,,,,,,
MQ210129-42,MQ210129,LIB-Hirtshals-LT-471,,"",Winter,"","",Hirtshals,2019-02-01,5,2019,,"","","","","","",,,,,,,,,
MQ210129-43,MQ210129,LIB-Hirtshals-LT-475,,"",Winter,"","",Hirtshals,2019-02-07,6,2019,,"","","","","","",,,,,,,,,
MQ210129-44,MQ210129,LIB-Hirtshals-LT-479,,"",Winter,"","",Hirtshals,2019-02-19,8,2019,,"","","","","","",,,,,,,,,
MQ210129-45,MQ210129,LIB-Hirtshals-LT-483,,"",Winter,"","",Hirtshals,2019-03-06,10,2019,,"","","","","","",,,,,,,,,
MQ210129-46,MQ210129,LIB-Hirtshals-LT-487,,"",Winter,"","",Hirtshals,2019-03-12,11,2019,,"","","","","","",,,,,,,,,
MQ210129-47,MQ210129,LIB-Hirtshals-LT-491,,"",Winter,"","",Hirtshals,2019-02-21,8,2019,,"","","","","","",,,,,,,,,
MQ210129-48,MQ210129,LIB-Hirtshals-LT-495,,"",Spring,"","",Hirtshals,2019-04-16,16,2019,,"","","","","","",,,,,,,,,
MQ210129-49,MQ210129,LIB-Hirtshals-LT-499,,"",Spring,"","",Hirtshals,2019-05-07,19,2019,,"","","","","","",,,,,,,,,
MQ210129-50,MQ210129,LIB-Hirtshals-LT-503,,"",Spring,"","",Hirtshals,2019-05-23,21,2019,,"","","","","","",,,,,,,,,
MQ210129-51,MQ210129,LIB-Hirtshals-LT-507,,"",Spring,"","",Hirtshals,2019-06-03,23,2019,,"","","","","","",,,,,,,,,
MQ210129-52,MQ210129,LIB-Hirtshals-LT-511,,"",Summer,"","",Hirtshals,2019-06-18,25,2019,,"","","","","","",,,,,,,,,
MQ210129-53,MQ210129,LIB-Hirtshals-LT-515,,"",Summer,"","",Hirtshals,2019-07-02,27,2019,,"","","","","","",,,,,,,,,
