Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181203-178,MQ181203,LIB-Randers-LT-486,,"","","",Randers,2018-02-05,6,2018,Winter,"","","","","","",,,,,,,,,
MQ181203-180,MQ181203,LIB-Randers-LT-490,,"","","",Randers,2018-02-12,7,2018,Winter,"","","","","","",,,,,,,,,
MQ181203-179,MQ181203,LIB-Randers-LT-488,,"","","",Randers,2018-02-19,8,2018,Winter,"","","","","","",,,,,,,,,
MQ181203-181,MQ181203,LIB-Randers-LT-492,,"","","",Randers,2018-02-26,9,2018,Winter,"","","","","","",,,,,,,,,
MQ181203-182,MQ181203,LIB-Randers-LT-494,,"","","",Randers,2018-03-05,10,2018,Winter,"","","","","","",,,,,,,,,
MQ181203-183,MQ181203,LIB-Randers-LT-496,,"","","",Randers,2018-03-12,11,2018,Winter,"","","","","","",,,,,,,,,
MQ181203-184,MQ181203,LIB-Randers-LT-498,,"","","",Randers,2018-03-20,12,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-185,MQ181203,LIB-Randers-LT-500,,"","","",Randers,2018-03-26,13,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-186,MQ181203,LIB-Randers-LT-502,,"","","",Randers,2018-04-03,14,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-187,MQ181203,LIB-Randers-LT-504,,"","","",Randers,2018-04-09,15,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-188,MQ181203,LIB-Randers-LT-506,,"","","",Randers,2018-04-16,16,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-189,MQ181203,LIB-Randers-LT-508,,"","","",Randers,2018-04-23,17,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-190,MQ181203,LIB-Randers-LT-510,,"","","",Randers,2018-04-30,18,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-191,MQ181203,LIB-Randers-LT-512,,"","","",Randers,2018-05-07,19,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-192,MQ181203,LIB-Randers-LT-514,,"","","",Randers,2018-05-14,20,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-193,MQ181203,LIB-Randers-LT-516,,"","","",Randers,2018-05-22,21,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-194,MQ181203,LIB-Randers-LT-518,,"","","",Randers,2018-05-29,22,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-195,MQ181203,LIB-Randers-LT-520,,"","","",Randers,2018-06-04,23,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-196,MQ181203,LIB-Randers-LT-522,,"","","",Randers,2018-06-11,24,2018,Spring,"","","","","","",,,,,,,,,
MQ181203-197,MQ181203,LIB-Randers-LT-524,,"","","",Randers,2018-06-18,25,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-198,MQ181203,LIB-Randers-LT-526,,"","","",Randers,2018-06-25,26,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-199,MQ181203,LIB-Randers-LT-528,,"","","",Randers,2018-07-03,27,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-200,MQ181203,LIB-Randers-LT-530,,"","","",Randers,2018-07-09,28,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-201,MQ181203,LIB-Randers-LT-532,,"","","",Randers,2018-07-16,29,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-202,MQ181203,LIB-Randers-LT-534,,"","","",Randers,2018-07-23,30,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-203,MQ181203,LIB-Randers-LT-536,,"","","",Randers,2018-07-30,31,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-204,MQ181203,LIB-Randers-LT-538,,"","","",Randers,2018-08-06,32,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-205,MQ181203,LIB-Randers-LT-540,,"","","",Randers,2018-08-13,33,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-206,MQ181203,LIB-Randers-LT-542,,"","","",Randers,2018-08-20,34,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-207,MQ181203,LIB-Randers-LT-544,,"","","",Randers,2018-08-28,35,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-208,MQ181203,LIB-Randers-LT-546,,"","","",Randers,2018-09-03,36,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-209,MQ181203,LIB-Randers-LT-548,,"","","",Randers,2018-09-10,37,2018,Summer,"","","","","","",,,,,,,,,
MQ181203-210,MQ181203,LIB-Randers-LT-550,,"","","",Randers,2018-09-17,38,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-211,MQ181203,LIB-Randers-LT-552,,"","","",Randers,2018-09-24,39,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-212,MQ181203,LIB-Randers-LT-554,,"","","",Randers,2018-10-02,40,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-213,MQ181203,LIB-Randers-LT-556,,"","","",Randers,2018-10-09,41,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-214,MQ181203,LIB-Randers-LT-558,,"","","",Randers,2018-10-15,42,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-215,MQ181203,LIB-Randers-LT-560,,"","","",Randers,2018-10-22,43,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-216,MQ181203,LIB-Randers-LT-562,,"","","",Randers,2018-10-30,44,2018,Fall,"","","","","","",,,,,,,,,
MQ181203-217,MQ181203,LIB-Randers-LT-564,,"","","",Randers,2018-11-05,45,2018,Fall,"","","","","","",,,,,,,,,
MQ201118-88,MQ201118,LIB-Randers-LT-566,,"","","",Randers,2018-11-12,46,2018,Fall,"","","","","","",,,,,,,,,
MQ201118-89,MQ201118,LIB-Randers-LT-568,,"","","",Randers,2018-11-20,47,2018,Fall,"","","","","","",,,,,,,,,
MQ201118-90,MQ201118,LIB-Randers-LT-570,,"","","",Randers,2018-11-26,48,2018,Fall,"","","","","","",,,,,,,,,
MQ201118-91,MQ201118,LIB-Randers-LT-572,,"","","",Randers,2018-12-05,49,2018,Fall,"","","","","","",,,,,,,,,
MQ201118-92,MQ201118,LIB-Randers-LT-574,,"","","",Randers,2018-12-11,50,2018,Fall,"","","","","","",,,,,,,,,
