"Date"	"Flow_influent_[m3/h]"	"Precipitation_[mm]"	"SS_influent_[mg/l]"	"pH_influent"	"BOD5_influent_[mg/l]"	"COD_influent_[mg/l]"	"N_tot_influent_[mg/l]"	"NH4_N_influent_[mg/l]"	"P_tot_influent_[mg/l]"	"Cl_influent_[mg/l]"	"Conductivity_influent_[mS/m]"	"Fat_and_oil_influent_[mg/l]"	"SV_[ml/l]"	"SS_LT_[mg/l]"	"SVI_[ml/g]"	"DSV_[ml/l]"	"DSVI_[ml/g]"	"SS_RAS [mg/l]"	"Temperature_[C]"	"Aerobic SRT_[d]"	"DO_LT1_setpoint_[mg/l]"	"DO_LT1_value_[mg/l]"	"DO_LT2_setpoint_[mg/l]"	"DO_LT2_value_[mg/l]"	"DO_LT3_setpoint_[mg/l]"	"DO_LT3_value_[mg/l]"	"DO_LT4_setpoint_[mg/l]"	"DO_LT4_value_[mg/l]"	"DO_LT5_setpoint_[mg/l]"	"DO_LT5_value_[mg/l]"	"DO_LT6_setpoint_[mg/l]"	"DO_LT6_value_[mg/l]"	"Molasses_setpoint_[mg/l]"	"PAX_[mg/l]"	"FeCl_Grunddosering_[mg/l]"	"FeCl_Topdosering_[mg/l]"	"Flow_out [m3/d]"	"COD_out_[mg/l]"	"BOD5_out [mg/l]"	"SS_out_[mg/l]"	"NH4_N_out_[mg/l]"	"NO3_N_out_[mg/l]"	"PO4_P_out_[mg/l]"	"N_tot_out_[mg/l]"	"P_tot_out_[mg/l]"
2015-01-12	2669.69569444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	10.8	2.30325581395349	1.23162393162393	2.03651452282158	0.913839285714286	2.16033755274262	0.998516949152542	2.41032863849765	1.03720930232558	2.01129707112971	1.0789077212806	2.14454976303318	0.835787321063395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-13	2404.48861111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	11.6	1.38616600790514	0.769529085872576	1.4044	0.676254180602007	1.7859649122807	1.0746875	1.61061946902655	0.954375	1.69493670886076	1.02344632768362	1.30085836909871	0.607954545454545	NA	NA	NA	NA	NA	NA	NA	NA	0.06	2.4	0.45	NA	NA
2015-01-14	2962.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	10.9	2.35267857142857	1.35484949832776	1.9021186440678	0.721464646464646	2.49354838709677	1.04771689497717	2.40539419087137	1.07494407158837	2.03693693693694	0.802631578947368	2.62579505300353	0.457537688442211	NA	NA	NA	NA	NA	NA	NA	NA	0.71	3.1	0.49	NA	NA
2015-01-15	2737.5825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	11.1	2.398828125	1.49029411764706	1.57660550458716	0.750306748466258	2.28598130841121	1.05475	2.48215767634855	1.16626794258373	2.01489361702128	0.697659574468085	2.36	0.425507900677201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-16	2800.48152777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	11.3	2.36230366492147	0.9544474393531	1.93769841269841	0.68677494199536	2.33388429752066	0.985490196078431	2.47555555555556	0.871538461538462	2.00975609756098	0.763272727272727	2.60160256410256	0.459013282732448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-17	2904.90180555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	11.2	2.72642276422764	1.3379746835443	2.11106719367589	0.668269230769231	2.83237704918033	1.13665893271462	2.56610169491525	0.950213675213675	2.40813008130081	0.709869646182495	2.92305295950156	0.386609071274298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-18	2549.81930555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	11.4	2.34322033898305	1.43204225352113	2.26820083682008	0.985121107266436	2.31711711711712	1.39534050179211	2.4042735042735	1.42508591065292	2.24417670682731	1.10740740740741	2.26	0.449363057324841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-19	2594.81013888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	11.4	2.26987951807229	1.36385964912281	1.45606060606061	0.734615384615385	2.01606425702811	1.09676375404531	2.02520325203252	1.04839743589744	2.02350746268657	1.03582089552239	1.82338129496403	0.485808580858086	NA	NA	NA	NA	NA	NA	NA	NA	0.81	3.2	0.65	NA	NA
2015-01-20	3084.92527777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.1	10.6	1.93733333333333	1.25910652920962	1.44435146443515	0.687534626038781	2.32666666666667	0.99147465437788	1.94560669456067	0.773069679849341	1.83899082568807	0.828006872852234	2.39013605442177	0.493403693931398	NA	NA	NA	NA	NA	41	NA	11.4	0.13	4	0.62	5.3	0.86
2015-01-21	2306.38708333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.1	10.4	1.50296610169492	1.11551724137931	1.62909090909091	0.975261324041812	1.7420814479638	1.16430976430976	2.10193236714976	1.19111111111111	1.59094827586207	1.24011299435028	1.34	0.609642857142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
