ASV,MQ210618-86,MQ210618-87,MQ210618-88,MQ210618-89,MQ210618-90,MQ210618-91,MQ210618-92,MQ210618-93,MQ210618-94,MQ210618-95,MQ210618-96,MQ210618-97,MQ181023-129,MQ181023-130,MQ181023-131,MQ181023-132,MQ181023-133,MQ181023-136,MQ181023-137,MQ181023-138,MQ181023-139,MQ181023-140,MQ181023-141,MQ181023-142,MQ181023-143,MQ181023-144,MQ181023-145,MQ181023-146,MQ181023-147,MQ190919-113,MQ190919-114,MQ190919-115,MQ190919-116,MQ190919-117,MQ190919-118,MQ190919-119,MQ190919-120,MQ190919-121,MQ190919-122,MQ190919-123,MQ190919-125,MQ190919-126,MQ190919-127,MQ190919-128,MQ190919-129,MQ190919-130,MQ190919-131,MQ201009-274,MQ201009-275,MQ201009-276,MQ201009-277,MQ201009-278,MQ201009-279,MQ201009-280,MQ201009-281,MQ201009-283,MQ201009-284,MQ201009-285,MQ201009-286,MQ201009-287,MQ201009-288,MQ201009-289,MQ201009-290,MQ201009-291,MQ201009-292,MQ201009-293,MQ201009-294,MQ201009-295,MQ220601-254,MQ220601-255,MQ220601-256,MQ220601-257,MQ220601-258,MQ220601-259,MQ220601-260,MQ220601-261,MQ220601-262,MQ220601-263,MQ220601-264,MQ220601-265,MQ220601-266,MQ220601-267,MQ220601-268,MQ220601-269,MQ220601-270,MQ220601-271,MQ220601-272,MQ220601-273,MQ220601-274,MQ220601-275
ASV2664,0.113720757519495,0.101921741827797,0.063521303457147,0.0843632682330114,0.0889565015599619,0.13902371792567,0.190260060287224,0.162307397049953,0.160661688137812,0.171927349673779,0.128072508743412,0.0649013499480789,0.0731587634384619,0.0832329047416745,0.12425347709327,0.0816941624365482,0.17645540839314,0.172117039586919,0.196208021810071,0.149874810452446,0.151353582608097,0.1755524176621,0.160026601824719,0.201671961963992,0.144887392666141,0.129814571685672,0.104778120423399,0.128241664291821,0.0944502683010369,0.067055123936367,0.0885957572476251,0.0605677568862906,0.0767060919483347,0.0804739018665475,0.103811359928815,0.0894475437233717,0.145690244700146,0.10678391959799,0.146824658270778,0.0911333881615506,0.133404976746771,0.130664495237374,0.130263208306195,0.117517267843438,0.0708125742899775,0.0735155835940572,0.0862793179392866,0.0839995365542811,0.0597318041991458,0.0641495601173021,0.0529100529100529,0.0966370313103982,0.0992344768925432,0.13131426016987,0.159977146121983,0.1693807203138,0.169882684787486,0.129541306011894,0.221011201937632,0.252876118490524,0.137635319340409,0.0859011305697185,0.0860632981676846,0.0666808110811384,0.0604211353131325,0.054290290181601,0.0424028268551237,0.0302510839971766,0.0676459219172787,0.0561257216164208,0.087719298245614,0.143133787993601,0.0867603678639597,0.0914703864623828,0.104961832061069,0.116593028964163,0.0639590661976335,0.0519235308000944,0.0313873195229127,0.108848764246382,0.0613154960981048,0.072289156626506,0.0777279521674141,0.101672982715593,0.141755500113404,0.117324990222917,0.16346794212024,0.160662423530866,0.208008320332813,0.118623962040332
ASV1775,0.0208874860750093,0.0162483936247212,0.0063521303457147,0.0112484357644015,0.012892246602893,0.00838936228861803,0.00916915953191441,0.0153534024236442,0.0297521644699652,0.0220419679068947,0.0098517314418009,0.0129802699896158,0.0588838827675425,0.0494195371903693,0.0328670487795102,0.0364847715736041,0.0313853493189379,0.0174611489436005,0.0351109091660126,0.0246852628980499,0.0395583227271164,0.041979925962676,0.0311740133424777,0.031546452150792,0.035156499691049,0.0545811267314756,0.0642956648052675,0.090974855865138,0.100677758518688,0.0924898261191269,0.0590638381650834,0.0632011376204772,0.0197951205027961,0.0223538616295965,0.014830194275545,0.040016006402561,0.0208128921000208,0.0329773869346734,0.0310192940008685,0.0155593589544111,0.0148227751940857,0.0208305717045089,0.0210719895789433,0.0383729854182655,0.0354062871449887,0.0222256415516917,0.0295166087687033,0.10717182250029,0.0955708867186333,0.0763685239491691,0.0278473962684489,0.0303716384118394,0.0368585199886589,0.0447027268663388,0.011426939008713,0.0534886485201474,0.0288480030771203,0.0206088441382559,0.0302755071147442,0.0222308675596065,0.0211746645139091,0.0221680336954112,0.0388672959466963,0.0515260812899706,0.024168454125253,0.0325741741089606,0.031095406360424,0.0100836946657255,0.00966370313103981,0.0400898011545863,0.0146198830409357,0.00841963458785889,0.0173520735727919,0,0.0286259541984733,0.0122729504172803,0.00456850472840239,0.00472032098182676,0.0125549278091651,0.0128057369701626,0.0222965440356745,0.00602409638554217,0,0.0184859968573805,0,0.0146656237778647,0.00605436822667555,0,0.018909847302983,0.0103151271339419
ASV2129,0.016245822502785,0.02511115378366,0.0174683584507154,0.00562421788220076,0.0025784493205786,0.00958784261556347,0.0183383190638288,0.0219334320337775,0.0119008657879861,0.0132251807441368,0,0,0.0124905205870545,0.0060690659707471,0.0320654134434246,0.0103109137055838,0.0104617831063126,0.0149666990945147,0.0165227807840059,0.0158690975773178,0.00515978122527605,0,0.00415653511233036,0.00337997701615629,0.00532674237743166,0.00590066234934871,0.00833462321549764,0.0438433040313918,0.0529336668500317,0.0161857195708472,0.0295319190825417,0.028967188076052,0.00989756025139803,0.0424723370962334,0.0197735923673934,0.0353082409434362,0.00594654060000595,0.0738065326633166,0.107533552536344,0.0666829669474761,0.0370569379852143,0.0170431950309618,0.00574690624880273,0.011991557943208,0.0177031435724944,0.0136773178779641,0.00908203346729333,0.0144826787162554,0.00298659020995729,0.0183284457478006,0.0111389585073796,0.0248495223369595,0.0170116246101503,0.00838176128743853,0.00571346950435652,0.0089147747533579,0.00961600102570678,0.00588824118235883,0.0121102028458977,0.0583560273439671,0.00529366612847728,0.00831301263577921,0.0333148250971682,0.0242475676658685,0.0422947947191928,0.0407177176362008,0.0141342756183746,0.0453766259957649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2260,0,0.00147712669315647,0.00158803258642867,0.00281210894110038,0.0012892246602893,0.00119848032694543,0.0011461449414893,0.00109667160168887,0,0,0,0.0129802699896158,0.0205201409644466,0.0199412167610262,0.0304621427712534,0.0325190355329949,0.0460318456677756,0.0673501459253162,0.0289148663720104,0.0493705257960997,0.0378383956520244,0.0381635690569782,0.0415653511233036,0.0416863831992609,0.0436792874949396,0.0427798020327782,0.0523890602116994,0.0613806256439485,0.0757677976480845,0.115612282648909,0.118127676330167,0.0948017064307158,0.103924382639679,0.105063149659104,0.0840377675614217,0.105924722830309,0.115957541700116,0.163316582914573,0.188183716938602,0.0777967947720554,0.0833781104667322,0.126877118563827,0.0976974062296464,0.100729086722947,0.0606964922485521,0.0393222888991469,0.0703857593715233,0.0579307148650214,0.0895977062987188,0.051930596285435,0.0362016151489836,0.0607432768236788,0.0368585199886589,0.0419088064371927,0.0228538780174261,0.0386306905978842,0.0256426694018847,0.0382735676853324,0.0302755071147442,0.0361251597843606,0.0158809983854318,0.0166260252715584,0.0138811771238201,0.00909283787470069,0.0120842270626265,0.0054290290181601,0,0,0,0,0,0,0.00578402452426398,0,0,0,0,0,0,0,0,0,0,0.00924299842869027,0,0.00488854125928823,0.00605436822667555,0,0.00472746182574576,0
ASV1669,0.0464166357222429,0.0457909274878506,0.082577694494291,0.109672248702915,0.326173839053193,0.231306703100469,0.0676225515478687,0.0910237429401766,0.0327273809169617,0.0220419679068947,0.0344810600463031,0.0129802699896158,0.409510639247,0.329463581269128,0.126658383101527,0.229219543147208,0.119961779619052,0.057372346528973,0.125986203478045,0.0899248862714674,0.0945959891300609,0.0496126397740717,0.0166261404493214,0.0360530881723338,0.0202416210342403,0.10473675670094,0.128591329610535,0.391301488480172,0.544905394044444,0.349149093599704,0.189496480779643,0.637278137673145,1.20502796060771,0.453783391080809,0.538830392011469,0.115340253748558,0.16947640710017,0.12248743718593,0.101329693736171,0.0689057325123919,0.0741138759704286,0.0757475334709414,0.0919504999808436,0.0575594781273983,0.144154169090311,0.165837479270315,0.2043457530141,0.0521376433785193,0.131409969238121,0.0641495601173021,0.13088276246171,0.0993980893478381,0.082222852282393,0.122932498882432,0.102842451078417,0.145607987638179,0.10898134495801,0.0471059294588706,0.0575234635180139,0.0222308675596065,0.0899923241841137,0.0942141432054977,0.0499722376457524,0.0727427029976056,0.172200235642428,0.138440239963083,0.214840989399293,0.186548351315922,0.0289911093931194,0.00801796023091725,0.0219298245614035,0.0252589037635767,0.0578402452426398,0.0686027898467871,0.0190839694656489,0.0490918016691213,0.0365480378272192,0.127448666509323,0.150659133709981,0.300934818798822,0.0891861761426979,0.132530120481928,0.0657698056801196,0.0831869858582124,0.170106600136085,0.107547907704341,0.102924259853484,0.148303775566953,0.170188625726847,0.190829851977926
ASV631,0.0371333085777943,0.0310196605562859,0.0222324562100014,0.0309331983521042,0.0412551891292577,0.0371528901353084,0.0378227830691469,0.0252234468388441,0.0119008657879861,0.0176335743255158,0.0394069257672036,0.0519210799584631,0.0526386224740153,0.0502865466147617,0.0601226502064211,0.0578997461928934,0.0432420368394256,0.0723390456234877,0.0764178611260275,0.0828719540148817,0.0722369371538647,0.0839598519253521,0.0831307022466072,0.0766128123662092,0.112926938401551,0.177019870480461,0.185743031659662,0.126049499090251,0.106905248736338,0.238161302256752,0.243638332430969,0.508242481698004,0.663136536843668,0.637085056443501,0.813188986109051,1.26638890850458,1.31418547260131,1.7713567839196,1.85908968711872,1.16028362488608,0.883807970947361,0.971462116764823,1.09957472893759,0.822620874904068,0.652487291671935,0.4958027730762,0.519946416002543,0.796547329394045,0.707821879759878,0.71786412512219,0.593149540517962,0.483185156551991,0.0368585199886589,0.0670540902995083,0.0485644907870304,0.0624034232735053,0.0384640041028271,0.0264970853206147,0.0151377535573721,0.0250097260045573,0.0476429951562955,0.0249390379073376,0.0277623542476402,0.0424332434152699,0.0453158514848494,0.0407177176362008,0.0367491166077739,0.0226883129978824,0.0579822187862389,0.032071840923669,0.0292397660818713,0.0420981729392944,0.0289201226213199,0.0228675966155957,0.0286259541984733,0.0306823760432008,0.0274110283704144,0.00944064196365353,0.0188323917137476,0.0256114739403253,0.0445930880713489,0.0481927710843373,0.0239162929745889,0.0277289952860708,0.00567022000453618,0.0244427062964411,0,0.0308966199097819,0.00945492365149151,0.00515756356697096
ASV732,0.0440958039361307,0.0694249545783542,0.0349367169014308,0.0463997975281562,0.0322306165072326,0.0191756852311269,0.0194844640053181,0.017546745627022,0.0208265151289756,0.0132251807441368,0.00492586572090045,0,0.127581745996342,0.141322536175968,0.158723796544952,0.153077411167513,0.17924521722149,0.182094838983262,0.0970713371060349,0.0952145854639066,0.0877162808296928,0.0438881044155249,0.0415653511233036,0.0416863831992609,0.0607248631027209,0.0708079481921846,0.0833462321549764,0.245522502575794,0.300995360519788,0.231224565297817,0.391297927843678,0.321272449570759,0.314247537981887,0.804739018665475,0.734094616639478,0.925075912718028,0.948473225700948,0.703517587939699,0.678288562152325,0.184489541888017,0.116729354653425,0.113621300206412,0.136010114554998,0.141500383729854,0.0859866973521155,0.0940315604110034,0.0771972844719933,0.0753099293245279,0.11050383776842,0.210777126099707,0.206070732386522,0.226406759070076,0.172951516869861,0.122932498882432,0.117126124839309,0.0594318316890527,0.0737226745304186,0.0412176882765118,0.0302755071147442,0.0194520091146557,0.0105873322569546,0.00831301263577921,0.0166574125485841,0.00303094595823356,0.0120842270626265,0.0108580580363202,0.0113074204946996,0.0252092366643138,0.0193274062620796,0.0240538806927518,0,0.00841963458785889,0,0,0,0.00613647520864016,0.0274110283704144,0.0236016049091338,0.0125549278091651,0.0256114739403253,0.0334448160535117,0.072289156626506,0.0298953662182362,0.0369719937147611,0.0510319800408256,0.0391083300743058,0.0181631046800266,0.0247172959278255,0.018909847302983,0.0154726907009129
ASV19929,1.05597846268102,1.21862952185409,1.39746867605723,1.36106072749258,1.86937575741949,1.86843082970793,1.49228071381907,1.25788232713714,1.13058224985868,1.02715570446129,1.00980247278459,0.687954309449637,0.0107061605031895,0.0182071979122413,0.00881798869694176,0.0134835025380711,0.00976433089922513,0.0149666990945147,0.0103267379900037,0.021158796769757,0.0189191978260122,0.00954089226424455,0.0103913377808259,0.0146465670700106,0.0234376664606993,0.0177019870480461,0.0392917951587746,0.0449393866321766,0.047744091668656,0.0647428782833888,0.0639858246788404,0.123768894506768,0.20042559509081,0.223538616295965,0.247169904592417,0.381329002189111,0.422204382600422,0.420854271356784,0.469425315879811,0.484562893151659,0.411332011635879,0.325714393925048,0.413777249913796,0.347755180353031,0.43499152778129,0.54538305038382,0.712939627182526,1.8943343760862,1.86661888122331,2.09249755620723,2.13589529379003,1.59036942956541,1.20782534732067,1.37460885113992,1.17126124839309,1.00142636396054,1.04173344445157,0.656538891833009,0.557069330911293,0.34179958872895,0.5823032741325,0.459986699179783,0.485841199333704,0.639529597187282,0.670674601975771,0.643339938651972,0.918727915194346,0.844509428254512,1.942404329339,1.66773572803079,1.79093567251462,1.97861412814684,2.07646480421077,1.97804710724903,2.1087786259542,1.81026018654885,1.93247750011421,1.77012036818504,2.29755178907721,2.08733512613651,2.04013377926421,2,1.93124065769806,1.55282373601996,1.84282150147426,1.55455612045366,1.50753768844221,1.0628437248965,0.784758663073796,0.618907628036516
ASV1627,0.0185666542888971,0.0324967872494424,0.0587572056978609,0.0351513617637547,0.0451228631101256,0.0407483311161447,0.0481380875425506,0.0734769973131546,0.074380411174913,0.105801445953095,0.0689621200926063,0.155763239875389,0.0535308025159477,0.0728287916489652,0.0641308268868492,0.0809010152284264,0.0641656030520509,0.172117039586919,0.119790160684043,0.153401276580738,0.115235114031165,0.15837881158646,0.11222644803292,0.111539241533158,0.109730892975092,0.066382451430173,0.0785835903175492,0.0569962952408094,0.0612369871402327,0.0994265630780614,0.100900723532018,0.126402275240954,0.0890780422625823,0.0827092880295071,0.05932077710218,0.0753242473459972,0.0921713793000922,0.0910804020100502,0.0889219761358232,0.120029340505457,0.0815252635674714,0.0776412218077149,0.0689628749856327,0.0647544128933231,0.0278192256139197,0.0376126241644014,0.0431396589696433,0.0926891437840343,0.0955708867186333,0.0458211143695015,0.0278473962684489,0.0331326964492794,0.0481996030620924,0.0670540902995083,0.0485644907870304,0.0683466064424106,0.0480800051285339,0.123653064829535,0.118074477747502,0.113933196242983,0.201159312882137,0.133008202172467,0.0749583564686285,0.0666808110811384,0.0876106462040422,0.0190016015635604,0.0395759717314488,0.0226883129978824,0.0869733281793583,0.0721616420782553,0.0365497076023392,0.0336785383514356,0.0520562207183759,0.0457351932311914,0.0572519083969466,0.0736377025036819,0.0319795330988168,0.0472032098182676,0.0188323917137476,0.0320143424254066,0.0390189520624303,0.0120481927710843,0.0239162929745889,0,0.0170106600136085,0.00488854125928823,0.0121087364533511,0,0.0141823854772373,0.00515756356697096
ASV987,0,0,0,0,0,0,0,0,0,0,0,0,0.0374715617611634,0.0294783204293431,0.031263778107339,0.0444162436548223,0.0816019082292386,0.0723390456234877,0.0578297327440208,0.0423175935395141,0.0481579581025765,0.0457962828683739,0.0436436186794688,0.0394330651884901,0.0362218481665353,0.0840844384782192,0.103587459964042,0.152355481509087,0.142194359969693,0.0971143174250832,0.211645420091549,0.142202559646074,0.160835354085218,0.183301665362691,0.234811409362796,0.169479556528494,0.145690244700146,0.188442211055276,0.130281034803648,0.0377870146035698,0.0574382538770821,0.0246179483780559,0.0651316041530976,0.110322333077513,0.161857312662806,0.116257201962695,0.17709965261222,0.199860966284324,0.149329510497865,0.051930596285435,0.11417432470064,0.0773096250483185,0.0368585199886589,0.047496647295485,0.0485644907870304,0.0267443242600737,0.0192320020514136,0.00294412059117941,0.00605510142294883,0.00555771688990163,0.0105873322569546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2122,0.0232083178611214,0.0206797737041906,0.0301726191421448,0.0253089804699034,0.0141814712631823,0.0227711262119632,0.0160460291808502,0.0241267752371552,0.0357025973639582,0.0573091165579263,0.0591103886508054,0.0519210799584631,0.250702591783022,0.286113110049506,0.146699266503668,0.116592639593909,0.0606783420166133,0.00748334954725735,0.0123920855880045,0.0176323306414642,0.0154793436758281,0.0305308552455826,0.0187044080054866,0.00788661303769801,0.00426139390194533,0.00295033117467436,0,0.00767257820549357,0.00103791503627513,0.00924898261191269,0.00246099325687848,0,0.00742317018854852,0,0.00247169904592417,0.0141232963773745,0.0297327030000297,0.0188442211055276,0.0144756705337387,0.0222276556491587,0.0240870096903893,0.0189368833677353,0.0229876249952109,0.0191864927091328,0.0202321640828507,0.0290643004906738,0.0181640669345867,0.0260688216892596,0.0388256727294448,0.0366568914956012,0.0362016151489836,0.0414158705615992,0.0481996030620924,0.0111756817165847,0.0285673475217826,0.0297159158445263,0.0256426694018847,0.0529941706412295,0.0454132606721163,0.044461735119213,0.0846986580556364,0.0498780758146752,0.0388672959466963,0.0272785136241021,0.0453158514848494,0.0488612611634409,0.0367491166077739,0.0126046183321569,0.0386548125241593,0.00801796023091725,0.0584795321637427,0.00841963458785889,0.0231360980970559,0.0228675966155957,0,0.0122729504172803,0.0274110283704144,0.0377625678546141,0.0313873195229127,0.0128057369701626,0.0167224080267559,0,0.00597907324364723,0.0277289952860708,0.00567022000453618,0.0195541650371529,0.0121087364533511,0,0.018909847302983,0.0103151271339419
ASV1172,0.0881916078722614,0.081241968123606,0.0397008146607168,0.0717087779980596,0.104427197483433,0.142619158906507,0.0974223200265905,0.0778636837199101,0.0714051947279165,0.0969846587903368,0.0738879858135067,0.0259605399792316,0.0312263014676362,0.0199412167610262,0.0320654134434246,0.0269670050761421,0.0432420368394256,0.0274389483399436,0.0165227807840059,0.0246852628980499,0.0206391249011042,0.0152654276227913,0.0311740133424777,0.0687261993285112,0.0447446359704259,0.0501556299694641,0.036910474240061,0.0602845430431637,0.023872045834328,0.0161857195708472,0.0172269527981493,0,0.00742317018854852,0.0201184754666369,0.0271886895051659,0.0258927100251865,0.00297327030000297,0.0172738693467337,0.0206795293339124,0.0111138278245793,0.038909784884475,0.0397674550722442,0.0421439791578867,0.0407712970069071,0.0303482461242761,0.052999606777111,0.0522216924369366,0.0144826787162554,0.020906131469701,0.0244379276637341,0.025062656641604,0.0248495223369595,0.0283527076835838,0.0167635225748771,0.00857020425653478,0.0267443242600737,0.00320533367523559,0.0206088441382559,0.0211928549803209,0.0222308675596065,0.0529366612847728,0.0443360673908224,0.0277623542476402,0.0242475676658685,0.0271895108909096,0.0135725725454003,0.0282685512367491,0.020167389331451,0.222265172013916,0.168377164849262,0.138888888888889,0.252589037635767,0.231360980970559,0.205808369540361,0.209923664122137,0.196367206676485,0.159897665494084,0.0849657776728818,0.0816070307595731,0.0832372903060571,0.0278706800445931,0.0421686746987952,0.119581464872945,0.0554579905721416,0.113404400090724,0.0733281188893234,0.102924259853484,0.123586479639127,0.127641469295135,0.0979937077724483
ASV1478,0.612699591533606,0.729700586419297,0.566927633355037,0.631318457277035,0.507954516153985,0.412277232469229,0.34384348244679,0.231397707956352,0.33322424206361,0.202786104743431,0.147775971627013,0.0778816199376947,0.185573448721952,0.160396743512602,0.164335243897551,0.149111675126904,0.169480886322265,0.114744693057946,0.0702218183320253,0.0528969919243926,0.0653572288534966,0.0477044613212228,0.0249392106739822,0.0383064061831046,0.0308951057891036,0.0560562923188128,0.0595330229678403,0.149067233706732,0.139080614860867,0.129485756566778,0.199340453807157,0.200136935798178,0.230118275845004,0.335307924443948,0.341094468337535,0.508438669585481,0.538161924300538,0.332914572864322,0.337076328142771,0.0711284980773078,0.0704081821719071,0.0890033518283561,0.0670472395693651,0.127110514198005,0.0606964922485521,0.0974508898804944,0.12260745180846,0.0984822152705364,0.14335633007795,0.366568914956012,0.25619604566973,0.50527362085151,0.561383612134959,0.480554313813143,0.439937151835452,0.264471651016284,0.208346688890313,0.191367838426662,0.184680593399939,0.133385205357639,0.0846986580556364,0.110840168477056,0.127706829539145,0.130330676204043,0.154073895048488,0.130296696435842,0.223321554770318,0.21932035897953,0.164282953227677,0.0801796023091726,0.0950292397660819,0.109455249642166,0.109896465961016,0.171506974616968,0.17175572519084,0.214776632302406,0.22842523642012,0.486193061128157,0.470809792843691,0.441797925470611,0.356744704570792,0.469879518072289,0.550074738415546,0.378962935576301,0.45928782036743,0.376417676965194,0.320881516013804,0.284248903169993,0.203280858507068,0.175357161277013
ASV2105,0.0533791310805793,0.0576079410331024,0.0524050753521462,0.0759269414097102,0.0760642549570688,0.0647179376550534,0.0504303774255292,0.0427701924658661,0.0476034631519443,0.0529007229765473,0.103443180138909,0.0519210799584631,0.00446090020966231,0.00953710366831687,0.00881798869694176,0.0087246192893401,0.00836942648505011,0.00748334954725735,0.00413069519600149,0.0158690975773178,0.00859963537546008,0.0133572491699424,0.00415653511233036,0.0146465670700106,0.0117188332303496,0.0236026493973949,0.00833462321549764,0.0569962952408094,0.0643507322490581,0.0462449130595635,0.0762907909632328,0.0553009954179175,0.0494878012569902,0.0424723370962334,0.0420188837807109,0.0447237718616859,0.0535188654000535,0.0392587939698493,0.043427011601216,0.0111138278245793,0.00370569379852143,0.0056810650103206,0.00574690624880273,0.0215848042977744,0.0126451025517817,0.00341932946949103,0.0227050836682333,0.0202757502027575,0.0268793118896156,0.0244379276637341,0.0334168755221387,0.0855927991606384,0.0708817692089595,0.0223513634331694,0.0285673475217826,0.0118863663378105,0.0288480030771203,0.0147206029558971,0.0242204056917953,0.0194520091146557,0.0370556628993409,0.0166260252715584,0.00277623542476402,0.00909283787470069,0.00906317029696988,0.0108580580363202,0.0226148409893993,0.0126046183321569,0.0869733281793583,0.0721616420782553,0.043859649122807,0.0589374421150122,0.0347041471455839,0.0457351932311914,0.0954198473282443,0.122729504172803,0.0959385992964503,0.0472032098182676,0.0439422473320778,0.0768344218209758,0.100334448160535,0.0963855421686747,0.101644245142003,0.138644976430354,0.164436380131549,0.112436448963629,0.127141732760186,0.105048507693258,0.0850943128634236,0.0464180721027387
ASV1224,0.0116041589305607,0.00443138007946942,0.00794016293214337,0.00562421788220076,0.0012892246602893,0.00239696065389087,0.0034384348244679,0.00329001480506662,0,0,0.00492586572090045,0,0.0303341214257037,0.0355473864000902,0.0272556014269109,0.0301395939086294,0.0418471324252506,0.0299333981890294,0.0268495187740097,0.0317381951546355,0.0378383956520244,0.0305308552455826,0.0415653511233036,0.0608395862908132,0.0884239234653655,0.123913909336323,0.135735292366676,0.0438433040313918,0.0342511961970793,0.0369959304476508,0.0344539055962987,0.0395007110127982,0.0643341416340872,0.0715323572147088,0.0939245637451184,0.14594072923287,0.0713584872000714,0.0738065326633166,0.0847860702690407,0.0444553112983174,0.0352040910859536,0.0454485200825648,0.0536377916554921,0.0671527244819647,0.0505804102071268,0.0410319536338924,0.0567627091705833,0.0579307148650214,0.071678165038975,0.0336021505376344,0.0417710944026734,0.0165663482246397,0.0113410830734335,0.0335270451497541,0.0142836737608913,0.0148579579222632,0.0256426694018847,0.0176647235470765,0,0.0166731506697049,0.00529366612847728,0.013855021059632,0.0222098833981122,0.00909283787470069,0.0181263405939398,0.00271451450908005,0.00282685512367491,0.00756277099929414,0,0.00801796023091725,0.00730994152046784,0.00841963458785889,0.00578402452426398,0.0114337983077979,0,0.0184094256259205,0.00913700945680479,0.00472032098182676,0.00627746390458255,0.0320143424254066,0.0278706800445931,0,0.00597907324364723,0.00924299842869027,0.0283511000226809,0.00488854125928823,0,0.0123586479639127,0.0141823854772373,0.0103151271339419
