Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190919-118,MQ190919,LIB-Lynetten-LT-49,,"","","",Lynetten,2018-10-26,43,2018,Fall,"","","","","","",,,,,,,,,
MQ190919-119,MQ190919,LIB-Lynetten-LT-50,,"","","",Lynetten,2018-11-15,46,2018,Fall,"","","","","","",,,,,,,,,
MQ190919-120,MQ190919,LIB-Lynetten-LT-51,,"","","",Lynetten,2018-11-27,48,2018,Fall,"","","","","","",,,,,,,,,
MQ190919-121,MQ190919,LIB-Lynetten-LT-52,,"","","",Lynetten,2018-12-04,49,2018,Fall,"","","","","","",,,,,,,,,
MQ190919-122,MQ190919,LIB-Lynetten-LT-53,,"","","",Lynetten,2018-12-20,51,2018,Winter,"","","","","","",,,,,,,,,
MQ190919-123,MQ190919,LIB-Lynetten-LT-54,,"","","",Lynetten,2019-02-25,9,2019,Winter,"","","","","","",,,,,,,,,
MQ190919-125,MQ190919,LIB-Lynetten-LT-56,,"","","",Lynetten,2019-04-15,16,2019,Spring,"","","","","","",,,,,,,,,
MQ190919-126,MQ190919,LIB-Lynetten-LT-57,,"","","",Lynetten,2019-04-30,18,2019,Spring,"","","","","","",,,,,,,,,
MQ190919-127,MQ190919,LIB-Lynette-LT-1,,"","","",Lynetten,2019-05-09,19,2019,Spring,"","","","","","",,,,,,,,,
MQ190919-128,MQ190919,LIB-Lynetten-LT-3,,"","","",Lynetten,2019-05-20,21,2019,Spring,"","","","","","",,,,,,,,,
MQ190919-129,MQ190919,LIB-Lynetten-LT-5,,"","","",Lynetten,2019-06-13,24,2019,Spring,"","","","","","",,,,,,,,,
MQ190919-130,MQ190919,LIB-Lynetten-LT-7,,"","","",Lynetten,2019-06-27,26,2019,Summer,"","","","","","",,,,,,,,,
MQ190919-131,MQ190919,LIB-Lynetten-LT-9,,"","","",Lynetten,2019-07-10,28,2019,Summer,"","","","","","",,,,,,,,,
MQ201009-274,MQ201009,LIB-Lynetten-LT-11,38122,"","","",Lynetten,2019-07-26,30,2019,Summer,"","","","","","",,,,,,,,,
