ASV,Genus,Species
asv_1785,Other,asv_1785
asv_1788,Taphrina,asv_1788
asv_1790,Blumeria,asv_1790
asv_1791,Unknown,asv_1791
asv_1792,Unknown,asv_1792
asv_1793,Rhodotorula,asv_1793
asv_1794,Hyphodontia,asv_1794
asv_1795,Unknown,asv_1795
asv_1797,Cladosporium,asv_1797
asv_1802,Leptospora,asv_1802
asv_1805,Unknown,asv_1805
asv_1807,Itersonilia,asv_1807
asv_1811,Trichosporon,asv_1811
asv_1812,Unknown,asv_1812
asv_1816,Cutaneotrichosporon,asv_1816
asv_1822,Wallemia,asv_1822
asv_1824,Unknown,asv_1824
asv_1825,Diatrype,asv_1825
asv_1826,Unknown,asv_1826
asv_1831,Other,asv_1831
asv_1832,Boletaceae incertae sedis,asv_1832
asv_1838,Toxicocladosporium,asv_1838
asv_1839,Unknown,asv_1839
asv_1841,Unknown,asv_1841
asv_1842,Other,Mertensia ovum
asv_1843,Cladophialophora,asv_1843
asv_1844,Acremonium,asv_1844
asv_1845,Rhizopus,asv_1845
asv_1846,Unknown,asv_1846
asv_1848,Trichoderma,asv_1848
asv_1849,Unknown,asv_1849
asv_1853,Unknown,asv_1853
asv_1856,Cystobasidium,asv_1856
asv_1857,Unknown,asv_1857
asv_1858,Capnodiales incertae sedis,asv_1858
asv_1864,Sporobolomyces,asv_1864
asv_1866,Didymella,asv_1866
asv_1867,Unknown,asv_1867
asv_1869,Penicillium,asv_1869
asv_1870,Cystobasidiaceae incertae sedis,asv_1870
asv_1871,Other,asv_1871
asv_1872,Unknown,asv_1872
asv_1873,Hypocreales incertae sedis,asv_1873
asv_1876,Unknown,asv_1876
asv_1879,Unknown,asv_1879
asv_1881,Other,asv_1881
asv_1883,Cystobasidium,asv_1883
asv_1886,Unknown,asv_1886
asv_1889,Tremella,Tremella neofoliacea
asv_1890,Pleosporales incertae sedis,asv_1890
asv_1893,Candida,asv_1893
asv_1894,Candida,asv_1894
asv_1895,Ramularia,asv_1895
asv_1896,Lepista,asv_1896
asv_1898,Unknown,asv_1898
asv_1899,Trichoderma,asv_1899
asv_1903,Unknown,asv_1903
asv_1906,Sterigmatomyces,asv_1906
asv_1907,Other,asv_1907
asv_1911,Exophiala,asv_1911
asv_1913,Penicillium,asv_1913
asv_1914,Pseudoophiobolus,asv_1914
asv_1915,Pleosporales incertae sedis,asv_1915
asv_1916,Candelariella,asv_1916
asv_1919,Unknown,asv_1919
asv_1921,Microbotryomycetes incertae sedis,asv_1921
asv_1923,Other,asv_1923
asv_1926,Duportella,asv_1926
asv_1929,Unknown,asv_1929
asv_1930,Monodictys,asv_1930
asv_1932,Peniophorella,asv_1932
asv_1934,Ascosphaera,asv_1934
asv_1935,Unknown Ascomycota,asv_1935
asv_1937,Unknown,asv_1937
asv_1938,Other,asv_1938
asv_1939,Chaetothyriales incertae sedis,asv_1939
asv_1940,Unknown,asv_1940
asv_1942,Duportella,asv_1942
asv_1943,Diederichomyces,asv_1943
asv_1945,Unknown,asv_1945
asv_1948,Unknown,asv_1948
asv_1949,Tolypocladium,asv_1949
asv_1952,Chaetothyriales incertae sedis,asv_1952
asv_1956,Brevicellicium,asv_1956
asv_1957,Unknown,asv_1957
asv_1959,Ophiostoma,asv_1959
asv_1960,Knufia,asv_1960
asv_1961,Unknown,asv_1961
asv_1963,Phlebia,asv_1963
asv_1964,Neoroussoella,asv_1964
asv_1965,Phlebia,asv_1965
asv_1967,Paraphaeosphaeria,asv_1967
asv_1968,Rhodosporidiobolus,asv_1968
asv_1971,Unknown,asv_1971
asv_1972,Acremonium,asv_1972
asv_1973,Other,asv_1973
asv_1975,Cladosporium,asv_1975
asv_1976,Unknown,asv_1976
asv_1977,Pleurotus,asv_1977
asv_1979,Unknown,asv_1979
asv_1986,Metschnikowia,asv_1986
asv_1987,Candida,asv_1987
asv_1989,Unknown,asv_1989
asv_1991,Unknown,asv_1991
asv_1992,Phaeosphaeria,asv_1992
asv_1995,Stereum,asv_1995
asv_1996,Unknown,asv_1996
asv_1998,Unknown,asv_1998
asv_2002,Baeospora,asv_2002
asv_2003,Lecanoromycetes incertae sedis,asv_2003
asv_2004,Teichospora,asv_2004
asv_2006,Other,asv_2006
asv_2009,Collemopsidium,asv_2009
asv_2014,Pleosporales incertae sedis,asv_2014
asv_2015,Catillaria,asv_2015
asv_2017,Hypholoma,asv_2017
asv_2019,Neoascochyta,asv_2019
asv_2020,Cladosporium,asv_2020
asv_2021,Other,asv_2021
asv_2022,Malassezia,asv_2022
asv_2023,Fuscoporia,asv_2023
asv_2024,Agaricales incertae sedis,asv_2024
asv_2028,Leucosporidium,asv_2028
asv_2030,Alternaria,asv_2030
asv_2032,Neoascochyta,asv_2032
asv_2037,Fraxinicola,asv_2037
asv_2038,Unknown,asv_2038
asv_2039,Other,asv_2039
asv_2042,Other,asv_2042
asv_2046,Unknown,asv_2046
asv_2047,Unknown,asv_2047
asv_2055,Hortaea,asv_2055
asv_2057,Udeniomyces,asv_2057
asv_2059,Other,asv_2059
asv_2061,Baeospora,asv_2061
asv_2062,Neocatenulostroma,asv_2062
asv_2063,Unknown,asv_2063
asv_2065,Phaeococcomyces,asv_2065
asv_2068,Unknown,asv_2068
asv_2070,Penicillium,asv_2070
asv_2080,Phaeosphaeriaceae incertae sedis,asv_2080
asv_2082,Unknown,asv_2082
asv_2090,Armillaria,asv_2090
asv_2091,Unknown,asv_2091
asv_2092,Unknown,asv_2092
asv_2094,Byssochlamys,asv_2094
asv_2095,Unknown,asv_2095
asv_2099,Unknown,asv_2099
asv_2100,Tarzetta,asv_2100
asv_2101,Psathyrella,asv_2101
asv_2104,Unknown,asv_2104
asv_2107,Geastrum,asv_2107
asv_2109,Phlebia,asv_2109
asv_2112,Lecanicillium,asv_2112
asv_2114,Itersonilia,asv_2114
asv_2117,Ramularia,asv_2117
asv_2130,Unknown,asv_2130
asv_2131,Fusarium,asv_2131
asv_2132,Aspergillus,asv_2132
asv_2135,Unknown,asv_2135
asv_2136,Peniophora,asv_2136
asv_2142,Pyrenochaeta ,asv_2142
asv_2143,Other,asv_2143
asv_2144,Saitozyma,asv_2144
asv_2146,Other,asv_2146
asv_2149,Paradendryphiella,asv_2149
asv_2150,Unknown,asv_2150
asv_2151,Neocucurbitaria,asv_2151
asv_2155,Neophaeotheca,asv_2155
asv_2156,Other,asv_2156
asv_2157,Bolbitius,asv_2157
asv_2159,Unknown,asv_2159
asv_2167,Didymosphaeriaceae incertae sedis,asv_2167
asv_2168,Helotiales incertae sedis,asv_2168
asv_2170,Candida,asv_2170
asv_2182,Limonomyces,asv_2182
asv_2183,Unknown,asv_2183
asv_2184,Peniophorella,asv_2184
asv_2187,Stachybotrys,asv_2187
asv_2188,Stagonosporopsis ,asv_2188
asv_2191,Fusicolla,asv_2191
asv_2194,Penicillium,asv_2194
asv_2204,Wickerhamomyces,asv_2204
asv_2205,Vishniacozyma,asv_2205
asv_2206,Itersonilia,asv_2206
asv_2207,Ramularia,asv_2207
asv_2208,Unknown,asv_2208
asv_2212,Unknown,asv_2212
asv_2217,Unknown Ascomycota,asv_2217
asv_2219,Unknown,asv_2219
asv_2220,Cephalosporium,asv_2220
asv_2221,Unknown,asv_2221
asv_2222,Unknown,asv_2222
asv_2223,Leptospora,asv_2223
asv_2225,Hypholoma,asv_2225
asv_2226,Unknown,asv_2226
asv_2227,Pichia,asv_2227
asv_2233,Unknown,asv_2233
asv_2234,Alternaria,asv_2234
asv_2235,Devriesia,asv_2235
asv_2237,Acremonium,asv_2237
asv_2238,Unknown,asv_2238
asv_2239,Erythrobasidium,asv_2239
asv_2240,Unknown,asv_2240
asv_2242,Unknown,asv_2242
asv_2243,Symmetrospora,asv_2243
asv_2246,Unknown,asv_2246
asv_2249,Septoria,asv_2249
asv_2250,Unknown,asv_2250
asv_2254,Sordariomycetes incertae sedis,asv_2254
asv_2259,Hymenoscyphus,asv_2259
asv_2260,Exophiala,asv_2260
asv_2263,Candida,asv_2263
asv_2264,Paraconiothyrium,asv_2264
asv_2265,Teichospora,asv_2265
asv_2267,Unknown,asv_2267
asv_2269,Ascosphaera,asv_2269
asv_2270,Other,asv_2270
asv_2273,Fomitopsis,asv_2273
asv_2276,Unknown,asv_2276
asv_2279,Other,asv_2279
asv_2284,Unknown,Alloascoidea africana
asv_2285,Plenodomus,asv_2285
asv_2287,Unknown,asv_2287
asv_2288,Other,asv_2288
asv_2292,Typhula,asv_2292
asv_2295,Other,Mertensia ovum
asv_2298,Aspergillus,asv_2298
asv_2300,Parathyridaria,asv_2300
asv_2301,Parathyridaria,Parathyridaria ramulicola
asv_2304,Stereum,asv_2304
asv_2307,Unknown,asv_2307
asv_2308,Aspergillus,asv_2308
asv_2312,Other,asv_2312
asv_2314,Cystobasidium,asv_2314
asv_2315,Unknown,asv_2315
asv_2321,Other,asv_2321
asv_2325,Unknown,asv_2325
asv_2327,Unknown,asv_2327
asv_2329,Unknown,asv_2329
asv_2331,Exophiala,Exophiala castellanii
asv_2333,Unknown,asv_2333
asv_2335,Xylaria,asv_2335
asv_2338,Peniophora,asv_2338
asv_2339,Westerdykella,asv_2339
asv_2343,Unknown,asv_2343
asv_2349,Unknown,asv_2349
asv_2351,Other,Mertensia ovum
asv_2353,Other,Paracentrotus lividus
asv_2356,Unknown,asv_2356
asv_2357,Acremonium,asv_2357
asv_2358,Neocallimastix,asv_2358
asv_2359,Unknown,asv_2359
asv_2363,Cystobasidium,asv_2363
asv_2365,Unknown,asv_2365
asv_2368,Unknown,asv_2368
asv_2370,Monocillium,asv_2370
asv_2373,Ascochyta,asv_2373
asv_2376,Fusarium,asv_2376
asv_2377,Pichia,asv_2377
asv_2379,Taphrina,asv_2379
asv_2382,Unknown,asv_2382
asv_2383,Unknown,asv_2383
asv_2385,Exophiala,asv_2385
asv_2386,Didymella,asv_2386
asv_2390,Other,asv_2390
asv_2391,Unknown,asv_2391
asv_2393,Unknown,asv_2393
asv_2397,Unknown,asv_2397
asv_2398,Unknown,asv_2398
asv_2402,Pyrenochaetopsis,asv_2402
asv_2406,Unknown,asv_2406
asv_2407,Unknown,asv_2407
asv_2409,Unknown,asv_2409
asv_2411,Cladosporium,asv_2411
asv_2412,Scopuloides,asv_2412
asv_2414,Other,asv_2414
asv_2416,Genolevuria,asv_2416
asv_2420,Papiliotrema,asv_2420
asv_2421,Unknown,asv_2421
asv_2422,Stereum,asv_2422
asv_2424,Devriesia,asv_2424
asv_2425,Unknown,asv_2425
asv_2427,Unknown,asv_2427
asv_2429,Psathyrella,asv_2429
asv_2433,Unknown,asv_2433
asv_2436,Fusarium,asv_2436
asv_2438,Unknown,asv_2438
asv_2445,Unknown,asv_2445
asv_2446,Penicillium,asv_2446
asv_2447,Unknown,asv_2447
asv_2451,Unknown,asv_2451
asv_2458,Unknown,asv_2458
asv_2460,Unknown,asv_2460
asv_2462,Venturia,asv_2462
asv_2464,Plectosphaerella,asv_2464
asv_2465,Unknown,asv_2465
asv_2471,Sporormiaceae incertae sedis,asv_2471
asv_2472,Itersonilia,asv_2472
asv_2474,Buckleyzyma,asv_2474
asv_2475,Unknown,asv_2475
asv_2478,Claviceps,Claviceps arundinis
asv_2480,Other,asv_2480
asv_2482,Other,Mertensia ovum
asv_2483,Agaricomycetes incertae sedis,asv_2483
asv_2485,Unknown,asv_2485
asv_2487,Peniophora,asv_2487
asv_2489,Tetracladium,asv_2489
asv_2491,Other,asv_2491
asv_2496,Diatrype,asv_2496
asv_2497,Unknown,asv_2497
asv_2498,Acaulospora,asv_2498
asv_2501,Scoliciosporum,asv_2501
asv_2503,Candida,asv_2503
asv_2505,Other,asv_2505
asv_2506,Calocera,Calocera sp.
asv_2510,Unknown,asv_2510
asv_2511,Unknown,asv_2511
asv_2513,Rhinocladiella,asv_2513
asv_2517,Niesslia,asv_2517
asv_2518,Unknown,asv_2518
asv_2519,Unknown,asv_2519
asv_2520,Other,asv_2520
asv_2521,Phallus,asv_2521
asv_2522,Cryptococcus,asv_2522
asv_2526,Coprinellus,asv_2526
asv_2528,Other,asv_2528
asv_2531,Unknown,asv_2531
asv_2532,Unknown,asv_2532
asv_2533,Other,asv_2533
asv_2535,Candida,asv_2535
asv_2536,Sporobolomyces,asv_2536
asv_2540,Helotiales incertae sedis,asv_2540
asv_2543,Neocatenulostroma,asv_2543
asv_2544,Tremella,Tremella neofoliacea
asv_2548,Unknown,asv_2548
asv_2560,Mortierella,asv_2560
asv_2561,Unknown,asv_2561
asv_2563,Fibulomyces,asv_2563
asv_2565,Microsphaeropsis,asv_2565
asv_2566,Chordomyces,asv_2566
asv_2567,Sarocladium,asv_2567
asv_2569,Trichosporon,asv_2569
asv_2570,Cutaneotrichosporon,asv_2570
asv_2572,Ramularia,asv_2572
asv_2575,Metschnikowia,asv_2575
asv_2578,Fuscoporia,asv_2578
asv_2580,Unknown,asv_2580
asv_2582,Other,asv_2582
asv_2586,Paraleptosphaeria,asv_2586
asv_2591,Unknown,asv_2591
asv_2593,Pyrenochaeta ,asv_2593
asv_2596,Other,asv_2596
asv_2597,Ramularia,asv_2597
asv_2598,Penicillium,asv_2598
asv_2602,Unknown,asv_2602
asv_2603,Neodevriesia,asv_2603
asv_2604,Unknown,asv_2604
asv_2608,Unknown Ascomycota,asv_2608
asv_2609,Kalmusia,asv_2609
asv_2610,Aspergillus,asv_2610
asv_2611,Other,asv_2611
asv_2613,Filobasidium,asv_2613
asv_2615,Solicoccozyma,asv_2615
asv_2616,Fusarium,asv_2616
asv_2620,Unknown,asv_2620
asv_2622,Unknown,asv_2622
asv_2623,Unknown,asv_2623
asv_2627,Peniophora,asv_2627
asv_2628,Peniophora,asv_2628
asv_2629,Unknown,asv_2629
asv_2630,Chondrostereum,asv_2630
asv_2631,Devriesia,asv_2631
asv_2633,Podospora,asv_2633
asv_2636,Armillaria,asv_2636
asv_2638,Dothideomycetes incertae sedis,asv_2638
asv_2639,Crocicreas,asv_2639
asv_2643,Tremella,asv_2643
asv_2645,Crocicreas,asv_2645
asv_2649,Peniophora,asv_2649
asv_2652,Other,asv_2652
asv_2654,Exophiala,asv_2654
asv_2656,Unknown,asv_2656
asv_2657,Discosia,asv_2657
asv_2660,Tremella,Tremella neofoliacea
asv_2661,Unknown,asv_2661
asv_2662,Unknown,asv_2662
asv_2663,Unknown,asv_2663
asv_2666,Vishniacozyma,asv_2666
asv_2670,Polyporus,asv_2670
asv_2672,Physcia,asv_2672
asv_2677,Xylaria,asv_2677
asv_2678,Unknown,asv_2678
asv_2681,Gloiothele,asv_2681
asv_2682,Unknown Mucoromycota,asv_2682
asv_2684,Pleosporales incertae sedis,asv_2684
asv_2686,Heterobasidion,asv_2686
asv_2689,Trichoderma,asv_2689
asv_2691,Unknown,asv_2691
asv_2695,Unknown,asv_2695
asv_2696,Clitocybe,asv_2696
asv_2699,Unknown Ascomycota,asv_2699
asv_2703,Aspergillus,asv_2703
asv_2704,Unknown,asv_2704
asv_2705,Lecanorales incertae sedis,asv_2705
asv_2708,Teichospora,Teichospora nephelii
asv_2711,Unknown,asv_2711
asv_2712,Flammulina,asv_2712
asv_2713,Unknown,asv_2713
asv_2714,Unknown,asv_2714
asv_2715,Cutaneotrichosporon,asv_2715
asv_2717,Unknown,asv_2717
asv_2718,Unknown,asv_2718
asv_2719,Unknown,asv_2719
asv_2727,Acremonium,asv_2727
asv_2728,Boeremia,asv_2728
asv_2729,Petrakia,asv_2729
asv_2730,Kondoa,asv_2730
asv_2731,Unknown,asv_2731
asv_2734,Unknown,asv_2734
asv_2737,Other,asv_2737
asv_2740,Unknown,asv_2740
asv_2741,Eutypa,asv_2741
asv_2742,Unknown,asv_2742
asv_2743,Other,Apobryophyllum schmidingeri
asv_2745,Unknown,asv_2745
asv_2746,Unknown,asv_2746
asv_2748,	Dioszegia,asv_2748
asv_2751,Unknown,asv_2751
asv_2752,Other,asv_2752
asv_2757,Other,asv_2757
asv_2758,Leptosphaeria,asv_2758
asv_2761,Unknown,asv_2761
asv_2762,Microascus,asv_2762
asv_2763,Unknown,asv_2763
asv_2767,Other,asv_2767
asv_2771,Unknown,asv_2771
asv_2774,Sporobolomyces,asv_2774
asv_2775,Other,asv_2775
asv_2778,Boeremia,asv_2778
asv_2781,Devriesia,asv_2781
asv_2784,Unknown,asv_2784
asv_2785,Exophiala,asv_2785
asv_2786,Unknown,asv_2786
asv_2787,Other,asv_2787
asv_2795,Nigrograna,asv_2795
asv_2797,Rhinocladiella,asv_2797
asv_2801,Cryptodiaporthe,asv_2801
asv_2804,Unknown,asv_2804
asv_2808,Skeletocutis,asv_2808
asv_2809,Pholiota,asv_2809
asv_2813,Tarzetta,asv_2813
asv_2814,Other,asv_2814
asv_2815,Unknown,asv_2815
asv_2822,Other,asv_2822
asv_2823,Unknown,asv_2823
asv_2824,Unknown,asv_2824
asv_2826,Agaricales incertae sedis,asv_2826
asv_2827,Erythrobasidium,asv_2827
asv_2828,Unknown,asv_2828
asv_2829,Other,asv_2829
asv_2837,Schizopora,asv_2837
asv_2839,Unknown,asv_2839
asv_2840,Tremella,Tremella neofoliacea
asv_2842,Unknown,asv_2842
asv_2845,Unknown,asv_2845
asv_2846,Unknown,asv_2846
asv_2851,Lophiostoma,asv_2851
asv_2852,Unknown Mucoromycota,asv_2852
asv_2853,Unknown,asv_2853
asv_2855,Leptospora,asv_2855
asv_2858,Unknown,asv_2858
asv_2860,Mortierella,asv_2860
asv_2862,Peniophora,asv_2862
asv_2863,Other,asv_2863
asv_2864,Vishniacozyma,asv_2864
asv_2866,Hypochnicium,asv_2866
asv_2867,Unknown,asv_2867
asv_2868,Peniophora,asv_2868
asv_2869,Exophiala,asv_2869
asv_2871,Wickerhamomyces,asv_2871
asv_2875,Unknown,asv_2875
asv_2882,Crocicreas,asv_2882
asv_2883,Leucosporidium,asv_2883
asv_2886,Unknown Ascomycota,asv_2886
asv_2888,Unknown,asv_2888
asv_2891,Unknown,asv_2891
asv_2896,Duportella,asv_2896
asv_2898,Otidea,asv_2898
asv_2899,Chondrostereum,asv_2899
asv_2900,Parastagonospora,asv_2900
asv_2904,Parengyodontium,asv_2904
asv_2910,Ramalina,asv_2910
asv_2911,Unknown,asv_2911
asv_2912,Other,asv_2912
asv_2913,Other,Pleurobrachia pileus
asv_2916,Teichospora,asv_2916
asv_2918,Arthrinium,asv_2918
asv_2921,Unknown,asv_2921
asv_2923,Unknown,asv_2923
asv_2924,Taphrina,asv_2924
asv_2928,Fuscolachnum,asv_2928
asv_2930,Xanthoria,asv_2930
asv_2934,Unknown Ascomycota,asv_2934
asv_2939,Symmetrospora,asv_2939
asv_2946,Sporothrix,asv_2946
asv_2947,Hymenoscyphus,asv_2947
asv_2948,Wallemia,asv_2948
asv_2954,Other,asv_2954
asv_2957,Sistotrema,asv_2957
asv_2958,Unknown,asv_2958
asv_2960,Candida,asv_2960
asv_2962,Unknown,asv_2962
asv_2970,Aspergillus,Aspergillus versicolor
asv_2975,Unknown,asv_2975
asv_2976,Unknown Mucoromycota,asv_2976
asv_2983,Cladosporium,asv_2983
asv_2991,Resupinatus,asv_2991
asv_2994,Unknown,asv_2994
asv_3004,Candida,asv_3004
asv_3007,Ascochyta,asv_3007
asv_3008,Unknown,asv_3008
asv_3010,Cladosporium,asv_3010
asv_3013,Backusella,asv_3013
asv_3017,Exophiala,asv_3017
asv_3020,Unknown,asv_3020
asv_3023,Unknown,asv_3023
asv_3032,Unknown,asv_3032
asv_3038,Ramularia,Ramularia haroldporteri
asv_3043,Talaromyces ,asv_3043
asv_3045,Unknown,asv_3045
asv_3046,Glomeromycetes incertae sedis,asv_3046
asv_3048,Protomyces,Protomyces inouyei
asv_3055,Diploschistes,asv_3055
asv_3060,Agaricales incertae sedis,asv_3060
asv_3064,Verrucocladosporium,asv_3064
asv_3067,Lecanoromycetes incertae sedis,asv_3067
asv_3068,Agaricomycetes incertae sedis,asv_3068
asv_3074,Pleosporales incertae sedis,asv_3074
asv_3076,Leucosporidiella,asv_3076
asv_3077,Peniophora,asv_3077
asv_3078,Sterigmatomyces,asv_3078
asv_3079,Pleosporales incertae sedis,asv_3079
asv_3080,Unknown,asv_3080
asv_3084,Unknown,asv_3084
asv_3090,Unknown,asv_3090
asv_3092,Resinicium,asv_3092
asv_3095,Knufia,asv_3095
asv_3096,Trechisporales incertae sedis,asv_3096
asv_3097,Lecanoromycetes incertae sedis,asv_3097
asv_3101,Other,asv_3101
asv_3103,Peniophora,asv_3103
asv_3104,Unknown,asv_3104
asv_3109,Cladosporium,asv_3109
asv_3113,Unknown,asv_3113
asv_3114,Hypocreales incertae sedis,asv_3114
asv_3115,Cercospora,asv_3115
asv_3120,Periconia,asv_3120
asv_3121,Unknown,asv_3121
asv_3124,Other,asv_3124
asv_3126,Unknown Ascomycota,asv_3126
asv_3127,Gelidatrema,asv_3127
asv_3130,Unknown Basidiomycota,asv_3130
asv_3133,Hypocreales incertae sedis,asv_3133
asv_3134,Vuilleminia,asv_3134
asv_3135,Chondrostereum,asv_3135
asv_3136,Cystobasidium,asv_3136
asv_3137,Peniophora,asv_3137
asv_3138,Sarocladium ,Sarocladium dejongiae
asv_3139,Unknown,asv_3139
asv_3142,Unknown,asv_3142
asv_3143,Unknown,asv_3143
asv_3149,Ascocoryne,asv_3149
asv_3151,Unknown,asv_3151
asv_3153,Unknown,asv_3153
asv_3156,Hormococcus,asv_3156
asv_3157,Other,asv_3157
asv_3161,Vuilleminia,asv_3161
asv_3166,Unknown,asv_3166
asv_3169,Unknown,asv_3169
asv_3174,Verrucocladosporium,asv_3174
asv_3175,Other,Mertensia ovum
asv_3177,Unknown,asv_3177
asv_3178,Capnobotryella,asv_3178
asv_3183,Unknown,asv_3183
asv_3188,Cutaneotrichosporon,asv_3188
asv_3189,Acremonium,asv_3189
asv_3193,Other,asv_3193
asv_3200,Ochrocladosporium,asv_3200
asv_3201,Other,asv_3201
asv_3202,Phlebiopsis,asv_3202
asv_3203,Sordariomycetes incertae sedis,asv_3203
asv_3206,Trametes,asv_3206
asv_3207,Unknown,asv_3207
asv_3211,Unknown,asv_3211
asv_3217,Other,asv_3217
asv_3219,Leucosporidiella,asv_3219
asv_3224,Aspergillus,asv_3224
asv_3225,Hypocreales incertae sedis,asv_3225
asv_3226,Hymenoscyphus,asv_3226
asv_3227,Unknown,asv_3227
asv_3228,Dioszegia,asv_3228
asv_3233,Mycena,asv_3233
asv_3235,Other,asv_3235
asv_3236,Unknown,asv_3236
asv_3240,Other,asv_3240
asv_3246,Unknown,asv_3246
asv_3248,Unknown,asv_3248
asv_3251,Unknown,asv_3251
asv_3253,Other,asv_3253
asv_3254,Ypsilina,asv_3254
asv_3260,Bionectriaceae incertae sedis,asv_3260
asv_3261,Unknown,asv_3261
asv_3263,Ramularia,asv_3263
asv_3267,Rhodotorula,asv_3267
asv_3269,Unknown,asv_3269
asv_3270,Other,asv_3270
asv_3272,Other,asv_3272
asv_3274,Unknown,asv_3274
asv_3275,Unknown,asv_3275
asv_3279,Other,asv_3279
asv_3281,Unknown,asv_3281
asv_3284,Unknown,asv_3284
asv_3288,Other,asv_3288
asv_3291,Stemphylium,asv_3291
asv_3293,Unknown,asv_3293
asv_3303,Other,asv_3303
asv_3304,Chaetothyriales incertae sedis,asv_3304
asv_3306,Other,asv_3306
asv_3312,Unknown,asv_3312
asv_3314,Unknown,asv_3314
asv_3316,Phialemonium,asv_3316
asv_3322,Other,asv_3322
asv_3323,Unknown Ascomycota,asv_3323
asv_3327,Daldinia,asv_3327
asv_3329,Unknown,asv_3329
asv_3330,Verrucaria,asv_3330
asv_3335,Unknown,asv_3335
asv_3336,Wickerhamomyces,asv_3336
asv_3339,Unknown,asv_3339
asv_3340,Hannaella,asv_3340
asv_3342,Unknown,asv_3342
asv_3345,Unknown,asv_3345
asv_3349,Paraphaeosphaeria,asv_3349
asv_3351,Unknown,asv_3351
asv_3353,Unknown,asv_3353
asv_3354,Nectria,asv_3354
asv_3356,Unknown,asv_3356
asv_3364,Unknown,asv_3364
asv_3366,Orbilia,asv_3366
asv_3368,Trichoderma,asv_3368
asv_3372,Epiglia,asv_3372
asv_3373,Taphrina,asv_3373
asv_3374,Other,asv_3374
asv_3376,Coprinopsis,asv_3376
asv_3381,Taphrina,asv_3381
asv_3390,Unknown,asv_3390
asv_3393,Mrakia,asv_3393
asv_3394,Neodevriesia,asv_3394
asv_3395,Unknown,asv_3395
asv_3401,Unknown,asv_3401
asv_3405,Unknown Basidiomycota,asv_3405
asv_3410,Unknown,asv_3410
asv_3412,Cryptococcus,asv_3412
asv_3413,Kondoa,asv_3413
asv_3415,Flagellospora,asv_3415
asv_3424,Lecanorales incertae sedis,asv_3424
asv_3430,Cucurbitariaceae incertae sedis,asv_3430
asv_3431,Paraphaeosphaeria,asv_3431
asv_3434,Unknown,asv_3434
asv_3438,Keithomyces,asv_3438
asv_3445,Neoascochyta,asv_3445
asv_3446,Hypholoma,asv_3446
asv_3447,Other,asv_3447
asv_3453,Unknown,asv_3453
asv_3454,Unknown Ascomycota,asv_3454
asv_3461,Unknown,asv_3461
asv_3463,Unknown,asv_3463
asv_3465,Unknown,asv_3465
asv_3466,Kwoniella,asv_3466
asv_3467,Penicillium,asv_3467
asv_3470,Tolypocladium,asv_3470
asv_3473,Pleosporales incertae sedis,asv_3473
asv_3476,Polysporina,Polysporina subfuscescens
asv_3477,Neosetophoma,asv_3477
asv_3484,Mycosphaerella,asv_3484
asv_3488,Pyrenochaeta,asv_3488
asv_3490,Unknown,asv_3490
asv_3491,Bartalinia,asv_3491
asv_3492,Teichospora,asv_3492
asv_3493,Unknown,asv_3493
asv_3500,Other,asv_3500
asv_3502,Fonsecazyma,asv_3502
asv_3509,Knufia,asv_3509
asv_3510,Other,asv_3510
asv_3517,Unknown,asv_3517
asv_3526,Tetracladium,asv_3526
asv_3536,Neosetophoma,asv_3536
asv_3540,Mortierellales incertae sedis,asv_3540
asv_3545,Cystobasidium,asv_3545
asv_3548,Taphrina,asv_3548
asv_3549,Unknown,asv_3549
asv_3550,Unknown,asv_3550
asv_3551,Paraphoma,asv_3551
asv_3560,Unknown,asv_3560
asv_3561,Striaticonidium,asv_3561
asv_3564,Leptosphaeria,Leptosphaeria urticae
asv_3567,Unknown,asv_3567
asv_3568,Hypocrea,asv_3568
asv_3573,Helotiales incertae sedis,asv_3573
asv_3574,Amphinema,asv_3574
asv_3575,Microbotryomycetes incertae sedis,asv_3575
asv_3579,Unknown,asv_3579
asv_3580,Other,Yarrowia divulgata
asv_3584,Unknown,asv_3584
asv_3585,Diatrype,asv_3585
asv_3587,Peniophora,asv_3587
asv_3589,Chaetothyriales incertae sedis,asv_3589
asv_3591,Torula,asv_3591
asv_3592,Unknown,asv_3592
asv_3593,Unknown,asv_3593
asv_3597,Unknown,asv_3597
asv_3598,Candida,asv_3598
asv_3600,Unknown Glomeromycota,asv_3600
asv_3601,Myrmecridium,asv_3601
asv_3608,Paramicrothyrium,asv_3608
asv_3619,Unknown,asv_3619
asv_3622,Symmetrospora,asv_3622
asv_3624,Unknown,asv_3624
asv_3625,Other,asv_3625
asv_3634,Mollisia,asv_3634
asv_3639,Alatospora,asv_3639
asv_3641,Unknown,asv_3641
asv_3646,Unknown Ascomycota,asv_3646
asv_3647,Unknown,asv_3647
asv_3651,Ceratobasidium,asv_3651
asv_3652,Chaetothyriales incertae sedis,asv_3652
asv_3654,Unknown,asv_3654
asv_3657,Saccothecium,asv_3657
asv_3659,Naohidea,asv_3659
asv_3660,Lachnum,asv_3660
asv_3664,Unknown,asv_3664
asv_3665,Leucosporidiella,asv_3665
asv_3667,Roccellaceae incertae sedis,asv_3667
asv_3668,Other,asv_3668
asv_3671,Unknown,asv_3671
asv_3672,Hyalopeziza,asv_3672
asv_3680,Taphrina,asv_3680
