SampleID	SampleDay	SampleContent	SampleIndividual
M3_tongue_day_191	191	tongue	M3
M3_tongue_day_192	192	tongue	M3
M3_tongue_day_193	193	tongue	M3
M3_tongue_day_194	194	tongue	M3
M3_tongue_day_195	195	tongue	M3
M3_tongue_day_196	196	tongue	M3
M3_tongue_day_197	197	tongue	M3
M3_tongue_day_198	198	tongue	M3
M3_tongue_day_199	199	tongue	M3
M3_tongue_day_200	200	tongue	M3
M3_tongue_day_201	201	tongue	M3
M3_tongue_day_202	202	tongue	M3
M3_tongue_day_203	203	tongue	M3
M3_tongue_day_204	204	tongue	M3
M3_tongue_day_205	205	tongue	M3
M3_tongue_day_206	206	tongue	M3
M3_tongue_day_208	208	tongue	M3
M3_tongue_day_209	209	tongue	M3
M3_tongue_day_210	210	tongue	M3
M3_tongue_day_211	211	tongue	M3
M3_tongue_day_213	213	tongue	M3
M3_tongue_day_214	214	tongue	M3
M3_tongue_day_215	215	tongue	M3
M3_tongue_day_216	216	tongue	M3
M3_tongue_day_217	217	tongue	M3
M3_tongue_day_218	218	tongue	M3
M3_tongue_day_219	219	tongue	M3
M3_tongue_day_220	220	tongue	M3
M3_tongue_day_221	221	tongue	M3
M3_tongue_day_222	222	tongue	M3
M3_tongue_day_223	223	tongue	M3
M3_tongue_day_225	225	tongue	M3
M3_tongue_day_226	226	tongue	M3
M3_tongue_day_227	227	tongue	M3
M3_tongue_day_228	228	tongue	M3
M3_tongue_day_229	229	tongue	M3
M3_tongue_day_230	230	tongue	M3
M3_tongue_day_231	231	tongue	M3
M3_tongue_day_234	234	tongue	M3
M3_tongue_day_235	235	tongue	M3
M3_tongue_day_236	236	tongue	M3
M3_tongue_day_237	237	tongue	M3
M3_tongue_day_238	238	tongue	M3
M3_tongue_day_239	239	tongue	M3
M3_tongue_day_240	240	tongue	M3
M3_tongue_day_241	241	tongue	M3
M3_tongue_day_243	243	tongue	M3
M3_tongue_day_244	244	tongue	M3
M3_tongue_day_245	245	tongue	M3
M3_tongue_day_246	246	tongue	M3
M3_tongue_day_247	247	tongue	M3
M3_tongue_day_248	248	tongue	M3
M3_tongue_day_249	249	tongue	M3
M3_tongue_day_250	250	tongue	M3
M3_tongue_day_251	251	tongue	M3
M3_tongue_day_252	252	tongue	M3
M3_tongue_day_253	253	tongue	M3
M3_tongue_day_254	254	tongue	M3
M3_tongue_day_255	255	tongue	M3
M3_tongue_day_256	256	tongue	M3
M3_tongue_day_257	257	tongue	M3
M3_tongue_day_258	258	tongue	M3
M3_tongue_day_259	259	tongue	M3
M3_tongue_day_260	260	tongue	M3
M3_tongue_day_261	261	tongue	M3
M3_tongue_day_262	262	tongue	M3
M3_tongue_day_263	263	tongue	M3
M3_tongue_day_264	264	tongue	M3
M3_tongue_day_265	265	tongue	M3
M3_tongue_day_266	266	tongue	M3
M3_tongue_day_267	267	tongue	M3
M3_tongue_day_268	268	tongue	M3
M3_tongue_day_269	269	tongue	M3
M3_tongue_day_270	270	tongue	M3
M3_tongue_day_271	271	tongue	M3
M3_tongue_day_272	272	tongue	M3
M3_tongue_day_273	273	tongue	M3
M3_tongue_day_274	274	tongue	M3
M3_tongue_day_275	275	tongue	M3
M3_tongue_day_276	276	tongue	M3
M3_tongue_day_278	278	tongue	M3
M3_tongue_day_279	279	tongue	M3
M3_tongue_day_280	280	tongue	M3
M3_tongue_day_281	281	tongue	M3
M3_tongue_day_282	282	tongue	M3
M3_tongue_day_283	283	tongue	M3
M3_tongue_day_284	284	tongue	M3
M3_tongue_day_285	285	tongue	M3
M3_tongue_day_286	286	tongue	M3
M3_tongue_day_287	287	tongue	M3
M3_tongue_day_288	288	tongue	M3
