SampleID	SampleDay	SampleContent	SampleIndividual
M3_rightpalm_day_160	160	rightpalm	M3
M3_rightpalm_day_161	161	rightpalm	M3
M3_rightpalm_day_162	162	rightpalm	M3
M3_rightpalm_day_163	163	rightpalm	M3
M3_rightpalm_day_164	164	rightpalm	M3
M3_rightpalm_day_166	166	rightpalm	M3
M3_rightpalm_day_167	167	rightpalm	M3
M3_rightpalm_day_168	168	rightpalm	M3
M3_rightpalm_day_169	169	rightpalm	M3
M3_rightpalm_day_170	170	rightpalm	M3
M3_rightpalm_day_172	172	rightpalm	M3
M3_rightpalm_day_173	173	rightpalm	M3
M3_rightpalm_day_174	174	rightpalm	M3
M3_rightpalm_day_175	175	rightpalm	M3
M3_rightpalm_day_176	176	rightpalm	M3
M3_rightpalm_day_177	177	rightpalm	M3
M3_rightpalm_day_178	178	rightpalm	M3
M3_rightpalm_day_179	179	rightpalm	M3
M3_rightpalm_day_180	180	rightpalm	M3
M3_rightpalm_day_181	181	rightpalm	M3
M3_rightpalm_day_182	182	rightpalm	M3
M3_rightpalm_day_183	183	rightpalm	M3
M3_rightpalm_day_184	184	rightpalm	M3
M3_rightpalm_day_185	185	rightpalm	M3
M3_rightpalm_day_186	186	rightpalm	M3
M3_rightpalm_day_187	187	rightpalm	M3
M3_rightpalm_day_188	188	rightpalm	M3
M3_rightpalm_day_189	189	rightpalm	M3
M3_rightpalm_day_190	190	rightpalm	M3
M3_rightpalm_day_191	191	rightpalm	M3
M3_rightpalm_day_192	192	rightpalm	M3
M3_rightpalm_day_193	193	rightpalm	M3
M3_rightpalm_day_194	194	rightpalm	M3
M3_rightpalm_day_195	195	rightpalm	M3
M3_rightpalm_day_196	196	rightpalm	M3
M3_rightpalm_day_197	197	rightpalm	M3
M3_rightpalm_day_198	198	rightpalm	M3
M3_rightpalm_day_199	199	rightpalm	M3
M3_rightpalm_day_200	200	rightpalm	M3
M3_rightpalm_day_201	201	rightpalm	M3
M3_rightpalm_day_202	202	rightpalm	M3
M3_rightpalm_day_203	203	rightpalm	M3
M3_rightpalm_day_204	204	rightpalm	M3
M3_rightpalm_day_205	205	rightpalm	M3
M3_rightpalm_day_206	206	rightpalm	M3
M3_rightpalm_day_208	208	rightpalm	M3
M3_rightpalm_day_209	209	rightpalm	M3
M3_rightpalm_day_210	210	rightpalm	M3
M3_rightpalm_day_211	211	rightpalm	M3
M3_rightpalm_day_213	213	rightpalm	M3
M3_rightpalm_day_214	214	rightpalm	M3
M3_rightpalm_day_215	215	rightpalm	M3
M3_rightpalm_day_216	216	rightpalm	M3
M3_rightpalm_day_217	217	rightpalm	M3
M3_rightpalm_day_218	218	rightpalm	M3
M3_rightpalm_day_219	219	rightpalm	M3
M3_rightpalm_day_220	220	rightpalm	M3
M3_rightpalm_day_221	221	rightpalm	M3
M3_rightpalm_day_222	222	rightpalm	M3
M3_rightpalm_day_223	223	rightpalm	M3
M3_rightpalm_day_225	225	rightpalm	M3
M3_rightpalm_day_226	226	rightpalm	M3
M3_rightpalm_day_227	227	rightpalm	M3
M3_rightpalm_day_228	228	rightpalm	M3
M3_rightpalm_day_229	229	rightpalm	M3
M3_rightpalm_day_230	230	rightpalm	M3
M3_rightpalm_day_231	231	rightpalm	M3
M3_rightpalm_day_234	234	rightpalm	M3
M3_rightpalm_day_235	235	rightpalm	M3
M3_rightpalm_day_236	236	rightpalm	M3
M3_rightpalm_day_237	237	rightpalm	M3
M3_rightpalm_day_238	238	rightpalm	M3
M3_rightpalm_day_240	240	rightpalm	M3
M3_rightpalm_day_241	241	rightpalm	M3
M3_rightpalm_day_243	243	rightpalm	M3
M3_rightpalm_day_244	244	rightpalm	M3
M3_rightpalm_day_245	245	rightpalm	M3
M3_rightpalm_day_246	246	rightpalm	M3
M3_rightpalm_day_247	247	rightpalm	M3
M3_rightpalm_day_249	249	rightpalm	M3
M3_rightpalm_day_250	250	rightpalm	M3
M3_rightpalm_day_251	251	rightpalm	M3
M3_rightpalm_day_252	252	rightpalm	M3
M3_rightpalm_day_253	253	rightpalm	M3
M3_rightpalm_day_254	254	rightpalm	M3
M3_rightpalm_day_255	255	rightpalm	M3
M3_rightpalm_day_257	257	rightpalm	M3
M3_rightpalm_day_258	258	rightpalm	M3
M3_rightpalm_day_259	259	rightpalm	M3
M3_rightpalm_day_260	260	rightpalm	M3
M3_rightpalm_day_261	261	rightpalm	M3
M3_rightpalm_day_262	262	rightpalm	M3
M3_rightpalm_day_263	263	rightpalm	M3
M3_rightpalm_day_264	264	rightpalm	M3
M3_rightpalm_day_266	266	rightpalm	M3
M3_rightpalm_day_267	267	rightpalm	M3
M3_rightpalm_day_268	268	rightpalm	M3
M3_rightpalm_day_269	269	rightpalm	M3
M3_rightpalm_day_270	270	rightpalm	M3
M3_rightpalm_day_271	271	rightpalm	M3
M3_rightpalm_day_272	272	rightpalm	M3
M3_rightpalm_day_273	273	rightpalm	M3
M3_rightpalm_day_274	274	rightpalm	M3
M3_rightpalm_day_275	275	rightpalm	M3
M3_rightpalm_day_278	278	rightpalm	M3
M3_rightpalm_day_279	279	rightpalm	M3
M3_rightpalm_day_280	280	rightpalm	M3
M3_rightpalm_day_281	281	rightpalm	M3
M3_rightpalm_day_283	283	rightpalm	M3
M3_rightpalm_day_284	284	rightpalm	M3
M3_rightpalm_day_285	285	rightpalm	M3
M3_rightpalm_day_286	286	rightpalm	M3
M3_rightpalm_day_287	287	rightpalm	M3
M3_rightpalm_day_288	288	rightpalm	M3
M3_rightpalm_day_289	289	rightpalm	M3
M3_rightpalm_day_290	290	rightpalm	M3
M3_rightpalm_day_292	292	rightpalm	M3
M3_rightpalm_day_293	293	rightpalm	M3
M3_rightpalm_day_294	294	rightpalm	M3
M3_rightpalm_day_295	295	rightpalm	M3
M3_rightpalm_day_296	296	rightpalm	M3
M3_rightpalm_day_297	297	rightpalm	M3
M3_rightpalm_day_298	298	rightpalm	M3
M3_rightpalm_day_299	299	rightpalm	M3
M3_rightpalm_day_300	300	rightpalm	M3
M3_rightpalm_day_301	301	rightpalm	M3
M3_rightpalm_day_302	302	rightpalm	M3
M3_rightpalm_day_303	303	rightpalm	M3
M3_rightpalm_day_304	304	rightpalm	M3
M3_rightpalm_day_305	305	rightpalm	M3
M3_rightpalm_day_306	306	rightpalm	M3
M3_rightpalm_day_307	307	rightpalm	M3
M3_rightpalm_day_308	308	rightpalm	M3
M3_rightpalm_day_309	309	rightpalm	M3
M3_rightpalm_day_312	312	rightpalm	M3
M3_rightpalm_day_314	314	rightpalm	M3
M3_rightpalm_day_317	317	rightpalm	M3
M3_rightpalm_day_318	318	rightpalm	M3
M3_rightpalm_day_319	319	rightpalm	M3
M3_rightpalm_day_321	321	rightpalm	M3
M3_rightpalm_day_322	322	rightpalm	M3
M3_rightpalm_day_323	323	rightpalm	M3
M3_rightpalm_day_326	326	rightpalm	M3
M3_rightpalm_day_327	327	rightpalm	M3
M3_rightpalm_day_330	330	rightpalm	M3
M3_rightpalm_day_331	331	rightpalm	M3
M3_rightpalm_day_332	332	rightpalm	M3
M3_rightpalm_day_333	333	rightpalm	M3
M3_rightpalm_day_334	334	rightpalm	M3
M3_rightpalm_day_335	335	rightpalm	M3
M3_rightpalm_day_336	336	rightpalm	M3
M3_rightpalm_day_337	337	rightpalm	M3
M3_rightpalm_day_338	338	rightpalm	M3
M3_rightpalm_day_339	339	rightpalm	M3
M3_rightpalm_day_340	340	rightpalm	M3
M3_rightpalm_day_341	341	rightpalm	M3
M3_rightpalm_day_343	343	rightpalm	M3
M3_rightpalm_day_344	344	rightpalm	M3
M3_rightpalm_day_345	345	rightpalm	M3
M3_rightpalm_day_348	348	rightpalm	M3
M3_rightpalm_day_349	349	rightpalm	M3
M3_rightpalm_day_350	350	rightpalm	M3
M3_rightpalm_day_351	351	rightpalm	M3
M3_rightpalm_day_352	352	rightpalm	M3
M3_rightpalm_day_353	353	rightpalm	M3
M3_rightpalm_day_354	354	rightpalm	M3
M3_rightpalm_day_355	355	rightpalm	M3
M3_rightpalm_day_356	356	rightpalm	M3
M3_rightpalm_day_357	357	rightpalm	M3
M3_rightpalm_day_358	358	rightpalm	M3
M3_rightpalm_day_359	359	rightpalm	M3
M3_rightpalm_day_360	360	rightpalm	M3
M3_rightpalm_day_361	361	rightpalm	M3
M3_rightpalm_day_362	362	rightpalm	M3
M3_rightpalm_day_363	363	rightpalm	M3
M3_rightpalm_day_365	365	rightpalm	M3
M3_rightpalm_day_366	366	rightpalm	M3
M3_rightpalm_day_368	368	rightpalm	M3
M3_rightpalm_day_369	369	rightpalm	M3
M3_rightpalm_day_371	371	rightpalm	M3
M3_rightpalm_day_372	372	rightpalm	M3
M3_rightpalm_day_373	373	rightpalm	M3
M3_rightpalm_day_374	374	rightpalm	M3
M3_rightpalm_day_375	375	rightpalm	M3
M3_rightpalm_day_376	376	rightpalm	M3
M3_rightpalm_day_377	377	rightpalm	M3
