SampleID	SampleDay	SampleContent	SampleIndividual
M3_gut_day_215	215	gut	M3
M3_gut_day_216	216	gut	M3
M3_gut_day_217	217	gut	M3
M3_gut_day_218	218	gut	M3
M3_gut_day_219	219	gut	M3
M3_gut_day_221	221	gut	M3
M3_gut_day_222	222	gut	M3
M3_gut_day_223	223	gut	M3
M3_gut_day_224	224	gut	M3
M3_gut_day_225	225	gut	M3
M3_gut_day_226	226	gut	M3
M3_gut_day_227	227	gut	M3
M3_gut_day_228	228	gut	M3
M3_gut_day_229	229	gut	M3
M3_gut_day_231	231	gut	M3
M3_gut_day_232	232	gut	M3
M3_gut_day_233	233	gut	M3
M3_gut_day_235	235	gut	M3
M3_gut_day_236	236	gut	M3
M3_gut_day_237	237	gut	M3
M3_gut_day_238	238	gut	M3
M3_gut_day_239	239	gut	M3
M3_gut_day_240	240	gut	M3
M3_gut_day_241	241	gut	M3
M3_gut_day_243	243	gut	M3
M3_gut_day_244	244	gut	M3
M3_gut_day_245	245	gut	M3
M3_gut_day_246	246	gut	M3
M3_gut_day_247	247	gut	M3
M3_gut_day_248	248	gut	M3
M3_gut_day_249	249	gut	M3
M3_gut_day_250	250	gut	M3
M3_gut_day_251	251	gut	M3
M3_gut_day_252	252	gut	M3
M3_gut_day_253	253	gut	M3
M3_gut_day_255	255	gut	M3
M3_gut_day_256	256	gut	M3
M3_gut_day_257	257	gut	M3
M3_gut_day_258	258	gut	M3
M3_gut_day_259	259	gut	M3
M3_gut_day_260	260	gut	M3
M3_gut_day_262	262	gut	M3
M3_gut_day_263	263	gut	M3
M3_gut_day_264	264	gut	M3
M3_gut_day_266	266	gut	M3
M3_gut_day_268	268	gut	M3
M3_gut_day_269	269	gut	M3
M3_gut_day_271	271	gut	M3
M3_gut_day_272	272	gut	M3
M3_gut_day_273	273	gut	M3
M3_gut_day_275	275	gut	M3
M3_gut_day_276	276	gut	M3
M3_gut_day_279	279	gut	M3
M3_gut_day_281	281	gut	M3
M3_gut_day_282	282	gut	M3
M3_gut_day_285	285	gut	M3
M3_gut_day_286	286	gut	M3
M3_gut_day_287	287	gut	M3
M3_gut_day_290	290	gut	M3
M3_gut_day_292	292	gut	M3
M3_gut_day_294	294	gut	M3
M3_gut_day_295	295	gut	M3
M3_gut_day_296	296	gut	M3
M3_gut_day_297	297	gut	M3
M3_gut_day_299	299	gut	M3
M3_gut_day_300	300	gut	M3
M3_gut_day_301	301	gut	M3
M3_gut_day_302	302	gut	M3
M3_gut_day_303	303	gut	M3
M3_gut_day_306	306	gut	M3
M3_gut_day_307	307	gut	M3
M3_gut_day_308	308	gut	M3
M3_gut_day_309	309	gut	M3
M3_gut_day_311	311	gut	M3
M3_gut_day_313	313	gut	M3
M3_gut_day_314	314	gut	M3
M3_gut_day_315	315	gut	M3
M3_gut_day_316	316	gut	M3
M3_gut_day_317	317	gut	M3
M3_gut_day_318	318	gut	M3
M3_gut_day_319	319	gut	M3
M3_gut_day_320	320	gut	M3
M3_gut_day_321	321	gut	M3
M3_gut_day_322	322	gut	M3
M3_gut_day_323	323	gut	M3
M3_gut_day_324	324	gut	M3
M3_gut_day_325	325	gut	M3
M3_gut_day_326	326	gut	M3
M3_gut_day_327	327	gut	M3
M3_gut_day_328	328	gut	M3
M3_gut_day_330	330	gut	M3
M3_gut_day_331	331	gut	M3
M3_gut_day_332	332	gut	M3
M3_gut_day_333	333	gut	M3
M3_gut_day_334	334	gut	M3
M3_gut_day_335	335	gut	M3
M3_gut_day_336	336	gut	M3
M3_gut_day_337	337	gut	M3
M3_gut_day_338	338	gut	M3
M3_gut_day_340	340	gut	M3
M3_gut_day_341	341	gut	M3
M3_gut_day_343	343	gut	M3
M3_gut_day_344	344	gut	M3
M3_gut_day_345	345	gut	M3
M3_gut_day_348	348	gut	M3
M3_gut_day_349	349	gut	M3
M3_gut_day_351	351	gut	M3
M3_gut_day_352	352	gut	M3
M3_gut_day_353	353	gut	M3
M3_gut_day_355	355	gut	M3
M3_gut_day_356	356	gut	M3
M3_gut_day_358	358	gut	M3
M3_gut_day_360	360	gut	M3
M3_gut_day_361	361	gut	M3
M3_gut_day_362	362	gut	M3
M3_gut_day_363	363	gut	M3
M3_gut_day_364	364	gut	M3
M3_gut_day_366	366	gut	M3
M3_gut_day_368	368	gut	M3
M3_gut_day_369	369	gut	M3
M3_gut_day_370	370	gut	M3
M3_gut_day_371	371	gut	M3
M3_gut_day_372	372	gut	M3
M3_gut_day_373	373	gut	M3
