Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181023-120,MQ181023,LIB-BB-AVEDORE-20180528,,AVEDORE-20180528,Spring,LT3,AS,"",Avedøre,2018-05-28,22,2018,,"","","","","","",,,,,,,16.17974618,17.91037184,,,"",,
MQ181023-121,MQ181023,LIB-BB-AVEDORE-20180606,,AVEDORE-20180606,Spring,LT3,AS,"",Avedøre,2018-06-06,23,2018,,"","","","","","",,,,,,,15.61253561,17.85696119,,,"",,
MQ181023-122,MQ181023,LIB-BB-AVEDORE-20180618,,AVEDORE-20180618,Summer,LT3,AS,"",Avedøre,2018-06-18,25,2018,,"","","","","","",,,,,,,13.32167832,17.06343151,,,"",,
MQ181023-123,MQ181023,LIB-BB-AVEDORE-20180702,,AVEDORE-20180702,Summer,LT3,AS,"",Avedøre,2018-07-02,27,2018,,"","","","","","",,,,,,,15.95571096,15.21059057,,,"",,
MQ181023-124,MQ181023,LIB-BB-AVEDORE-20180717,,AVEDORE-20180717,Summer,LT3,AS,"",Avedøre,2018-07-17,29,2018,,"","","","","","",,,,,,,14.48976949,7.382115062,,,"",,
MQ181023-125,MQ181023,LIB-BB-AVEDORE-20180808,,AVEDORE-20180808,Summer,LT3,AS,"",Avedøre,2018-08-08,32,2018,,"","","","","","",,,,,,,19.91970992,4.102446717,,,"",,
MQ190919-135,MQ190919,LIB-Avedore-LT-57_Biofos,,"",Summer,LT3,AS,"",Avedøre,2018-08-22,34,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-136,MQ190919,LIB-Avedore-LT-58,,"",Summer,LT1,AS,"",Avedøre,2018-08-27,35,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-137,MQ190919,LIB-Avedore-LT-59,,"",Summer,LT2,AS,"",Avedøre,2018-08-27,35,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-138,MQ190919,LIB-Avedore-LT-60,,"",Summer,LT3,AS,"",Avedøre,2018-08-27,35,2018,,"","","","","","",,,,,,,,,,,"",,
