Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181221-265,MQ181221,LIB-Aalborg-Vest-LT-439,,,Summer,Activated sludge,,Aalborg W,2017-06-28,26,2017,,,,,,,,,,,,,,,,
MQ181221-267,MQ181221,LIB-Aalborg-Vest-LT-445,,,Summer,Activated sludge,,Aalborg W,2017-07-11,28,2017,,,,,,,,,,,,,,,,
MQ181221-269,MQ181221,LIB-Aalborg-Vest-LT-451,,,Summer,Activated sludge,,Aalborg W,2017-08-01,31,2017,,,,,,,,,,,,,,,,17.8
MQ181221-271,MQ181221,LIB-Aalborg-Vest-LT-457,,,Summer,Activated sludge,,Aalborg W,2017-08-17,33,2017,,,,,,,,,,,,,,,,17.4
MQ181221-273,MQ181221,LIB-Aalborg-Vest-LT-463,,,Summer,Activated sludge,,Aalborg W,2017-08-30,35,2017,,,,,,,,,,,,,,,,17.8
MQ181221-275,MQ181221,LIB-Aalborg-Vest-LT-469,,,Summer,Activated sludge,,Aalborg W,2017-09-13,37,2017,,,,,,,,,,,,,,,,16
MQ181221-277,MQ181221,LIB-Aalborg-Vest-LT-475,,,Fall,Activated sludge,,Aalborg W,2017-09-27,39,2017,,,,,,,,,,,,,,,,16.8
MQ190702-89,MQ190702,LIB-Aalborg-W-LT-481,74774,,Fall,Activated sludge,,Aalborg W,2017-10-17,42,2017,,,,,,,,,,,,,,,,
MQ190702-91,MQ190702,LIB-Aalborg-W-LT-487,62287,,Fall,Activated sludge,,Aalborg W,2017-11-01,44,2017,,,,,,,,,,,,,,,,13.1
MQ190702-93,MQ190702,LIB-Aalborg-W-LT-493,72875,,Fall,Activated sludge,,Aalborg W,2017-11-15,46,2017,,,,,,,,,,,,,,,,12
MQ190702-95,MQ190702,LIB-Aalborg-W-LT-499,67699,,Fall,Activated sludge,,Aalborg W,2017-11-28,48,2017,,,,,,,,,,,,,,,,10
MQ190702-97,MQ190702,LIB-Aalborg-W-LT-505,44192,,Fall,Activated sludge,,Aalborg W,2017-12-12,50,2017,,,,,,,,,,,,,,,,10.5
MQ190702-99,MQ190702,LIB-Aalborg-W-LT-511,34501,,Winter,Activated sludge,,Aalborg W,2018-01-04,1,2018,,,,,,,,,,,,,,,,8.8
MQ190702-101,MQ190702,LIB-Aalborg-W-LT-515,45496,,Winter,Activated sludge,,Aalborg W,2018-01-17,3,2018,,,,,,,,,,,,,,,,8.8
MQ190702-103,MQ190702,LIB-Aalborg-W-LT-519,47701,,Winter,Activated sludge,,Aalborg W,2018-01-31,5,2018,,,,,,,,,,,,,,,,9.7
MQ190702-105,MQ190702,LIB-Aalborg-W-LT-523,65349,,Winter,Activated sludge,,Aalborg W,2018-02-12,7,2018,,,,,,,,,,,,,,,,9.4
MQ190702-107,MQ190702,LIB-Aalborg-W-LT-527,62827,,Winter,Activated sludge,,Aalborg W,2018-02-27,9,2018,,,,,,,,,,,,,,,,9.5
MQ190702-109,MQ190702,LIB-Aalborg-W-LT-531,75956,,Spring,Activated sludge,,Aalborg W,2018-03-20,12,2018,,,,,,,,,,,,,,,,9.9
MQ190702-111,MQ190702,LIB-Aalborg-W-LT-535,61908,,Spring,Activated sludge,,Aalborg W,2018-04-05,14,2018,,,,,,,,,,,,,,,,9.7
