Date	Temperature_C	inflow_m3d	SS_kgm3
06/07/2017	17.72	50165	4.22
07/07/2017	18	49303	3.47
08/07/2017	18.11	69844	4.05
09/07/2017	18.36	45746	3.94
10/07/2017	18.38	50500	3.64
11/07/2017	18.53	47694	3.5
12/07/2017	18.22	47035	3.18
13/07/2017	18.12	44016	4
14/07/2017	18.1	66731	3.33
15/07/2017	18	54377	3.57
16/07/2017	17.73	77105	3.41
17/07/2017	17.71	44279	3.81
18/07/2017	17.77	44388	3.77
19/07/2017	18.22	44173	3.77
20/07/2017	18.38	133500	2.84
21/07/2017	17.46	202911	2.83
22/07/2017	17.69	79457	3.46
23/07/2017	17.57	339396	2.23
24/07/2017	17.34	122494	2.7
25/07/2017	17.34	82766	2.8
26/07/2017	17.54	61220	3.17
27/07/2017	17.64	78940	3.2
28/07/2017	17.9	52710	3.26
29/07/2017	17.78	58706	3
30/07/2017	17.47	197092	2.29
31/07/2017	17.94	68553	3.74
01/08/2017	18.32	80452	3.39
02/08/2017	18.5	55550	3.52
03/08/2017	18.09	364094	2.12
04/08/2017	17.29	198208	2.59
05/08/2017	17.38	88660	3.52
06/08/2017	17.56	71684	3.81
07/08/2017	17.84	63733	3.67
08/08/2017	18.23	73414	3.46
09/08/2017	18.44	77033	3.5
10/08/2017	18.54	56252	3.62
11/08/2017	18.54	54681	3.62
12/08/2017	18.4	96051	3.3
13/08/2017	18.04	55051	3.58
14/08/2017	18.18	52381	3.62
15/08/2017	18.5	62417	3.68
16/08/2017	18.72	55272	3.71
17/08/2017	18.73	159427	3.06
18/08/2017	18.42	122799	3.19
19/08/2017	18.31	55006	4.03
20/08/2017	18.15	147432	2.95
21/08/2017	17.5	133823	2.81
22/08/2017	17.69	55340	4.02
23/08/2017	18.1	53114	3.82
24/08/2017	18.29	50843	3.67
25/08/2017	18.47	49295	3.65
26/08/2017	18.73	47522	3.67
27/08/2017	18.84	55010	3.54
28/08/2017	18.98	49772	3.76
29/08/2017	19.18	48259	3.45
30/08/2017	19.03	153169	2.72
31/08/2017	17.95	110052	2.97
01/09/2017	17.92	60390	3.66
02/09/2017	18.08	47278	3.77
03/09/2017	18.35	48206	3.77
04/09/2017	18.32	47369	3.71
05/09/2017	18.47	47686	3.57
06/09/2017	18.14	227364	2.38
07/09/2017	16.65	228522	2.49
08/09/2017	16.51	163471	2.48
09/09/2017	16.59	217330	2.78
10/09/2017	16.45	123274	2.54
11/09/2017	16.73	125284	2.6
12/09/2017	16.86	91484	3.05
13/09/2017	16.33	278366	2.32
14/09/2017	15.22	328156	2
15/09/2017	15.46	185359	2.08
16/09/2017	15.98	110490	3.38
17/09/2017	15.91	160877	2.61
18/09/2017	15.15	112391	3.32
19/09/2017	15.77	107146	2.6
20/09/2017	16.55	78111	3.75
21/09/2017	16.91	71916	3.7
22/09/2017	17.02	66308	3.54
23/09/2017	17.25	62600	3.79
24/09/2017	17.52	63234	3.76
25/09/2017	17.62	60608	3.83
26/09/2017	17.7	58141	3.78
27/09/2017	17.72	56557	3.77
28/09/2017	17.49	145754	2.86
29/09/2017	16.08	129844	3.3
30/09/2017	15.98	60737	3.79
01/10/2017	16.35	60185	3.54
02/10/2017	15.69	239457	2.13
03/10/2017	15.26	107064	3.23
04/10/2017	15.38	127066	2.77
12/10/2017	15.86	86409	3.58
13/10/2017	15.94	66488	3.64
14/10/2017	16.41	63700	3.47
15/10/2017	16.67	63653	3.4
16/10/2017	16.74	61585	3.44
17/10/2017	16.6	60490	3.36
18/10/2017	16.51	102422	3.05
19/10/2017	16.04	72923	3.19
20/10/2017	15.81	154253	2.38
21/10/2017	15.14	132710	2.86
22/10/2017	14.96	123388	2.77
23/10/2017	15.2	74933	3.22
24/10/2017	15.1	180852	2.19
25/10/2017	14.51	139938	2.51
26/10/2017	14.91	95330	2.88
27/10/2017	15.06	90440	3.15
28/10/2017	15	143399	2.48
29/10/2017	13.47	103985	3.37
30/10/2017	13.82	73627	3.39
31/10/2017	14.39	70199	3.25
01/11/2017	15.15	156220	2.92
02/11/2017	13.93	143031	2.41
03/11/2017	14.19	77212	3.36
04/11/2017	14.7	71908	3.29
05/11/2017	15.12	77894	3.15
06/11/2017	15.08	64791	3.17
07/11/2017	14.94	62235	3.06
08/11/2017	15.05	65271	3.08
09/11/2017	15.03	76174	2.96
10/11/2017	14.73	110838	2.71
11/11/2017	13.75	64790	3.19
12/11/2017	13.85	58968	3.13
13/11/2017	14	57057	3.07
14/11/2017	13.93	96993	3.1
15/11/2017	13.65	61176	3.31
16/11/2017	14.08	92352	3.07
17/11/2017	13.81	60145	3.53
18/11/2017	13.39	115500	3.03
19/11/2017	12.64	117428	2.63
20/11/2017	12.64	70043	3.36
21/11/2017	13	136468	2.95
22/11/2017	10.66	305764	1.8
23/11/2017	11.17	151524	2.21
24/11/2017	12.2	112381	3.05
25/11/2017	12.52	86116	3.31
26/11/2017	12.63	113530	3.06
27/11/2017	12.35	185827	2.12
28/11/2017	11.1	162414	1.95
29/11/2017	11.65	103364	3.07
30/11/2017	12.26	82918	3.01
01/12/2017	12.54	88544	2.82
02/12/2017	12.48	76432	2.94
03/12/2017	12.41	103967	3.03
04/12/2017	12.34	73672	3.21
05/12/2017	12.65	73263	3.2
06/12/2017	12.55	130316	2.99
07/12/2017	12.31	114306	3.12
08/12/2017	11.95	77225	3.54
09/12/2017	11.91	72297	3.44
10/12/2017	12.04	72292	3.33
11/12/2017	12.15	132969	2.66
12/12/2017	10.08	156534	2.67
13/12/2017	10.47	126646	2.58
14/12/2017	10.1	178925	2.57
15/12/2017	10.68	95086	3.57
16/12/2017	11.36	86699	3.32
17/12/2017	11.68	79164	3.19
18/12/2017	11.92	77282	3.97
19/12/2017	12.18	72119	3.26
20/12/2017	12.37	75208	3.08
21/12/2017	12.37	70327	3.13
22/12/2017	12.39	78212	2.92
23/12/2017	12.43	66604	3.25
24/12/2017	12.24	138334	2.77
25/12/2017	11.7	86808	3.22
26/12/2017	11.52	79861	3.21
27/12/2017	11.68	89295	2.98
28/12/2017	11.77	67459	3.79
29/12/2017	11.83	63930	3.45
30/12/2017	11.59	155773	2.72
31/12/2017	10.74	125379	3.57
01/01/2018	10.8	108599	2.98
02/01/2018	11.05	80766	3.27
03/01/2018	9.7	321119	2.04
04/01/2018	9.32	203640	2.13
05/01/2018	9.93	127590	3.03
06/01/2018	10.29	127871	3.33
07/01/2018	10.37	91526	3.2
08/01/2018	10.94	87831	3.04
09/01/2018	11.04	87722	3.06
10/01/2018	11.06	114993	3.03
11/01/2018	11.1	84980	3.17
12/01/2018	11.17	72637	3.15
13/01/2018	11.1	71178	3.11
14/01/2018	10.98	71450	3.19
15/01/2018	10.93	111374	2.87
16/01/2018	10.21	111297	2.91
17/01/2018	10.29	73085	3.15
18/01/2018	10.92	80406	3.11
19/01/2018	11.25	78520	3.15
20/01/2018	11.38	68287	3.24
21/01/2018	11.51	66081	3.32
22/01/2018	11.55	65319	3.34
23/01/2018	11.57	112780	3.06
24/01/2018	10.92	94720	3.34
25/01/2018	11.19	68025	3.44
26/01/2018	11.63	63440	3.44
27/01/2018	11.86	124079	3.16
28/01/2018	10.42	82878	3.37
29/01/2018	10.84	97762	2.77
30/01/2018	11	69559	2.35
31/01/2018	10.7	174314	2.83
01/02/2018	9.89	92077	3.52
02/02/2018	10.37	125431	3.67
03/02/2018	10.22	79208	3.6
04/02/2018	10.58	75860	3.46
05/02/2018	10.78	71906	3.37
06/02/2018	10.85	70760	3.28
07/02/2018	10.71	67867	3.3
08/02/2018	10.86	67417	3.05
09/02/2018	10.84	64589	3.28
10/02/2018	10.92	62808	3.43
11/02/2018	10.94	83347	3.26
12/02/2018	10.63	62601	3.52
13/02/2018	10.81	59129	3.41
14/02/2018	10.99	58221	3.25
15/02/2018	10.83	64104	3.29
16/02/2018	11.07	67712	3.14
17/02/2018	11.26	57463	3.11
18/02/2018	11.43	57762	3.06
19/02/2018	11.59	57984	3.06
20/02/2018	11.67	57554	3.21
21/02/2018	11.79	56651	3.26
22/02/2018	11.66	54646	3.43
23/02/2018	11.41	54865	3.42
24/02/2018	11.12	55129	3.42
25/02/2018	10.81	55394	3.38
26/02/2018	10.52	54642	3.36
27/02/2018	10.09	54665	3.33
28/02/2018	9.59	52979	3.4
01/03/2018	9.64	53360	3.32
02/03/2018	9.99	57152	3.29
03/03/2018	10.3	57304	3.43
04/03/2018	10.42	55983	4.93
05/03/2018	10.47	62942	3.71
06/03/2018	10.54	91797	3.33
07/03/2018	10.18	88168	3.14
08/03/2018	9.99	174920	2.94
09/03/2018	7.66	165501	2.95
10/03/2018	8.21	93115	3.53
11/03/2018	8.91	115549	2.9
12/03/2018	9.21	329764	2.43
13/03/2018	7.79	280454	2.52
14/03/2018	8.37	141322	2.96
15/03/2018	8.73	105397	3.14
16/03/2018	8.77	95839	3.07
17/03/2018	8.84	90077	3.52
18/03/2018	9.33	84327	3.14
19/03/2018	9.87	79768	3.18
20/03/2018	10.1	89317	3.33
