Date	Temperature_C	inflow_m3d	SS_kgm3
06/07/2017	17.72	50165	3.54
07/07/2017	18	49303	3.32
08/07/2017	18.11	69844	3.25
09/07/2017	18.36	45746	3.55
10/07/2017	18.38	50500	3.18
11/07/2017	18.53	47694	3.13
12/07/2017	18.22	47035	3.24
13/07/2017	18.12	44016	3.53
14/07/2017	18.1	66731	2.94
15/07/2017	18	54377	3.03
16/07/2017	17.73	77105	2.59
17/07/2017	17.71	44279	3.38
18/07/2017	17.77	44388	3.26
19/07/2017	18.22	44173	3.29
20/07/2017	18.38	133500	2.79
21/07/2017	17.46	202911	2.52
22/07/2017	17.69	79457	3.48
23/07/2017	17.57	339396	2.14
24/07/2017	17.34	122494	2.78
25/07/2017	17.34	82766	3.16
26/07/2017	17.54	61220	3.62
27/07/2017	17.64	78940	3.26
28/07/2017	17.9	52710	3.37
29/07/2017	17.78	58706	2.83
30/07/2017	17.47	197092	2.28
31/07/2017	17.94	68553	3.57
01/08/2017	18.32	80452	3.2
02/08/2017	18.5	55550	3.46
03/08/2017	18.09	364094	1.33
04/08/2017	17.29	198208	2.11
05/08/2017	17.38	88660	3.39
06/08/2017	17.56	71684	3.52
07/08/2017	17.84	63733	3.68
08/08/2017	18.23	73414	3.41
09/08/2017	18.44	77033	3.26
10/08/2017	18.54	56252	3.51
11/08/2017	18.54	54681	3.53
12/08/2017	18.4	96051	3.74
13/08/2017	18.04	55051	3.53
14/08/2017	18.18	52381	3.51
15/08/2017	18.5	62417	3.52
16/08/2017	18.72	55272	3.38
17/08/2017	18.73	159427	2.74
18/08/2017	18.42	122799	2.74
19/08/2017	18.31	55006	3.61
20/08/2017	18.15	147432	3.08
21/08/2017	17.5	133823	2.66
22/08/2017	17.69	55340	3.51
23/08/2017	18.1	53114	3.44
24/08/2017	18.29	50843	3.3
25/08/2017	18.47	49295	3.23
26/08/2017	18.73	47522	3.23
27/08/2017	18.84	55010	3.08
28/08/2017	18.98	49772	3.31
29/08/2017	19.18	48259	2.89
30/08/2017	19.03	153169	2.73
31/08/2017	17.95	110052	3.02
01/09/2017	17.92	60390	3.33
02/09/2017	18.08	47278	3.44
03/09/2017	18.35	48206	3.47
04/09/2017	18.32	47369	3.44
05/09/2017	18.47	47686	3.3
06/09/2017	18.14	227364	1.73
07/09/2017	16.65	228522	2.26
08/09/2017	16.51	163471	2.12
09/09/2017	16.59	217330	1.87
10/09/2017	16.45	123274	2.26
11/09/2017	16.73	125284	2.44
12/09/2017	16.86	91484	2.94
13/09/2017	16.33	278366	1.91
14/09/2017	15.22	328156	0.99
15/09/2017	15.46	185359	1.5
16/09/2017	15.98	110490	2.93
17/09/2017	15.91	160877	2.57
18/09/2017	15.15	112391	3
19/09/2017	15.77	107146	2.65
20/09/2017	16.55	78111	3.24
21/09/2017	16.91	71916	3.53
