Date	Temperature_C	inflow_m3d	SS_kgm3
06/07/2017	17.72	50165	4.73
07/07/2017	18	49303	4.15
08/07/2017	18.11	69844	4.31
09/07/2017	18.36	45746	4.49
10/07/2017	18.38	50500	4.34
11/07/2017	18.53	47694	4.13
12/07/2017	18.22	47035	3.76
13/07/2017	18.12	44016	4.23
14/07/2017	18.1	66731	3.79
15/07/2017	18	54377	3.55
16/07/2017	17.73	77105	3.32
17/07/2017	17.71	44279	3.69
18/07/2017	17.77	44388	3.64
19/07/2017	18.22	44173	3.55
20/07/2017	18.38	133500	3.04
21/07/2017	17.46	202911	2.43
22/07/2017	17.69	79457	3.14
23/07/2017	17.57	339396	2.47
24/07/2017	17.34	122494	2.72
25/07/2017	17.34	82766	3.04
26/07/2017	17.54	61220	3.66
27/07/2017	17.64	78940	3.47
28/07/2017	17.9	52710	3.7
29/07/2017	17.78	58706	3.62
30/07/2017	17.47	197092	2.47
31/07/2017	17.94	68553	3.26
01/08/2017	18.32	80452	3.78
02/08/2017	18.5	55550	3.85
03/08/2017	18.09	364094	3.12
04/08/2017	17.29	198208	2.43
05/08/2017	17.38	88660	2.93
06/08/2017	17.56	71684	3.55
07/08/2017	17.84	63733	3.58
08/08/2017	18.23	73414	3.98
09/08/2017	18.44	77033	3.51
10/08/2017	18.54	56252	3.74
11/08/2017	18.54	54681	3.81
12/08/2017	18.4	96051	4.71
13/08/2017	18.04	55051	3.86
14/08/2017	18.18	52381	4.07
15/08/2017	18.5	62417	4.26
16/08/2017	18.72	55272	3.74
17/08/2017	18.73	159427	5.09
18/08/2017	18.42	122799	3.92
19/08/2017	18.31	55006	3.78
20/08/2017	18.15	147432	4.42
21/08/2017	17.5	133823	3.08
22/08/2017	17.69	55340	3.79
23/08/2017	18.1	53114	3.78
24/08/2017	18.29	50843	3.66
25/08/2017	18.47	49295	3.63
26/08/2017	18.73	47522	3.63
27/08/2017	18.84	55010	3.56
28/08/2017	18.98	49772	3.72
29/08/2017	19.18	48259	3.49
30/08/2017	19.03	153169	4.62
31/08/2017	17.95	110052	3.17
01/09/2017	17.92	60390	3.64
02/09/2017	18.08	47278	3.87
03/09/2017	18.35	48206	3.87
04/09/2017	18.32	47369	3.77
05/09/2017	18.47	47686	3.57
06/09/2017	18.14	227364	2.42
07/09/2017	16.65	228522	2.16
08/09/2017	16.51	163471	2.45
09/09/2017	16.59	217330	2.51
10/09/2017	16.45	123274	2.4
11/09/2017	16.73	125284	2.64
12/09/2017	16.86	91484	2.93
13/09/2017	16.33	278366	1.89
14/09/2017	15.22	328156	1.73
15/09/2017	15.46	185359	2.04
16/09/2017	15.98	110490	2.96
17/09/2017	15.91	160877	2.71
18/09/2017	15.15	112391	2.97
19/09/2017	15.77	107146	2.65
