Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Micropruina,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,pos,pos,neg,neg,pos,pos,na,var,na,na,pos,pos,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,neg,na,na
g__Tessaracoccus,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Aestuariimicrobium,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Subdoligranulum,"",Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,na
g__Nocardioides,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,pos,na,pos,na,var,na,pos
g__Denitratisoma,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Sphingopyxis,Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Coprothermobacter,*Thermobacterioides proteolyticus*,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,pos,pos,na,var,na,na,na,na,na,pos,pos,pos,neg,var,na,na
g__Limnohabitans,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Propionivibrio,*Propionibacter pelophilus*,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,neg,na,neg,na,neg,na,var,neg,neg,pos,var,na,var,na,neg,na,var,na,neg,na,na,na,var,na,var,na,var,neg,neg,na,na
g__Ca_Sarcinithrix,Eikelboom type 0914,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,na,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,pos,na,neg,na
g__Piscinibacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Pirellula,"",Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Ca_Villigracilis,"*Candidatus* Villogracilis ,SBR1029",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,pos,na,na,na
