Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190702-90,MQ190702,LIB-Aalborg-W-LT-484,53902,"",pre-S::Select,"",Aalborg W,2017-10-24,43,2017,Fall,"","","","","","",,,,,,,,,
MQ190702-91,MQ190702,LIB-Aalborg-W-LT-487,62287,"",pre-S::Select,"",Aalborg W,2017-11-01,44,2017,Fall,"","","","","","",,,,,,,,,13.1
MQ190702-92,MQ190702,LIB-Aalborg-W-LT-490,65342,"",pre-S::Select,"",Aalborg W,2017-11-09,45,2017,Fall,"","","","","","",,,,,,,,,13.6
MQ190702-93,MQ190702,LIB-Aalborg-W-LT-493,72875,"",pre-S::Select,"",Aalborg W,2017-11-15,46,2017,Fall,"","","","","","",,,,,,,,,12
MQ190702-94,MQ190702,LIB-Aalborg-W-LT-496,63043,"",pre-S::Select,"",Aalborg W,2017-11-23,47,2017,Fall,"","","","","","",,,,,,,,,10.8
MQ190702-95,MQ190702,LIB-Aalborg-W-LT-499,67699,"",pre-S::Select,"",Aalborg W,2017-11-28,48,2017,Fall,"","","","","","",,,,,,,,,10
MQ190702-96,MQ190702,LIB-Aalborg-W-LT-502,43598,"",pre-S::Select,"",Aalborg W,2017-12-07,49,2017,Fall,"","","","","","",,,,,,,,,12
MQ190702-97,MQ190702,LIB-Aalborg-W-LT-505,44192,"",pre-S::Select,"",Aalborg W,2017-12-12,50,2017,Fall,"","","","","","",,,,,,,,,10.5
MQ190702-98,MQ190702,LIB-Aalborg-W-LT-508,31058,"",pre-S::Select,"",Aalborg W,2017-12-19,51,2017,Winter,"","","","","","",,,,,,,,,11.4
MQ190702-99,MQ190702,LIB-Aalborg-W-LT-511,34501,"",pre-S::Select,"",Aalborg W,2018-01-04,1,2018,Winter,"","","","","","",,,,,,,,,8.8
MQ190702-100,MQ190702,LIB-Aalborg-W-LT-513,38323,"",pre-S::Select,"",Aalborg W,2018-01-11,2,2018,Winter,"","","","","","",,,,,,,,,10.2
MQ190702-101,MQ190702,LIB-Aalborg-W-LT-515,45496,"",pre-S::Select,"",Aalborg W,2018-01-17,3,2018,Winter,"","","","","","",,,,,,,,,8.8
MQ190702-102,MQ190702,LIB-Aalborg-W-LT-517,44426,"",pre-S::Select,"",Aalborg W,2018-01-23,4,2018,Winter,"","","","","","",,,,,,,,,10.6
MQ190702-103,MQ190702,LIB-Aalborg-W-LT-519,47701,"",pre-S::Select,"",Aalborg W,2018-01-31,5,2018,Winter,"","","","","","",,,,,,,,,9.7
MQ190702-104,MQ190702,LIB-Aalborg-W-LT-521,64548,"",pre-S::Select,"",Aalborg W,2018-02-06,6,2018,Winter,"","","","","","",,,,,,,,,9.9
MQ190702-105,MQ190702,LIB-Aalborg-W-LT-523,65349,"",pre-S::Select,"",Aalborg W,2018-02-12,7,2018,Winter,"","","","","","",,,,,,,,,9.4
MQ190702-106,MQ190702,LIB-Aalborg-W-LT-525,49901,"",pre-S::Select,"",Aalborg W,2018-02-20,8,2018,Winter,"","","","","","",,,,,,,,,9.7
MQ190702-107,MQ190702,LIB-Aalborg-W-LT-527,62827,"",pre-S::Select,"",Aalborg W,2018-02-27,9,2018,Winter,"","","","","","",,,,,,,,,9.5
MQ190702-108,MQ190702,LIB-Aalborg-W-LT-529,63058,"",pre-S::Select,"",Aalborg W,2018-03-13,11,2018,Winter,"","","","","","",,,,,,,,,9
MQ190702-109,MQ190702,LIB-Aalborg-W-LT-531,75956,"",pre-S::Select,"",Aalborg W,2018-03-20,12,2018,Spring,"","","","","","",,,,,,,,,9.9
MQ190702-110,MQ190702,LIB-Aalborg-W-LT-533,59896,"",pre-S::Select,"",Aalborg W,2018-03-26,13,2018,Spring,"","","","","","",,,,,,,,,10.2
MQ190702-111,MQ190702,LIB-Aalborg-W-LT-535,61908,"",pre-S::Select,"",Aalborg W,2018-04-05,14,2018,Spring,"","","","","","",,,,,,,,,9.7
MQ190702-112,MQ190702,LIB-Aalborg-W-LT-537,67041,"",pre-S::Select,"",Aalborg W,2018-04-10,15,2018,Spring,"","","","","","",,,,,,,,,11.1
MQ190702-113,MQ190702,LIB-Aalborg-W-LT-539,72136,"",pre-S::Select,"",Aalborg W,2018-04-17,16,2018,Spring,"","","","","","",,,,,,,,,12.5
MQ190702-114,MQ190702,LIB-Aalborg-W-LT-541,46681,"",pre-S::Select,"",Aalborg W,2018-04-25,17,2018,Spring,"","","","","","",,,,,,,,,12
MQ190702-115,MQ190702,LIB-Aalborg-W-LT-543,64530,"",pre-S::Select,"",Aalborg W,2018-05-01,18,2018,Spring,"","","","","","",,,,,,,,,
MQ190702-116,MQ190702,LIB-Aalborg-W-LT-545,68788,"",pre-S::Select,"",Aalborg W,2018-05-09,19,2018,Spring,"","","","","","",,,,,,,,,14.1
MQ190702-117,MQ190702,LIB-Aalborg-W-LT-547,68754,"",pre-S::Select,"",Aalborg W,2018-05-17,20,2018,Spring,"","","","","","",,,,,,,,,15.5
MQ190702-118,MQ190702,LIB-Aalborg-W-LT-551,63602,"",pre-S::Select,"",Aalborg W,2018-05-31,22,2018,Spring,"","","","","","",,,,,,,,,17.4
MQ190702-119,MQ190702,LIB-Aalborg-W-LT-553,66533,"",pre-S::Select,"",Aalborg W,2018-06-06,23,2018,Spring,"","","","","","",,,,,,,,,17.7
MQ190702-120,MQ190702,LIB-Aalborg-W-LT-555,52545,"",pre-S::Select,"",Aalborg W,2018-06-11,24,2018,Spring,"","","","","","",,,,,,,,,
MQ190702-121,MQ190702,LIB-Aalborg-W-LT-557,49783,"",pre-S::Select,"",Aalborg W,2018-06-19,25,2018,Summer,"","","","","","",,,,,,,,,155
MQ190702-122,MQ190702,LIB-Aalborg-W-LT-559,36901,"",pre-S::Select,"",Aalborg W,2018-06-22,25,2018,Summer,"","","","","","",,,,,,,,,155
MQ190702-123,MQ190702,LIB-Aalborg-W-LT-561,23098,"",pre-S::Select,"",Aalborg W,2018-06-26,26,2018,Summer,"","","","","","",,,,,,,,,18.4
MQ190702-124,MQ190702,LIB-Aalborg-W-LT-563,44603,"",pre-S::Select,"",Aalborg W,2018-06-29,26,2018,Summer,"","","","","","",,,,,,,,,18.4
MQ190702-125,MQ190702,LIB-Aalborg-W-LT-565,49408,"",pre-S::Select,"",Aalborg W,2018-07-03,27,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-126,MQ190702,LIB-Aalborg-W-LT-567,43661,"",pre-S::Select,"",Aalborg W,2018-07-06,27,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-127,MQ190702,LIB-Aalborg-W-LT-569,44775,"",pre-S::Select,"",Aalborg W,2018-07-10,28,2018,Summer,"","","","","","",,,,,,,,,19.3
MQ190702-128,MQ190702,LIB-Aalborg-W-LT-571,58873,"",pre-S::Select,"",Aalborg W,2018-07-13,28,2018,Summer,"","","","","","",,,,,,,,,19.3
MQ190702-129,MQ190702,LIB-Aalborg-W-LT-573,65898,"",pre-S::Select,"",Aalborg W,2018-07-17,29,2018,Summer,"","","","","","",,,,,,,,,19.2
MQ190702-130,MQ190702,LIB-Aalborg-W-LT-575,46681,"",pre-S::Select,"",Aalborg W,2018-07-20,29,2018,Summer,"","","","","","",,,,,,,,,19.2
MQ190702-131,MQ190702,LIB-Aalborg-W-LT-577,51998,"",pre-S::Select,"",Aalborg W,2018-07-31,31,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-132,MQ190702,LIB-Aalborg-W-LT-579,55266,"",pre-S::Select,"",Aalborg W,2018-08-03,31,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-133,MQ190702,LIB-Aalborg-W-LT-581,66621,"",pre-S::Select,"",Aalborg W,2018-08-07,32,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-134,MQ190702,LIB-Aalborg-W-LT-583,64321,"",pre-S::Select,"",Aalborg W,2018-08-10,32,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-135,MQ190702,LIB-Aalborg-W-LT-585,68860,"",pre-S::Select,"",Aalborg W,2018-08-14,33,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-136,MQ190702,LIB-Aalborg-W-LT-587,52604,"",pre-S::Select,"",Aalborg W,2018-08-17,33,2018,Summer,"","","","","","",,,,,,,,,
MQ190702-137,MQ190702,LIB-Aalborg-W-LT-589,59221,"",pre-S::Select,"",Aalborg W,2018-08-21,34,2018,Summer,"","","","","","",,,,,,,,,17.8
MQ190702-138,MQ190702,LIB-Aalborg-W-LT-591,39978,"",pre-S::Select,"",Aalborg W,2018-08-24,34,2018,Summer,"","","","","","",,,,,,,,,17.8
MQ190702-139,MQ190702,LIB-Aalborg-W-LT-593,49876,"",pre-S::Select,"",Aalborg W,2018-08-28,35,2018,Summer,"","","","","","",,,,,,,,,18.2
MQ190702-140,MQ190702,LIB-Aalborg-W-LT-595,54861,"",pre-S::Select,"",Aalborg W,2018-08-31,35,2018,Summer,"","","","","","",,,,,,,,,18.2
MQ190702-141,MQ190702,LIB-Aalborg-W-LT-597,62978,"",pre-S::Select,"",Aalborg W,2018-09-04,36,2018,Summer,"","","","","","",,,,,,,,,19
MQ190702-142,MQ190702,LIB-Aalborg-W-LT-599,50709,"",pre-S::Select,"",Aalborg W,2018-09-07,36,2018,Summer,"","","","","","",,,,,,,,,19
