Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181116-158,MQ181116,LIB-Fredericia-LT-117,,Fredericia-LT-117,Summer,LT,AS,"",Fredericia,2016-08-16,33,2016,,"","","","","","",,,,,,,37.2851365,12.84876201,,,"",,
MQ181116-159,MQ181116,LIB-Fredericia-LT-125,,Fredericia-LT-125,Summer,LT,AS,"",Fredericia,2016-08-26,34,2016,,"","","","","","",,,,,,,37.75578988,10.59682188,,,"",,
MQ181116-160,MQ181116,LIB-Fredericia-LT-129,,Fredericia-LT-129,Summer,LT,AS,"",Fredericia,2016-08-30,35,2016,,"","","","","","",,,,,,,37.01068901,10.26884701,,,"",,
MQ181116-161,MQ181116,LIB-Fredericia-LT-131,,Fredericia-LT-131,Summer,LT,AS,"",Fredericia,2016-09-06,36,2016,,"","","","","","",,,,,,,35.69382252,10.01824649,,,"",,
MQ181116-162,MQ181116,LIB-Fredericia-LT-133,,Fredericia-LT-133,Summer,LT,AS,"",Fredericia,2016-09-13,37,2016,,"","","","","","",,,,,,,32.99147768,13.53358278,,,"",,
MQ181116-163,MQ181116,LIB-Fredericia-LT-137,,Fredericia-LT-137,Fall,LT,AS,"",Fredericia,2016-09-20,38,2016,,"","","","","","",,,,,,,51.9030767,9.940872136,,,"",,
MQ181116-164,MQ181116,LIB-Fredericia-LT-141,,Fredericia-LT-141,Fall,LT,AS,"",Fredericia,2016-10-04,40,2016,,"","","","","","",,,,,,,36.86985411,9.504342203,,,"",,
MQ181116-165,MQ181116,LIB-Fredericia-LT-143,,Fredericia-LT-143,Fall,LT,AS,"",Fredericia,2016-10-11,41,2016,,"","","","","","",,,,,,,38.42264914,9.87158167,,,"",,
MQ181116-166,MQ181116,LIB-Fredericia-LT-147,,Fredericia-LT-147,Fall,LT,AS,"",Fredericia,2016-10-18,42,2016,,"","","","","","",,,,,,,40.98777023,10.8,,,"",,
MQ181116-167,MQ181116,LIB-Fredericia-LT-149,,Fredericia-LT-149,Fall,LT,AS,"",Fredericia,2016-10-25,43,2016,,"","","","","","",,,,,,,46.47070153,12.69516814,,,"",,
MQ181116-168,MQ181116,LIB-Fredericia-LT-158,,Fredericia-LT-158,Fall,LT,AS,"",Fredericia,2016-12-05,49,2016,,"","","","","","",,,,,,,42.94621792,8.429185144,,,"",,
MQ181116-169,MQ181116,LIB-Fredericia-LT-162,,Fredericia-LT-162,Winter,LT,AS,"",Fredericia,2016-12-16,50,2016,,"","","","","","",,,,,,,37.94958833,8.006513304,,,"",,
MQ181116-170,MQ181116,LIB-Fredericia-LT-166,,Fredericia-LT-166,Winter,LT,AS,"",Fredericia,2016-12-22,51,2016,,"","","","","","",,,,,,,42.40815639,10.84511271,,,"",,
MQ181116-171,MQ181116,LIB-Fredericia-LT-168,,Fredericia-LT-168,Winter,LT,AS,"",Fredericia,2017-01-05,1,2017,,"","","","","","",,,,,,,26.27232895,14.10060976,,,"",,
MQ181116-172,MQ181116,LIB-Fredericia-LT-172,,Fredericia-LT-172,Winter,LT,AS,"",Fredericia,2017-01-11,2,2017,,"","","","","","",,,,,,,27.31354422,11.60961752,,,"",,
MQ181116-173,MQ181116,LIB-Fredericia-LT-178,,Fredericia-LT-178,Winter,LT,AS,"",Fredericia,2017-01-24,4,2017,,"","","","","","",,,,,,,28.35355578,10.92133222,,,"",,
MQ181116-174,MQ181116,LIB-Fredericia-LT-180,,Fredericia-LT-180,Winter,LT,AS,"",Fredericia,2017-02-02,5,2017,,"","","","","","",,,,,,,32.66286292,13.86040281,,,"",,
MQ181116-175,MQ181116,LIB-Fredericia-LT-184,,Fredericia-LT-184,Winter,LT,AS,"",Fredericia,2017-02-06,6,2017,,"","","","","","",,,,,,,32.79286437,15.31781227,,,"",,
MQ181116-176,MQ181116,LIB-Fredericia-LT-188,,Fredericia-LT-188,Winter,LT,AS,"",Fredericia,2017-02-24,8,2017,,"","","","","","",,,,,,,31.76488998,12.7136456,,,"",,
