Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181123-217,MQ181123,LIB-Egaa-LT-155,,Egaa #155,Winter,"","",Egå,2018-02-09,6,2018,,Recirculation,"","","","","",,,,,,,70.01305116,6.059689454,
MQ181123-218,MQ181123,LIB-Egaa-LT-157,,Egaa #157,Winter,"","",Egå,2018-03-08,10,2018,,Recirculation,"","","","","",,,,,,,60.12232259,5.914750958,
MQ181123-219,MQ181123,LIB-Egaa-LT-161,,Egaa #161,Spring,"","",Egå,2018-03-22,12,2018,,Recirculation,"","","","","",,,,,,,37.91744504,10.20240976,
MQ181123-220,MQ181123,LIB-Egaa-LT-164,,Egaa #164,Spring,"","",Egå,2018-04-16,16,2018,,Recirculation,"","","","","",,,,,,,26.8828211,6.251260335,
MQ181123-221,MQ181123,LIB-Egaa-LT-166,,Egaa #166,Spring,"","",Egå,2018-04-20,16,2018,,Recirculation,"","","","","",,,,,,,60.83245899,1.627092156,
MQ181123-222,MQ181123,LIB-Egaa-LT-169,,Egaa #169,Spring,"","",Egå,2018-05-07,19,2018,,Recirculation,"","","","","",,,,,,,33.62975663,4.61060225,
MQ181123-223,MQ181123,LIB-Egaa-LT-172,,Egaa #172,Spring,"","",Egå,2018-05-31,22,2018,,Recirculation,"","","","","",,,,,,,51.28976124,3.211760239,
MQ181123-224,MQ181123,LIB-Egaa-LT-175,,Egaa #175,Summer,"","",Egå,2018-08-13,33,2018,,Recirculation,"","","","","",,,,,,,34.42690073,4.921607179,
MQ210219-267,MQ210219,LIB-EgaLT-178,,"",Summer,"","",Egå,2018-08-31,35,2018,,"","","","","","",,,,,,,,,
MQ210219-268,MQ210219,LIB-EgaLT-181,,"",Fall,"","",Egå,2018-09-15,37,2018,,"","","","","","",,,,,,,,,
MQ210219-269,MQ210219,LIB-EgaLT-184,,"",Fall,"","",Egå,2018-09-27,39,2018,,"","","","","","",,,,,,,,,
MQ210219-270,MQ210219,LIB-EgaLT-187,,"",Fall,"","",Egå,2018-10-05,40,2018,,"","","","","","",,,,,,,,,
MQ210219-271,MQ210219,LIB-EgaLT-190,,"",Fall,"","",Egå,2018-10-26,43,2018,,"","","","","","",,,,,,,,,
MQ210219-272,MQ210219,LIB-EgaLT-193,,"",Fall,"","",Egå,2018-11-16,46,2018,,"","","","","","",,,,,,,,,
MQ210219-273,MQ210219,LIB-EgaLT-196,,"",Fall,"","",Egå,2018-11-29,48,2018,,"","","","","","",,,,,,,,,
MQ210219-274,MQ210219,LIB-EgaLT-232,,"",Winter,"","",Egå,2019-01-25,4,2019,,"","","","","","",,,,,,,,,
MQ210219-275,MQ210219,LIB-EgaLT-235,,"",Winter,"","",Egå,2019-01-31,5,2019,,"","","","","","",,,,,,,,,
MQ210219-276,MQ210219,LIB-EgaLT-238,,"",Winter,"","",Egå,2019-02-22,8,2019,,"","","","","","",,,,,,,,,
MQ210219-277,MQ210219,LIB-EgaLT-241,,"",Winter,"","",Egå,2019-02-28,9,2019,,"","","","","","",,,,,,,,,
MQ210219-278,MQ210219,LIB-EgaLT-244,,"",Winter,"","",Egå,2019-03-13,11,2019,,"","","","","","",,,,,,,,,
MQ210219-279,MQ210219,LIB-EgaLT-247,,"",Spring,"","",Egå,2019-03-27,13,2019,,"","","","","","",,,,,,,,,
MQ210219-280,MQ210219,LIB-EgaLT-250,,"",Spring,"","",Egå,2019-04-11,15,2019,,"","","","","","",,,,,,,,,
MQ210219-281,MQ210219,LIB-EgaLT-253,,"",Spring,"","",Egå,2019-04-26,17,2019,,"","","","","","",,,,,,,,,
