ASV,MQ200121-8,MQ200121-9,MQ200121-10,MQ200121-11,MQ200121-12,MQ200121-13,MQ200121-14,MQ200121-15,MQ200121-16,MQ200121-17,MQ200121-18,MQ200121-19,MQ200121-20,MQ200121-21,MQ200121-22,MQ200121-23,MQ200121-24,MQ200121-25,MQ200121-26,MQ200121-27,MQ200121-28,MQ200121-29,MQ200121-30,MQ200121-31,MQ200121-32,MQ200121-33,MQ200121-34,MQ200121-36,MQ200121-37,MQ200121-38,MQ200121-39,MQ200121-40,MQ200121-41,MQ200121-42,MQ200121-43,MQ200121-44,MQ200121-45,MQ200121-46,MQ200121-47,MQ200121-48,MQ200121-49,MQ200121-50,MQ200121-51,MQ200121-52,MQ200121-53,MQ210118-58,MQ210118-59,MQ210118-60,MQ210118-61,MQ210118-62,MQ210118-63,MQ210118-64,MQ210118-65,MQ210118-66,MQ210118-67,MQ210118-68,MQ210118-69,MQ191010-274,MQ191010-277,MQ191010-278,MQ191010-279,MQ191010-280,MQ191010-281,MQ191010-282,MQ191010-283,MQ191010-284,MQ191010-285,MQ191010-286,MQ191010-287,MQ191010-288,MQ191010-289,MQ191010-290,MQ191010-291,MQ191010-292,MQ191010-293,MQ191010-294,MQ191010-295,MQ191010-296,MQ191010-297,MQ191010-298,MQ191010-299,MQ191010-300,MQ191010-301,MQ191010-302,MQ191010-303,MQ191010-304,MQ221010-171,MQ221010-172,MQ221010-173,MQ221010-174,MQ221010-175,MQ221010-176,MQ221010-177,MQ221010-178,MQ221010-179,MQ221010-180,MQ221010-181,MQ221010-182,MQ221010-183,MQ221010-184,MQ221010-185,MQ221010-186,MQ221010-187,MQ221010-188,MQ221010-189,MQ221010-190,MQ221010-191,MQ221010-192,MQ221010-193,MQ221010-194,MQ221010-195,MQ221010-196,MQ221010-197,MQ221010-198,MQ221010-199,MQ221010-200,MQ221010-201,MQ221010-202,MQ221010-203,MQ221010-204,MQ221010-205,MQ221010-206,MQ221010-207,MQ230328-82,MQ230328-83,MQ230328-84,MQ230328-85,MQ230328-86,MQ230328-87,MQ230328-88,MQ230328-89,MQ230328-90,MQ230328-91,MQ230328-92,MQ230328-93,MQ230328-94,MQ230309-111,MQ230309-112,MQ230309-113,MQ230309-114,MQ230309-115,MQ230309-116,MQ230309-117,MQ230328-78,MQ230328-79,MQ230328-80,MQ230328-81,MQ230328-95,MQ230328-96,MQ230328-97,MQ230328-98,MQ230328-99,MQ230328-100
ASV1,11.1992533831078,14.9990776609482,13.2802025919857,17.0385695285947,11.3276492082826,12.0329190739432,9.54892884056411,6.91044041086253,6.6147859922179,7.33505404097435,8.84476534296029,9.5670289327234,9.26726095475366,7.60906323977004,7.83315469810647,5.20122381736879,8.455073896664,13.8705803087559,7.66620544244581,8.49820210420397,14.4661261223897,11.9657306044741,9.4070896047264,6.69194537429274,10.876457353242,9.84558475633361,8.25179042593291,14.0318387406959,14.2392611620069,13.0506196804539,7.15208209710636,10.7267740111811,9.89877589453861,9.8287676677743,13.1600363827852,14.3580348102792,10.6490086741016,13.9980050349119,10.4626275930194,11.1738948745435,11.7682311380267,14.9519444539453,8.98547966064825,9.0364656821246,11.6272043506607,8.86039475579888,4.58544277533405,7.43764977367534,10.0267726055791,6.57953873447664,7.44803318925259,10.2485197054267,9.23452861283173,6.36074809210311,5.78835364674018,7.20574679762245,7.4586852735953,4.78006882018726,4.08443846131813,2.49992922057699,2.91741348407556,4.45856143329723,4.13094310210444,3.51109638953296,3.47275888717156,6.03615235635894,4.16921384032278,4.34428896843475,6.48885350318471,6.55055994729908,4.13207547169811,3.41831868216854,3.07807445318913,4.6137018991747,3.39425587467363,3.02582812138059,2.92887029288703,4.125,2.30619773040858,4.14291977202981,5.52045405868494,9.90251231699221,9.95090016366612,6.84547155011163,6.87034277198212,9.98758204718822,6.35159542444311,8.09352517985612,9.53500205965737,5.89941972920696,6.91863926584409,7.2668783767064,9.03211327375852,10.6473965551376,6.43470192530735,5.91222690686087,5.07150899552021,5.72981566622266,7.24585128620793,3.53202091832544,3.91461471122983,8.48042642432716,3.74279052644496,4.84923997009718,6.96478946818514,7.35748511038467,5.83353452438436,4.29808792286321,7.09593014988197,7.76804198160897,9.24819381824108,12.3091625294268,11.0269381885416,14.1719266606552,13.2259571778028,13.161074857733,11.7739443220103,8.8323069635244,8.58233268174625,8.1725185383722,8.22791174755134,5.90492108411996,6.17322441853214,3.42851775314672,3.20740365111562,2.95061340044039,2.77723064802048,2.0818434644418,3.21151716500554,4.87345180398492,3.31709817995386,2.62719800228904,2.62363352420614,2.86545892507653,3.19709728212501,3.09007232084155,12.3376623376623,7.20801433458218,8.915864378401,5.81593523647209,3.96369698092239,7.80318091451292,10.9601449275362,5.66344093005131,7.45927209705373,5.66563370582527,5.09675030089807,2.46412856322939,0.0200467758102239,6.12374309267144,7.06229304635762,0.264738824966908,6.60870348680061
ASV2,0.474412816923316,0.769230769230769,0.808133472367049,1.19534341493851,0.764034990587975,0.935200964296105,1.35106039401443,1.74651751794006,1.30858261666956,1.05500887239877,1.63066756409472,1.50928003263308,1.90483605174718,1.74839364220494,2.02453257115637,1.34149211579195,3.92410889316946,0.417435627032252,4.49693615339,5.87904526554107,2.98197955332518,2.38933841028082,3.3021522014348,2.66018899783749,3.64593986500307,2.93059199678839,3.36223143611006,2.58734285409025,1.53974075338906,1.35433776317754,0.98432755069985,0.766347704097657,0.674266881894001,0.650269488210885,0.952654507156877,0.583385564823297,0.61183395291202,0.586614734242151,0.543299308528153,1.06469957666382,0.760156447136008,1.21763518828881,1.11757668044377,1.21656789891199,1.09243563852625,0.893243048552082,0.647356627105984,0.494068222833644,0.538330886374759,0.801892371377883,0.768913312626252,0.674886988263758,0.655414748726109,0.759883397202843,1.71793383633198,2.40297511204348,2.4054351817848,3.41700232068073,2.78406324291811,1.77514792899408,2.11222942230801,3.13533768552944,14.4886117606305,3.16093313774665,1.99478361669243,0.936087798579729,0.696906712312019,1.0250569476082,0.985270700636943,1.32164031620553,2.67924528301887,3.13216983320873,3.00564917193762,3.51993636273243,1.40611401218451,1.23349548297429,0.627615062761506,0.541666666666667,1.80215695660744,1.99473914949584,0.0374812593703148,1.83444564799609,0.928433268858801,1.25807035539733,1.45454545454545,1.49606764827627,3.32515166952253,2.48551159072742,3.7897695606872,2.63434530317047,2.83315198423289,3.40042067059842,3.46635655118946,2.49851514551574,2.3985154256553,2.54168263702568,2.46268835493376,2.10329566450393,1.93677744123544,1.74958245489144,1.97975354088573,2.67170569730863,1.93888820714198,1.9735858460005,3.50015672343538,4.75348170704402,3.50072428778368,1.80001400789111,2.57956258354427,2.78031871359106,1.67852680753979,1.89264154021863,2.04411802470404,2.11401663160004,2.46818569111948,2.39492013270934,2.64204473490893,3.43202273803884,3.19510378851345,6.72741892254087,11.1120049878321,8.23726045089362,6.14620357090894,5.18034942701484,4.89984787018256,6.31645171437559,15.6457225395575,7.49304727850616,11.2996361335232,7.93843116137139,7.05460138426045,4.20351680366247,5.80947423217075,7.64289657248959,3.9843910453892,2.77595149390021,3.78787878787879,4.09675842971168,3.76726663876099,3.77077119727311,2.55602889423967,3.62823061630219,2.60416666666667,8.12495940767682,6.93587521663778,6.11638025479701,5.00416628089992,1.29711115362541,0,1.16858411087961,1.00372516556291,0.244374299969453,1.39652220920804
ASV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00878811846383689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480238198146281,0,0,0,0.00354819633353046,0.00217207150459393,0.00424457225323118,0,0,0,0,0,0,0.00286426259559476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297619047619048,0.00281587024469912,0.0062629172668629,0,0,0,0,0,0,0.00231556522947251,0.00749400479616307,0,0,0,0.00206211077659092,0,0,0,0.00239555385205059,0,0.00214841232329309,0,0,0,0.00218455085634394,0,0,0,0,0,0,0,0,0,0.00466167867048924,0.00513597493644231,0.00500951808436029,0.0137426820218234,0.00219717443367829,0.0101324822048281,0.0142112742775936,0.0232709671413944,0.0223353881890467,0.0201122262223205,0.00569789747583142,0.0124711604414791,0,0,0,0,0.0158919348430671,0.00791014080050625,0,0,0,0.00520562207183759,0,0,0,0,0,0,0,0,0.0248508946322068,0,0,0.00346620450606586,0.00313018436785927,0.00462920099990742,0.00765257317773101,0,0.0135881873358094,0.00517384105960265,13.2216678545973,0.00450491035228399
ASV4,0.178876963757972,0.346799483490131,0.323998212423656,0.666633827561861,1.0740781751744,0.631780206991147,1.27570244375067,1.41058111720839,0.899650548960321,1.25181480884014,1.62913785718656,1.06203199207482,0.808387506974451,0.45316198850186,0.45254257472907,0.117674746999294,1.97569166254709,3.23695696751326,1.54015945180207,1.2755441779251,0.835700806669017,0.466444550214184,0.754325502883669,0.779097668631691,0.860775891457012,0.921903451044489,1.33132303053147,0.715837458598953,0.605799640677664,0.603255188890548,0.574191071241579,0.305701543164639,0.270715630885122,0.373626723055154,0.386168158680007,0.378477411889494,0.271065675340768,0.218496176316914,0.12347711557458,0.357928014680499,0.518861973252586,0.50791804904744,0.572384163584947,0.639638792211457,0.616979661933309,1.29664313499496,2.09975931612582,2.08277861601728,2.43832225005038,4.79716144293318,2.63472273507244,2.28994673061822,1.99844670493076,2.03399823130589,2.06616366802089,1.6496614856489,1.85824458318032,2.82749606551255,2.31432417724057,2.40650038220888,1.78684682200469,1.81211393776164,1.2008891198291,2.02053660152368,2.06240340030912,1.90445448676566,1.73615356400538,1.64334526521315,1.5625,1.85276679841897,4.65660377358491,3.85398674950375,1.96755347399932,1.62739054058533,0.894799825935596,0.697822561964327,1.11576011157601,1.40178571428571,1.66417931461718,1.37784179870984,0.42568001713429,0.884028093224781,1.09507513762833,1.70457973812828,1.55588673621461,1.42806457335462,2.5355439262724,2.38059552358114,2.56609077031186,5.74173744849046,4.52483114003572,3.31999835031138,3.95601256783776,2.39952484656504,3.25214567385757,3.17650440781909,3.90484632153894,3.15601770291754,3.12486668657481,3.47452290337596,3.91237009270275,3.46469765816148,3.31328997422997,2.38225766259656,1.92874307804827,2.31292821638082,2.25434572670208,1.63191931454719,1.41634196979608,1.5670887294786,0.953338041175512,1.08384029088875,1.17613826044529,1.11712253281234,1.09391748893714,0.973348274119483,0.795399853079008,1.1819043107532,1.16122126035558,1.08103278834986,0.901027734759961,1.06550682798048,1.11616885951238,3.07627277850836,3.23275862068966,2.9694872601447,2.21915829558138,2.55860150973381,1.94193956652428,2.28863758750673,1.48679825685722,1.12371241286026,1.16085372201978,1.47036683896221,1.14328746491408,1.03732924245745,2.27272727272727,2.12575338002932,1.86270406027627,0.830847890924585,0.592702352287461,0.472166998011928,1.17753623188406,1.46781840618302,2.47833622183709,1.86245969887626,2.54143134894917,0.914482494738856,0,0.629586013225836,0.470819536423841,1.84298951226963,0.482025407694387
ASV6,2.8775859387152,2.19701162147205,1.42633695814092,0.740521813375367,2.48256007086701,2.71831746955401,3.15247425270033,2.81764457577037,3.28384842251357,2.11324407162446,2.01003487731751,2.45185163602459,3.16477869905407,3.13155224890091,3.73943074907705,4.00094139797599,3.10928523941837,1.0311392330902,2.72781182051789,2.15303570635848,2.05918337722663,2.94145644930985,2.47749331832888,2.44986225079243,1.99427285743506,2.31551177828437,1.62231436110064,1.66316464261548,1.84412537676877,1.58130506196805,1.65974379559496,1.80908310475512,1.53181329028787,1.18129640523395,1.82871367705491,1.83694132394774,2.3543990086741,1.99259012967273,2.14027000329272,1.7896400734025,1.53450668685339,1.67595854567842,1.64917337393953,1.73078732010159,2.01790513142621,1.68083369351198,1.60594240185908,2.71885447176119,2.92195641534963,3.14843287995269,1.92445535307022,3.130372036758,2.1026311303063,1.60820150011464,2.76262333139872,1.95797972092432,1.87293426367976,1.90989356878018,1.38916735886346,1.01073016052773,0.653522680270233,0.793348751427149,0.479200946854883,0.719254246912412,0.545788253477589,0.774693350548741,1.25932265558137,1.49690855841198,1.30374203821656,1.37516469038208,1.32452830188679,1.61119847387281,1.52575925836512,1.40863743329687,0.93831592689295,1.03080843178133,0.836820083682008,1.25,1.80778869709684,1.30581825014092,0.125829942171771,1.54093434431671,1.10400238059813,1.67139322995233,1.7973174366617,1.96617586186506,2.54017505673135,1.82853717026379,2.05238799098597,2.07509881422925,2.13923504896426,2.40854538705819,1.50161178438813,3.05880023757672,2.29181164463002,2.33566500574933,2.45550152121314,2.32458213380312,2.38684356469434,1.713988445637,1.80916253282755,2.16488989863684,1.64191925389618,1.76675803638176,2.14815588757706,1.43298553580225,1.1286817962337,0.908178273760885,1.18881715537101,1.14342111597901,0.953338041175512,1.09549448756497,1.09909863639865,1.20478909928865,1.32204601049941,1.22382615955881,1.42867999088077,1.33349123638086,1.33808061063018,1.39149468417761,1.20069990547254,1.20035706824182,1.20346698260273,2.08059365019726,1.92063894523327,2.06983328090595,1.39846365964152,0.595947556615018,1.50688182249644,1.58409621252917,1.22532683927198,0.790760586827593,0.963040083289953,0.888242083605159,0.581912781543096,0.679377602454526,2.02020202020202,1.70223163381658,1.52783591460862,2.62036642522369,1.81515095388035,1.59045725646123,1.92481884057971,1.94193674092356,2.26689774696707,2.16295739819075,1.77298398296454,0.761431031184236,0,0.674879971011867,0.615687086092715,0.147642806231545,0.716280746013154
ASV11,0.388862964691243,0.485150341265449,0.268136451660956,0.540203274058749,1.54357214040527,2.08238081383266,5.04180572002727,9.21626565358098,4.61969317703041,6.77044684626553,11.1515633604601,10.8504996940649,6.47877820597662,6.42204937436591,4.70108372037632,2.56530948458461,8.17892027342618,4.79245393561239,7.21486459774659,8.23776616996404,5.23609066213218,3.73155640171347,4.49957799971867,4.09989039310365,3.12265630326584,2.82736175032618,2.72898605352431,2.08874959934471,1.62734413280078,1.45587576526803,1.22691891514538,0.891978475261207,0.919760559591068,1.02389621126604,1.14573858649688,0.899185188756569,0.453066914498141,0.458366978577875,0.526835693118209,0.510547066625484,0.465240979056271,0.514758696172658,0.717859473569719,0.591038785940489,0.415030133413901,1.09014070979206,1.91302182753756,2.52063548415727,3.26740939056338,4.59254878769959,5.26727339864028,5.74715083087502,7.15652289215965,8.43077527758672,13.6506094022055,18.4323448078573,18.9662137348513,4.68937555016138,7.04608598516312,11.0302652812774,7.05639045912036,6.34386252524957,4.84974452238677,6.69095727061941,6.38523956723339,1.38799225306649,3.55789216285609,4.37683045883501,4.1500796178344,3.80023056653491,5.96981132075472,4.82070583382743,6.24547341992178,4.39494879188625,3.5411227154047,1.84445216585592,1.04602510460251,1.27380952380952,2.38222622701546,2.01039644266299,0.532769329620904,1.50948670463678,1.18434756732629,2.13298738912689,3.0193740685544,2.70238306427769,1.25272078914463,1.22901678657074,1.48295330635586,1.78075855689177,1.93393418054158,2.12191198911206,1.90353776472028,1.61750148485448,1.91370911621434,2.15120735914143,2.33092973672232,2.12907661238345,2.18207414359456,2.58741067272678,2.92249332225988,2.60835372247466,3.02368388759357,3.36905058559681,3.52941176470588,3.46155568492231,3.7481892805408,3.31520089650503,3.10571371690225,2.40720234942949,1.89309576837417,1.77143789478591,1.89260676407899,1.50536018435027,1.42649039386527,1.46112099839606,1.30455708387162,1.51113216485078,1.45210834962301,1.5768784061467,1.41590072605137,1.48905054035061,1.50069630645798,1.98196505729852,2.07276876267748,1.83076439131802,1.79239708489265,0.627731426301152,1.96171491852555,2.12708669897684,1.77390412714689,1.64394964103631,1.72826652785008,1.93707030661916,1.42397480659958,0.949667616334283,8.6940836940837,11.2233262746376,7.95311845960653,5.56028973157222,3.55621411372476,3.18091451292247,1.17753623188406,1.46132363447425,1.46273830155979,1.7059504804833,1.63873715396723,0.799693897072891,0,0.969290696621071,0.724337748344371,0.0865492312391814,0.563113794035499
ASV16,0.0622180743505989,0.0719424460431655,0.111723521525398,0.10836904585981,0.524858819621304,0.415644873020491,0.461118886137726,0.413324890952582,0.337059158839129,0.471043716728505,0.498684452058986,0.576906267299904,0.404842539608393,0.375380453161989,0.357270453733476,0.235349493998588,0.412525782861429,0.568298327328119,0.467813138301377,0.513473120348037,0.323497086452523,0.209424083769634,0.444858629905753,0.453239328139349,0.364764437171882,0.404318465310336,0.592536750848096,0.509277395918658,0.363776745014774,0.410631626101239,0.382212293622814,0.255449234699219,0.282485875706215,0.23848514237563,0.298402668070915,0.250711151824888,0.30591697645601,0.27549517883437,0.362199539018769,0.421519286324243,0.44000757002271,0.50791804904744,0.757287361322602,0.939077540526134,0.648782737290696,0.830812082793065,1.26151547846294,1.27511020384012,1.22923683680226,1.07392075694855,1.24676904363692,0.963517901483478,1.06836392566915,0.867970259736006,1.10272780034823,1.07752455420997,1.26698494307749,1.03497025794233,1.67559361842294,1.80062852127629,0.581828209016958,0.506455106999619,2.45373978811235,0.373822930961056,0.434698608964451,0.25823111684958,0.904756082650691,0.732183534005857,0.696656050955414,0.473484848484849,1.18867924528302,1.3946533989843,0.830476558350635,0.46733618375261,0.244778067885118,0.133194347926801,0.348675034867504,0.339285714285714,0.554726438205727,0.363249201478048,0.222210323409724,0.517138963625563,0.363041214105044,0.561153683702408,0.676602086438152,0.795340311040151,0.41448617607558,0.549560351718625,0.533087789866486,0.691699604743083,0.377753597897719,0.408297933765002,0.350920145264618,0.423678479509008,0.672697749942009,0.656381755461863,0.522243250365331,0.769131611738925,0.654835544558679,0.837828217835337,0.877645844088797,0.913142257951765,0.95471837035219,0.944430600548218,0.616445512485634,0.633648291612557,0.700144857556736,0.585996778185044,0.489178351013907,0.594578980309085,0.410125482101146,0.426543598349766,0.546981330731106,0.488428013225128,0.46450265233763,0.402082921363127,0.415431770397953,0.504500236854571,0.560830308107605,0.471276690788886,0.691860582047827,0.571689046741752,0.455197356113986,1.85515686642871,1.71779918864097,2.15162000629129,2.4686494649071,2.46324990067541,1.49501661129568,1.2609944354694,1.19456549602666,0.879200915617522,1.13482561166059,1.34490891754905,1.28020811939481,1.2491781722551,0.288600288600289,0.895911386219254,1.15110925073252,0.766936514699617,0.481570661233562,0.571570576540756,0.498188405797101,0.883288952393323,1.31022530329289,1.54005070898676,1.45356911397093,1.23206428161469,0.0334112930170398,0.643174200561645,0.419081125827815,0.453110681193361,0.522569600864943
ASV8,0.427749261160367,0.765541413023427,0.491583494711753,0.633794722755858,0.489425312811427,0.266012718733114,0.382172462051889,0.39749542704376,0.242880864457607,0.216163897402807,0.356421709600441,0.319046647824947,0.242646009316569,0.243490023672641,0.205430510896749,0.0470698987997176,0.139781463614203,0.587339250666432,0.217434275548527,0.30778792228355,0.192854032308235,0.123750594954783,0.228583485722324,0.219213792694848,0.207949819322288,0.236569314809239,0.224651338107803,0.297375262651804,0.298445411216202,0.415111243840526,0.497399560194073,0.538118469817207,0.556564433683078,0.726584733771086,1.00531380152233,0.797936454365749,0.546003717472119,0.717237448344654,0.642081000987817,0.741292538018496,0.72072924552107,0.779833772274857,1.12301500978899,0.903019471357351,0.658323659897912,1.09494309177352,0.867291891443273,0.686370225732967,0.56423985951579,0.532229450029568,0.662481808901149,0.386256075044038,0.441363111136368,0.402869214896335,0.255368543238538,0.219319157051588,0.224017627616599,0.381445223932353,0.478331853464326,0.617196568613573,0.639735281952296,0.673321818554407,0.392598366097976,0.709790375242512,0.632727975270479,1.2911555842479,1.3082283897787,1.22030589000976,1.23407643312102,0.87697628458498,0.475471698113208,0.422778479544224,0.410409927091884,0.589970501474926,1.05254569190601,1.21033124855224,0.557880055788006,0.869047619047619,0.582885140652719,1.23379470157199,3.66513171985436,1.11114993535763,0.711203689927094,0.512882399082846,0.476900149031297,0.393235172373012,0.361228175797712,0.399680255795364,0.402238968717439,0.214447901774451,0.223777946580714,0.257763847073865,0.153017505202595,0.128687388635914,0.171653908605892,0.167688769643542,0.182066454255803,0.14609203798393,0.115182799368628,0.158804041289051,0.11896478193531,0.0961202376791332,0.134985887838999,0.139546473959631,0.137916623132379,0.118669114683624,0.283679381941091,0.266149931127869,0.253121356047894,0.310529103076405,0.423705796078005,0.468498706384169,0.477645669089135,0.53100891694219,0.549707280872935,0.59103992265946,0.478759784178129,0.568450971103742,0.660895466815601,0.641025641025641,0.5772208925806,0.611574329072572,0.54249547920434,0.413300770242345,0.329614604462475,0.497011638880151,0.321712297288425,0.373460468812078,0.573485208036703,0.556453060491833,0.563957959497565,0.499427739049006,0.744403956272775,0.732674261052843,0.65037310878346,1.03732924245745,0.360750360750361,0.333930607590813,0.188363331938049,0.234341712824883,0.277829227634747,0.472166998011928,1.33605072463768,0.461128791322985,0.48526863084922,0.438225811500297,0.453661697990927,0.960397933805242,0,1.02817284174291,1.05028973509934,0.422563893697179,1.19380124335526
ASV5,0.25664955669622,0.28408042796532,0.275584686429316,0.257786972727124,0.292326431181486,0.108067666985328,0.287077905766677,0.295483326298016,0.190834964930977,0.240361348604614,0.321238450712843,0.244748113399959,0.266002309678591,0.179235711870139,0.223294033583423,0.0470698987997176,0.257402451289569,0.499458066028064,0.263556697634579,0.366977907338078,0.14723264832134,0.0856734888148501,0.149458432972289,0.124418639097076,0.252266993931956,0.24803934219393,0.215604975499435,0.217244203853414,0.197478804436592,0.23144691652979,0.162309330168592,0.12772461734961,0.159739036857681,0.149450689222061,0.260104999441492,0.21214020539029,0.212980173482032,0.185246758181732,0.214027000329272,0.312505677792111,0.298069644208933,0.379655915449602,0.365727648466391,0.322954880381275,0.332342137484695,0.312154828795082,0.112042493152959,0.106505724682702,0.103635892564125,0.134831460674157,0.0564738591194422,0.0657908699250833,0.0776647534617643,0.0655071894140382,0.127684271619269,0.136677155843743,0.110172603745869,0.824241777588093,0.630137771030848,0.370884176552193,0.352957396939198,0.863608419450218,4.79778297393262,0.671934888562911,0.323608964451314,1.22659780503551,0.672453845213351,0.439310120403515,0.636942675159236,0.732872200263505,0.445283018867925,0.471758913149957,0.574573897928637,1.13685326969607,0.924717145343777,1.23349548297429,0.488145048814505,0.80952380952381,0.796891279249852,0.588714223085113,0.0803169843649604,0.768720081065027,0.624907007885731,0.307729439449707,0.29806259314456,0.322275442019987,0.571944611679711,0.284772182254197,0.448278368751363,0.334286435118998,0.361329528423905,0.476347589392502,0.49781695025911,0.368243912096615,0.306193458594294,0.325795323878881,0.227583067819754,0.238473767885533,0.230365598737255,0.164280042712811,0.213238760072726,0.491523942677386,0.220885998281998,0.269125342636432,0.781527531083481,3.37199408893467,2.37506035731531,1.06459972451147,1.7178123489093,2.43849597997208,0.988646857515346,0.799477891988905,0.780668190339231,0.52599939885783,0.546958744468571,0.461406631072441,0.478759784178129,0.483183325438181,0.41422321511682,0.395336370946127,0.74415237022586,0.414047216577083,0.257737315790568,0.0469659966184483,0.0443711967545639,0.0440390059767222,0.144442255925415,0.00794596742153357,0.0474608448030375,0.0269251480883145,0.0410151243270956,0.0312142336905629,0.0156168662155128,0.125457921413158,0.0136920654480728,0.0219154065307911,0.0360750360750361,0.122169734484444,0.0837170364169108,0.149126544524925,0.0185219485089831,0.0745526838966203,0.452898550724638,0.0909268039228421,0.0589254766031196,0.0688640560929039,0.0601796129987964,0.0267840061220585,0,0.0543527493432376,0.0569122516556291,0.244374299969453,0.117127669159384
ASV17,0.0933271115258983,0.0221361372440509,0.0148964695367198,0.032839104806003,0.27239508360093,0.0748160771436884,0.102271503929379,0.112565076684959,0.0817864135418474,0.319406355863849,0.241693691488711,0.183561085049969,0.119376646294782,0.111599594183294,0.0476360604977968,0.117674746999294,0.238651279341323,0.606380174004746,0.278381761876524,0.202725698811761,0.238475416295129,0.104712041884817,0.323533549022366,0.198477352845336,0.184086725301698,0.194990465539737,0.384470410855635,0.365041490081556,0.175206758823442,0.21502165148574,0.280987119969283,0.211478464791976,0.142924401398978,0.179658807256308,0.209041441268929,0.207318837085965,0.116171003717472,0.21374625944046,0.263417846559104,0.216210323588728,0.320148877113298,0.220610869788282,0.418751359582336,0.625529112971499,0.399128595735208,0.312154828795082,0.6349074612001,0.499985207538239,0.593027607450269,0.708456534594914,0.521297161102544,0.534816103907129,0.375063931351935,0.579738626314238,0.541690849293867,0.467245160675122,0.4186558942343,0.208061031235829,0.206226906882823,0.2661306305031,0.154418861160899,0.131736877543254,0.0692820646055252,0.0946387166990016,0.17870942812983,0.677856681730149,0.648000978114684,0.862349495606899,0.626990445859873,0.576416337285902,0.452830188679245,0.358330540589312,0.171406498961904,0.0795465844685294,0.157745865970409,0.101343525596479,0.348675034867504,0.238095238095238,0.323825078140399,0.300620028809419,0.2704005140287,0.342429854292603,0.366016961761643,0.117661256260182,0.178837555886736,0.195139258470818,0.0787292178020655,0.134892086330935,0.19142697908842,0.285930535699268,0.231989981317621,0.154658308244319,0.136695637980985,0.0890912690556325,0.204128972396196,0.261115369873515,0.0814507821670699,0.169724573540154,0.189838317477923,0.514744133833475,0.448923705416265,0.183502271932891,0.392686219167996,0.431098928482432,0.238219621774109,0.136581433881152,0.184089811685176,0.308173604463848,0.204772332982566,0.158875355062347,0.309631158672389,0.49413793907186,0.231118872139904,0.185352169121331,0.107192919770222,0.182365477995298,0.139321630316387,0.170535291331123,0.176859350274597,0.109443402126329,0.138774360934012,0.0835691629788608,0.13718276485627,0.328761976329138,0.348630831643002,0.3963510537905,0.295450068938349,1.53357171235598,0.261034646416706,0.417339795368875,0.522942835170469,0.374570804286755,0.213430504945341,0.286044060822,0.403915930718149,0.292205420410549,0.18037518037518,0.20361622414074,0.397655922980327,0.127822752449936,0.111131691053899,0.198807157057654,0.203804347826087,0.162369292719361,0.207972270363951,0.140858296553667,0.282381260994352,0.432370384541802,0.00668225860340795,0.244587372044569,0.17591059602649,0.636391406170451,0.184701324443644
