Genus,MiDAS,Filamentous,Hydrophobic cell surface,Chemoautotroph_mixotroph,AOB,NOB,Anammox,Aerobic heterotroph,PAO,GAO,Nitrite reduction,Sulfate reduction,Fermentation,Acetogen,Methanogen,Short-chain fatty acids,Sugars,Proteins_amino acids
midas_g_497,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_502,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Gemmobacter,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,POS,NT,NT,NT,POS,POS
midas_g_521,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Thiothrix,POS,POS,NEG,POS,NT,NT,NT,POS,NT,NT,POS,NEG,NT,NT,NT,POS,NEG,POS
Ca_Omnitrophus,POS,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT
midas_g_534,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Methanomethylovorans,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT
Thermovirga,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,NEG,NEG,POS
Caldicoprobacter,POS,VAR,NT,NEG,NT,NT,NT,NEG,NT,NT,NEG,NEG,POS,NT,NT,NEG,POS,NEG
P3OB-42,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_554,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Neomegalonema,POS,POS,POS,NEG,NEG,NEG,NEG,POS,NEG,NEG,VAR,NEG,NEG,NT,NEG,POS,POS,POS
Lactococcus,POS,VAR,VAR,NT,NT,NT,NT,VAR,NT,NT,NEG,NT,POS,NT,NT,NT,POS,POS
Phreatobacter,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NEG,POS,POS
IMCC26207,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT
Mycobacterium,POS,VAR,POS,VAR,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,POS,POS,NT
Comamonas,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,VAR,NT,NEG,NT,NT,POS,NEG,POS
Mesorhizobium,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,POS,POS
midas_g_664,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Sphingobium,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,POS,POS
Ruminiclostridium,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,NT,POS,NT
Amaricoccus,POS,NEG,NT,NT,NT,NT,NT,POS,NEG,NEG,NT,NT,NEG,NT,NT,POS,POS,POS
Propionicicella,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,POS,NT,NT,NEG,POS,NT
Sedimentibacter,POS,VAR,NT,NT,NT,NT,NT,NEG,NT,NT,NEG,NEG,POS,NT,NT,POS,NEG,POS
Niabella,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NEG,POS,NT
Ca_Saccharimonas,POS,NEG,NT,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NT,NEG,NEG,POS,NT
Sulfuritalea,POS,NEG,NT,POS,NT,NT,NT,POS,NT,NT,POS,NEG,NT,NT,NT,POS,VAR,POS
midas_g_32,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Syntrophobacter,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,POS,POS,NT,NT,NT,NEG,NT
midas_g_746,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Proteiniborus,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,NT,NEG,POS
midas_g_764,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Zoogloea,POS,NEG,VAR,NT,NT,NT,NT,POS,NT,NT,POS,NT,VAR,NT,NT,POS,POS,POS
Cereibacter,POS,NT,NT,NEG,NT,NT,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NEG,POS,VAR
midas_g_788,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_789,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Thermogutta,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,POS,NEG,POS,NT,NT,NEG,POS,NEG
Ramlibacter,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,NT,NT,NT,POS,POS,POS
Afipia,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NT
OM27 clade,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,POS
Leptolinea,POS,POS,NT,NT,NT,NT,NT,VAR,NT,NT,NT,NEG,POS,NEG,NT,NEG,POS,POS
Diaphorobacter,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,POS,NT,NT,NT,NT,POS,NEG,POS
Aeromicrobium,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NT,POS,NT
midas_g_843,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ca_Contendobacter,POS,NEG,NT,NEG,NEG,NEG,NEG,POS,NEG,POS,VAR,VAR,NEG,NT,NEG,POS,NEG,NEG
OM60NOR5 clade,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Devosia,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NT,VAR,NT
Methanoculleus,POS,NEG,NT,VAR,NT,NT,NT,NEG,NT,NT,NT,NT,NT,NT,POS,POS,NT,POS
Simplicispira,POS,NEG,NT,NEG,NT,NT,NT,POS,NT,NT,POS,NT,NT,NT,NT,POS,POS,POS
Blastocatella,POS,VAR,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NEG,NEG,NT,NT,NEG,VAR,POS
midas_g_290,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Dethiobacter,POS,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,POS,POS,NT
Limnobacter,POS,NEG,NT,POS,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,VAR,NEG,POS
Microlunatus,POS,NT,NT,NT,NT,NT,NT,POS,POS,NT,NT,NT,NT,NT,NT,NEG,POS,POS
Nannocystis,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NEG,POS
Brachymonas,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,POS,NEG,NT
Leptonema,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
