Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181023-163,MQ181023,LIB-BB-Dam-B-20180219,,Dam-B-20180219,Winter,B,AS,mean,Damhusåen-B,2018-02-19,8,2018,,"","","","","","",,,,,,,13.21881339,14.77769444,,,"",,
MQ181023-164,MQ181023,LIB-BB-Dam-B-20180226,,Dam-B-20180226,Winter,B,AS,mean,Damhusåen-B,2018-02-26,9,2018,,"","","","","","",,,,,,,11.00278905,15.40749554,,,"",,
MQ181023-165,MQ181023,LIB-BB-Dam-B-20180305,,Dam-B-20180305,Winter,B,AS,mean,Damhusåen-B,2018-03-05,10,2018,,"","","","","","",,,,,,,23.06668357,17.81806895,,,"",,
MQ181023-198,MQ181023,LIB-BB-Dam-B-20180919,,Dam-B-20180919,Fall,B,AS,mean,Damhusåen-B,2018-09-19,38,2018,,"","","","","","",,,,,,,16.63539554,9.374595867,,,"",,
MQ181023-199,MQ181023,LIB-BB-Dam-B-20180921,,Dam-B-20180921,Fall,B,AS,mean,Damhusåen-B,2018-09-21,38,2018,,"","","","","","",,,,,,,20.52358012,5.829863177,,,"",,
MQ190919-58,MQ190919,LIB-Damhusaen-LT-B-123,,"",Fall,B,AS,mean,Damhusåen-B,2018-09-28,39,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-59,MQ190919,LIB-Damhusaen-LT-B-124_Biofos,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-02,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-60,MQ190919,LIB-Damhusaen-LT-B-125,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-04,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-61,MQ190919,LIB-Damhusaen-LT-B-126_Biofos,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-11,41,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-62,MQ190919,LIB-Damhusaen-LT-B-127,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-16,42,2018,,"","","","","","",,,,,,,,,,,"",,
