Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181116-264,MQ181116,LIB-Marselisborg-bv13-LT-128,,Marselisborg LT #128,LT,"",Marselisborg,2018-10-05,40,2018,Fall,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,25.92739055,11.42164892,
MQ210129-83,MQ210129,LIB-MarselisborgLT-130,,"","","",Marselisborg,2018-10-26,43,2018,Fall,"","","","","","",,,,,,,,,
MQ210129-84,MQ210129,LIB-MarselisborgLT-133,,"","","",Marselisborg,2018-11-15,46,2018,Fall,"","","","","","",,,,,,,,,
MQ210129-85,MQ210129,LIB-MarselisborgLT-136,,"","","",Marselisborg,2018-11-29,48,2018,Fall,"","","","","","",,,,,,,,,
MQ210129-86,MQ210129,LIB-MarselisborgLT-163,,"","","",Marselisborg,2019-01-25,4,2019,Winter,"","","","","","",,,,,,,,,
MQ210129-87,MQ210129,LIB-MarselisborgLT-166,,"","","",Marselisborg,2019-01-31,5,2019,Winter,"","","","","","",,,,,,,,,
MQ210129-88,MQ210129,LIB-MarselisborgLT-169,,"","","",Marselisborg,2019-02-22,8,2019,Winter,"","","","","","",,,,,,,,,
MQ210129-89,MQ210129,LIB-MarselisborgLT-172,,"","","",Marselisborg,2019-02-28,9,2019,Winter,"","","","","","",,,,,,,,,
MQ210129-90,MQ210129,LIB-MarselisborgLT-175,,"","","",Marselisborg,2019-02-13,7,2019,Winter,"","","","","","",,,,,,,,,
MQ210129-91,MQ210129,LIB-MarselisborgLT-178,,"","","",Marselisborg,2019-03-27,13,2019,Spring,"","","","","","",,,,,,,,,
MQ210129-92,MQ210129,LIB-MarselisborgLT-181,,"","","",Marselisborg,2019-04-11,15,2019,Spring,"","","","","","",,,,,,,,,
MQ210129-93,MQ210129,LIB-MarselisborgLT-184,,"","","",Marselisborg,2019-04-26,17,2019,Spring,"","","","","","",,,,,,,,,
MQ210129-94,MQ210129,LIB-MarselisborgLT-187,,"","","",Marselisborg,2019-05-10,19,2019,Spring,"","","","","","",,,,,,,,,
MQ210129-95,MQ210129,LIB-MarselisborgLT-190,,"","","",Marselisborg,2019-05-24,21,2019,Spring,"","","","","","",,,,,,,,,
MQ210129-96,MQ210129,LIB-MarselisborgLT-193,,"","","",Marselisborg,2019-06-06,23,2019,Spring,"","","","","","",,,,,,,,,
MQ210129-97,MQ210129,LIB-MarselisborgLT-196,,"","","",Marselisborg,2019-06-20,25,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-98,MQ210129,LIB-MarselisborgLT-199,,"","","",Marselisborg,2019-07-01,27,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-99,MQ210129,LIB-MarselisborgLT-202,,"","","",Marselisborg,2019-07-16,29,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-100,MQ210129,LIB-MarselisborgLT-205,,"","","",Marselisborg,2019-08-02,31,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-101,MQ210129,LIB-MarselisborgLT-208,,"","","",Marselisborg,2019-08-15,33,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-102,MQ210129,LIB-MarselisborgLT-211,,"","","",Marselisborg,2019-09-05,36,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-103,MQ210129,LIB-MarselisborgLT-214,,"","","",Marselisborg,2019-09-12,37,2019,Summer,"","","","","","",,,,,,,,,
MQ210129-104,MQ210129,LIB-MarselisborgLT-217,,"","","",Marselisborg,2019-09-24,39,2019,Fall,"","","","","","",,,,,,,,,
MQ210129-105,MQ210129,LIB-MarselisborgLT-219,,"","","",Marselisborg,2019-10-08,41,2019,Fall,"","","","","","",,,,,,,,,
MQ210129-107,MQ210129,LIB-MarselisborgLT-221,,"","","",Marselisborg,2019-10-24,43,2019,Fall,"","","","","","",,,,,,,,,
MQ210129-108,MQ210129,LIB-MarselisborgLT-223,,"","","",Marselisborg,2019-11-08,45,2019,Fall,"","","","","","",,,,,,,,,
MQ210129-109,MQ210129,LIB-MarselisborgLT-225,,"","","",Marselisborg,2019-11-26,48,2019,Fall,"","","","","","",,,,,,,,,
MQ210129-110,MQ210129,LIB-MarselisborgLT-227,,"","","",Marselisborg,2019-12-06,49,2019,Fall,"","","","","","",,,,,,,,,
MQ210129-111,MQ210129,LIB-MarselisborgLT-229,,"","","",Marselisborg,2019-12-18,51,2019,Winter,"","","","","","",,,,,,,,,
