ASV,MQ181116-241,MQ181116-242,MQ181116-243,MQ181116-244,MQ181116-245,MQ181116-246,MQ181116-247,MQ181116-248,MQ181116-249,MQ181116-250,MQ181116-251,MQ181116-252,MQ181116-253,MQ181116-254,MQ181116-255,MQ181116-256,MQ181116-257,MQ181116-258,MQ181116-259,MQ181116-260,MQ181116-261,MQ181116-262,MQ181116-263,MQ181116-264,MQ210129-83,MQ210129-84,MQ210129-85,MQ210129-86,MQ210129-87,MQ210129-88,MQ210129-89,MQ210129-90,MQ210129-91,MQ210129-92,MQ210129-93,MQ210129-94,MQ210129-95,MQ210129-96,MQ210129-97,MQ210129-98,MQ210129-99,MQ210129-100,MQ210129-101,MQ210129-102,MQ210129-103,MQ210129-104,MQ210129-105,MQ210129-107,MQ210129-108,MQ210129-109,MQ210129-110,MQ210129-111,MQ210129-112,MQ210129-113,MQ210129-114,MQ210129-115,MQ210129-116,MQ210129-117,MQ210129-118,MQ210129-119,MQ210129-120,MQ210129-121,MQ210129-122,MQ210129-123,MQ210129-124,MQ210129-125,MQ210129-126,MQ210129-127,MQ210129-128,MQ210129-129
ASV4893,0.00974292593984439,0.0124043828819516,0.0165878742639131,0.00617160137626711,0.00367849917233769,0.0137066100126786,0.0150600347749894,0.00516145016103725,0.015692674659469,0.00414507772020725,0.0172304864740681,0.0170511290283292,0.0158403294788532,0.0163361322573268,0.00239888691647076,0.0164374554818914,0.0163559044815178,0.0165640615078817,0.0206812400471532,0.0231651287595074,0.0231207933001079,0.0223313979455114,0.026079444507832,0.0292161479368244,0.104358333562189,0.0805088157153208,0.0391236306729265,0.050264938111295,0.0392430452603122,0.0691261937069562,0.0654844539906226,0.0656670679654153,0.0816117147787157,0.0689885390007789,0.113048134705777,0.068133541741814,0.0574792726259319,0.056758569684044,0.0621655824693058,0.0691021329525038,0.0435829796995068,0.0921210880524067,0.0979123103986193,0.151867776419076,0.10375125636287,0.124374426248927,0.115918509287971,0.103936928030015,0.157064146992097,0.147275405007364,0.0959846424572068,0.0918948722661275,0.0890457790710617,0.0594025797691785,0.0565030867427017,0.0584160894600684,0.0326850792613172,0.0541003561606781,0.0395391887277367,0.0576103237700196,0.0379271109885184,0.0586148388091933,0.0404832420684806,0.0424786279403175,0.0232522089598512,0.0487480611566585,0.0377060981044116,0.0453979644138537,0.0897639649184767,0.0685538482117478
ASV5063,0.016702158754019,0.0392805457928468,0.0317934256725001,0.0339438075694691,0.0202317454478573,0.0308398725285269,0.026012787338618,0.0144520604509043,0.00941560479568138,0,0.00287174774567802,0.00974350230190242,0.00792016473942658,0.0130689058058614,0.0167922084152953,0,0.0143114164213281,0.0248460922618226,0.0227493640518686,0.0463302575190147,0.0462415866002158,0.0200982581509603,0.035859236198269,0.0360905356866654,0.063164254524483,0.0509889166197032,0.0541711809317443,0.050264938111295,0.0305223685357984,0.0179216057758775,0.0183356471173743,0.0300974061508154,0.0303129226320944,0.0133526204517637,0.0158664048709863,0.062121758646948,0.0870898070089877,0.0722381795978741,0.0710463799649209,0.0967429861335053,0.0848721183621975,0.166329742316845,0.192505559427794,0.199203187250996,0.137254266230047,0.176197103852646,0.130408322948967,0.154637868532461,0.134626411707512,0.122729504172803,0.153575427931531,0.101919767422432,0.0906358822687592,0.0661914460285132,0.0732447420738725,0.0500709338229158,0.0708176717328539,0.0420780547916385,0.0305530094714329,0.0345661942620118,0.025859393855808,0.0200524448557766,0.0362218481665353,0.0212393139701588,0.0271275771198264,0.0428392052588818,0.0411339252048127,0.0410046130189646,0.0721054800164812,0.0702258932900831
ASV5215,0.015310312191184,0.00826958858796775,0.00691161427663045,0.00925740206440066,0.00735699834467537,0.010279957509509,0.0123218466340822,0.0165166405153192,0.00627706986378758,0,0.00574349549135604,0.00974350230190242,0.00792016473942658,0.0294050380631882,0.0239888691647076,0.0164374554818914,0.00817795224075891,0.00276067691798029,0.00206812400471532,0.00579128218987684,0.0128448851667266,0.0200982581509603,0.019559583380874,0.0274975509993641,0.00274627193584709,0.00536725438102139,0.00601902010352715,0,0,0,0,0.00820838349567692,0.00466352655878375,0.00667631022588183,0.00198330060887329,0.00400785539657729,0,0.00859978328546121,0.00444039874780755,0.00230340443175013,0.0045876820736323,0.0051178382251337,0.00497859205416708,0.0157784702773066,0.0194533605680381,0.0148064793153484,0.00869388819659779,0,0.0249308169828725,0.0163639338897071,0.014397696368581,0.0150373427344572,0.00954061918618518,0.0152749490835031,0.0188343622475672,0.00278171854571754,0.0217900528408781,0.0210390273958192,0.0341474811739545,0.0230441295080078,0.0137916767230976,0.0169674533395033,0.012784181705836,0.00530982849253969,0.0465044179197024,0.0502252751311027,0.113118294313235,0.0922603792926704,0.069162399199482,0.115371110405137
ASV5320,0.00139184656283491,0,0,0.00771450172033388,0.00367849917233769,0.00856663125792414,0,0.00309687009662235,0,0,0,0,0,0.00326722645146535,0.00239888691647076,0,0.00408897612037946,0.00276067691798029,0.00206812400471532,0.00386085479325123,0.00770693110003597,0.0290308173291648,0.013039722253916,0.00859298468730129,0.00823881580754126,0.00536725438102139,0.0240760804141086,0.00418874484260791,0.00872067672451382,0.00256022939655393,0.00261937815962491,0.00273612783189231,0.0093270531175675,0.00667631022588183,0.00594990182661986,0.00200392769828865,0.00870898070089877,0.0137596532567379,0.019981794365134,0.0161238310222509,0.0206445693313453,0.0460605440262033,0.0564240432805603,0.132144688572443,0.143738719752726,0.205810062483343,0.23763294404034,0.291530407889066,0.266759741716736,0.227049582719686,0.191969284914414,0.182118928672871,0.12243794622271,0.098438560760353,0.0565030867427017,0.0417257781857632,0.0381325924715368,0.028552965751469,0.0287557736201722,0.032261781311211,0.0241354342654208,0.0308499151627333,0.0234376664606993,0.0371687994477778,0.0232522089598512,0.036930349361105,0.0479895794056148,0.115691586732079,0.135381717581965,0.394602638487134
ASV5333,0.00278369312566983,0.00620219144097581,0.00691161427663045,0.00617160137626711,0.00183924958616884,0.00171332625158483,0.00410728221136074,0,0,0,0.00861524323703406,0.00487175115095121,0.00792016473942658,0.0196033587087921,0.0143933214988245,0.0082187277409457,0.00613346418056919,0.00552135383596058,0.0103406200235766,0.00386085479325123,0,0,0,0,0,0,0,0,0.00218016918112846,0.0435238997414168,0.0628650758309977,0.0547225566378461,0.300797463041552,0.551908312006231,0.922234783126078,0.0400785539657729,0.0121925729812583,0.0240793931992914,0.0133211962434227,0.00230340443175013,0.0045876820736323,0.0255891911256685,0.0315310830097248,0.0177507790619699,0.00972668028401906,0.00444194379460452,0.00724490683049816,0.00760514107536695,0.00747924509486176,0.00204549173621339,0.00159974404095345,0.00167081585938414,0.00318020639539506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5559,0.015310312191184,0.00826958858796775,0.0138232285532609,0.013886103096601,0.00551774875850653,0.0119932837610938,0.0136909407045358,0.00309687009662235,0.0125541397275752,0.00414507772020725,0.0143587387283901,0.00974350230190242,0.00792016473942658,0.0065344529029307,0.00239888691647076,0.00547915182729714,0.0163559044815178,0.0248460922618226,0.0268856120612992,0.0115825643797537,0.0102759081333813,0.0267976775346137,0.0179296180991345,0.0274975509993641,0.063164254524483,0.0429380350481711,0.0601902010352715,0.0691142899030306,0.0588645678904683,0.0563250467241865,0.0707232103098724,0.0930283462843384,0.0932705311756751,0.0934683431623456,0.128914539576764,0.0721413971383913,0.0957987877098864,0.0653583529695052,0.0954685730778624,0.0529783019302529,0.0367014565890584,0.0716497351518719,0.0497859205416708,0.0611415723245631,0.0540371126889948,0.0577452693298588,0.0565102732778856,0.0507009405024463,0.0548477973623196,0.0572737686139748,0.0543912973924172,0.04845365992214,0.0365723735470432,0.0356415478615071,0.0167416553311709,0.0584160894600684,0.035408835866427,0.0390724794493786,0.0233640660663899,0.0345661942620118,0.0396510705789056,0.0524448557766466,0.0596595146272346,0.0371687994477778,0.0271275771198264,0.0428392052588818,0.029136530353409,0.0336823606941495,0.0824062628759786,0.0418011269583828
ASV5644,0.0236613915681935,0.0289435600578871,0.030411102817174,0.0216006048169349,0.0386242413095457,0.0411198300380358,0.042441916184061,0.0526467916425799,0.0627706986378758,0.0455958549222798,0.0287174774567802,0.0341022580566585,0.0237604942182797,0.0261378116117228,0.0335844168305906,0.01917703139554,0.0408897612037946,0.0110427076719212,0.0558393481273137,0.094590942434655,0.0539485177002518,0.0781598928092899,0.0994278821861094,0.0962414284977744,0.126328509048966,0.101977833239406,0.147465992536415,0.0879636416947662,0.076305921339496,0.0998489464656033,0.0916782355868717,0.101236729780015,0.109592874131418,0.0689885390007789,0.0932151286170445,0.0901767464229891,0.0905733992893472,0.0894377461687965,0.113230168069093,0.0714055373842539,0.103222846656727,0.148417308528877,0.159314945733347,0.145950850065086,0.114558678900669,0.149545441085019,0.150694062074362,0.111542069105382,0.114681758121214,0.147275405007364,0.0847864341705327,0.0701742660941338,0.0683744375009938,0.0865580448065173,0.0606885005754944,0.091796712008679,0.0789889415481833,0.0766421712276272,0.0593087830916051,0.0760456273764259,0.0603385856635521,0.0524448557766466,0.0830971810879339,0.0584081134179366,0.0658812587195784,0.0723834847477657,0.0411339252048127,0.0410046130189646,0.0618046971569839,0.0869463440734362
ASV6029,0.0431472434478823,0.033078354351871,0.0290287799618479,0.027772206193202,0.0294279933787015,0.0462598087927903,0.0698237975931326,0.0691634321578991,0.0721863034335572,0.0497409326424871,0.0344609729481362,0.0292305069057073,0.0237604942182797,0.0130689058058614,0.00479777383294152,0.00547915182729714,0.0143114164213281,0.00276067691798029,0,0.00772170958650245,0.0411036325335251,0.0937918713711478,0.074978402960017,0.060150892811109,0.0219701754867767,0.0241526447145963,0.021066570362345,0.0607368002178147,0.0261620301735415,0.0153613763793236,0.0314325379154989,0.0601948123016307,0.03730821247027,0.0623122287748971,0.0575157176573253,0.0480942647589275,0.0330941266634153,0.0292392631705681,0.0222019937390378,0.018427235454001,0.0252322514049776,0.017912433787968,0.00497859205416708,0.0177507790619699,0.0140496492991386,0.0148064793153484,0.015938795027096,0.00760514107536695,0.0149584901897235,0.0286368843069874,0.0399936010238362,0.0384287647658352,0.027031754360858,0.0203665987780041,0.0251124829967563,0.0139085927285877,0.046303862286866,0.0300557534225989,0.0521198396865621,0.119829473441641,0.0482708685308416,0.00925497454881999,0.0213069695097266,0.00796474273880954,0.0038753681599752,0.0103404978211094,0.0119973948514037,0.0102511532547412,0.00294308081699923,0.00334409015667062
ASV6242,0.0222695450053586,0.0289435600578871,0.0317934256725001,0.0185148041288013,0.023910244620195,0.0342665250316965,0.0479182924658753,0.0464530514493352,0.0502165589103007,0.0373056994818653,0.0258457297111022,0.0414098847830853,0.0237604942182797,0.0163361322573268,0.0311855299141198,0.0328749109637828,0.0470232253843638,0.0303674460977832,0.0620437201414597,0.0540519671055172,0.0822072650670503,0.0982581509602501,0.115727535003504,0.149517933559042,0.0906269738829539,0.0563561710007246,0.0391236306729265,0.0565480553752068,0.0370628760791837,0.0563250467241865,0.0471488068732483,0.0437780453102769,0.0443035023084456,0.0356069878713698,0.0198330060887329,0.0480942647589275,0.0627046610464711,0.0773980495691508,0.0666059812171133,0.0783157506795043,0.0734029131781168,0.102356764502674,0.0630621660194497,0.0729754250325431,0.0864593803023917,0.0769936924398117,0.0956327701625757,0.10900702208026,0.0698062875520431,0.118638520700376,0.123180291153415,0.137006900469499,0.124028049420407,0.161235573659199,0.192529036308465,0.152994520014465,0.174320422727025,0.190854034233503,0.170737405869772,0.145178015900449,0.182739716581043,0.172759524911307,0.149148786568086,0.153985026283651,0.139513253759107,0.107836620134426,0.107976553662633,0.102511532547412,0.105950909411972,0.125403380875148
ASV6498,0.108564031901123,0.0951002687616291,0.100909568438805,0.103374323052474,0.069891484274416,0.0873796388308262,0.0616092331704111,0.0691634321578991,0.0878789780930262,0.0829015544041451,0.0746654413876285,0.104742649745451,0.110882306351972,0.202568039990852,0.199107614067073,0.136978795682428,0.0776905462872097,0.0717775998674875,0.0599755961367444,0.102312652021157,0.118172943533885,0.203215721304154,0.179296180991345,0.154673724371423,0.184000219701755,0.652121407294099,0.689177801853858,0.182210400653444,0.17005319612802,0.120330781638035,0.0864394792676219,0.139542519426508,0.128246980366553,0.273728719261155,0.309394894984233,0.140274938880205,0.161987041036717,0.144476359195748,0.139872560555938,0.138204265905008,0.19038880605574,0.171447580541979,0.290417869826413,0.209064731174313,0.339353067686887,0.191003583167994,0.256469701799635,0.286460313838822,0.15457106529381,0.233186057928326,0.206366981282995,0.187131376251023,0.157420216572056,0.151052274270197,0.0962645181542325,0.0639795265515035,0.0762651849430735,0.0510947808184182,0.0359447170252152,0.0691323885240235,0.0689583836154881,0.0863797624556533,0.108665544499606,0.17522434025381,0.20151914431871,0.228968166038851,0.123401775614438,0.115691586732079,0.120666313496969,0.0300968114100356
