Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ200528-123,MQ200528,LIB-Damhusaen-LT-C-51,64993,"",Fall,C,AS,mean,Damhusåen-C,2019-12-13,50,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-124,MQ200528,LIB-Damhusaen-LT-C-53,69172,"",Winter,C,AS,mean,Damhusåen-C,2020-01-07,2,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-125,MQ200528,LIB-Damhusaen-LT-C-55,68284,"",Winter,C,AS,mean,Damhusåen-C,2020-01-14,3,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-126,MQ200528,LIB-Damhusaen-LT-C-57,63512,"",Winter,C,AS,mean,Damhusåen-C,2020-01-20,4,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-127,MQ200528,LIB-Damhusaen-LT-C-82,59862,"",Winter,C,AS,mean,Damhusåen-C,2020-01-27,5,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-128,MQ200528,LIB-Damhusaen-LT-C-84,69528,"",Winter,C,AS,mean,Damhusåen-C,2020-02-03,6,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-129,MQ200528,LIB-Damhusaen-LT-C-86,66432,"",Winter,C,AS,mean,Damhusåen-C,2020-02-12,7,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-130,MQ200528,LIB-Damhusaen-LT-C-88,64876,"",Winter,C,AS,mean,Damhusåen-C,2020-02-18,8,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-131,MQ200528,LIB-Damhusaen-LT-C-90,66682,"",Winter,C,AS,mean,Damhusåen-C,2020-02-24,9,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-132,MQ200528,LIB-Damhusaen-LT-C-92,64311,"",Winter,C,AS,mean,Damhusåen-C,2020-03-02,10,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-226,MQ201009,LIB-Damhusaen-LT-C-94,34303,"",Winter,C,AS,mean,Damhusåen-C,2020-03-09,11,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-227,MQ201009,LIB-Damhusaen-LT-C-96,30491,"",Spring,C,AS,mean,Damhusåen-C,2020-03-24,13,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-228,MQ201009,LIB-Damhusaen-LT-C-98,33521,"",Spring,C,AS,mean,Damhusåen-C,2020-04-07,15,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-229,MQ201009,LIB-Damhusaen-LT-C-100,31769,"",Spring,C,AS,mean,Damhusåen-C,2020-04-21,17,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-53,MQ210618,LIB-Damhusaaen-LT-C-136,,"",Summer,C,AS,"",Damhusåen-C,2020-09-04,36,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-54,MQ210618,LIB-Damhusaaen-LT-C-138,,"",Summer,C,AS,"",Damhusåen-C,2020-09-09,37,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-55,MQ210618,LIB-Damhusaaen-LT-C-140,,"",Fall,C,AS,"",Damhusåen-C,2020-09-22,39,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-56,MQ210618,LIB-Damhusaaen-LT-C-142,,"",Fall,C,AS,"",Damhusåen-C,2020-09-28,40,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-57,MQ210618,LIB-Damhusaaen-LT-C-144,,"",Fall,C,AS,"",Damhusåen-C,2020-10-09,41,2020,,"","","","","","",,,,,,,,,,,"",,
