																																	
																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017														Ejby Mølle Renseanlæg																		
																																	
	Drifttimer Luftningstank 2: januar 2016																																
																																	
																																	
																																	
																																	
			LT-RO1.2			LT-RO2.2			LT-RO3.2				LT-RO4.2					LT-RO5.2		LT-RO6.2		LT-OM1.2		LT-OM2.2			LT-OM3.2			LT-OM4.2			
			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"				"Rotor
 Drifttimer"					"Rotor 
Drifttimer"		"Rotor 
Drifttimer"		Omrører Drifttimer		Omrører Drifttimer			Omrører Drifttimer			Omrører Drifttimer			
Dato			Total h	Døgn h		Total h	Døgn h		 Total h	Døgn h			Total h			Døgn h		 Total h	Døgn h	Total h	 Døgn h	Total h	Døgn h	Total h		Døgn h	Total h	Døgn h		Total h	Døgn h		
30 jan  lør			93932	3.0		91274	3.0		57335	1.0			57196			1.0		88109	2.0	88403	3.0	42151	2.0	51118		2.0	50527	2.0		51166	2.0		
31 jan  søn			93935	3.0		91278	4.0		57336	1.0			57197			1.0		88112	3.0	88406	3.0	42153	2.0	51121		3.0	50529	2.0		51169	3.0		
01 feb  man			93938	3.0		91280	2.0		57337	1.0			57198			1.0		88114	2.0	88408	2.0	42156	3.0	51122		1.0	50532	3.0		51170	1.0		
02 feb  tir			93941	3.0		91283	3.0		57338	1.0			57199			1.0		88117	3.0	88410	2.0	42157	1.0	51124		2.0	50533	1.0		51172	2.0		
03 feb  ons			93943	2.0		91286	3.0		57339	1.0			57200			1.0		88120	3.0	88413	3.0	42157	0.0	51127		3.0	50533	0.0		51174	2.0		
04 feb  tor			93950	7.0		91292	6.0		57340	1.0			57201			1.0		88126	6.0	88418	5.0	42159	2.0	51130		3.0	50535	2.0		51178	4.0		
05 feb  fre			93956	6.0		91300	8.0		57342	2.0			57203			2.0		88131	5.0	88424	6.0	42161	2.0	51134		4.0	50537	2.0		51182	4.0		
06 feb  lør			93964	8.0		91307	7.0		57344	2.0			57205			2.0		88139	8.0	88430	6.0	42166	5.0	51137		3.0	50543	6.0		51185	3.0		
07 feb  søn			93971	7.0		91315	8.0		57347	3.0			57207			2.0		88145	6.0	88437	7.0	42172	6.0	51142		5.0	50548	5.0		51190	5.0		
08 feb  man			93976	5.0		91319	4.0		57348	1.0			57209			2.0		88150	5.0	88441	4.0	42175	3.0	51146		4.0	50551	3.0		51194	4.0		
09 feb  tir			93981	5.0		91324	5.0		57349	1.0			57210			1.0		88155	5.0	88445	4.0	42179	4.0	51149		3.0	50555	4.0		51197	3.0		
10 feb  ons			93987	6.0		91330	6.0		57351	2.0			57211			1.0		88160	5.0	88451	6.0	42181	2.0	51154		5.0	50557	2.0		51202	5.0		
11 feb  tor			93993	6.0		91337	7.0		57353	2.0			57213			2.0		88166	6.0	88458	7.0	42185	4.0	51155		1.0	50561	4.0		51203	1.0		
12 feb  fre			94000	7.0		91345	8.0		57354	1.0			57215			2.0		88172	6.0	88465	7.0	42187	2.0	51157		2.0	50563	2.0		51205	2.0		
13 feb  lør			94006	6.0		91353	8.0		57356	2.0			57217			2.0		88178	6.0	88473	8.0	42192	5.0	51159		2.0	50568	5.0		51207	2.0		
14 feb  søn			94013	7.0		91359	6.0		57358	2.0			57220			3.0		88184	6.0	88478	5.0	42199	7.0	51165		6.0	50575	7.0		51213	6.0		
15 feb  man			94020	7.0		91366	7.0		57361	3.0			57222			2.0		88190	6.0	88484	6.0	42205	6.0	51171		6.0	50581	6.0		51219	6.0		
16 feb  tir			94028	8.0		91374	8.0		57364	3.0			57225			3.0		88197	7.0	88492	8.0	42211	6.0	51177		6.0	50587	6.0		51225	6.0		
17 feb  ons			94036	8.0		91382	8.0		57366	2.0			57228			3.0		88204	7.0	88499	7.0	42217	6.0	51183		6.0	50593	6.0		51231	6.0		
18 feb  tor			94043	7.0		91390	8.0		57369	3.0			57230			2.0		88210	6.0	88506	7.0	42223	6.0	51189		6.0	50599	6.0		51237	6.0		
19 feb  fre			94051	8.0		91398	8.0		57371	2.0			57233			3.0		88218	8.0	88513	7.0	42228	5.0	51194		5.0	50604	5.0		51242	5.0		
20 feb  lør			94056	5.0		91404	6.0		57373	2.0			57234			1.0		88222	4.0	88519	6.0	42232	4.0	51198		4.0	50609	5.0		51246	4.0		
21 feb  søn			94061	5.0		91410	6.0		57375	2.0			57236			2.0		88226	4.0	88524	5.0	42238	6.0	51203		5.0	50614	5.0		51251	5.0		
22 feb  man			94068	7.0		91416	6.0		57377	2.0			57238			2.0		88233	7.0	88529	5.0	42244	6.0	51206		3.0	50620	6.0		51254	3.0		
