Indløb																																			Indløb																	Indløb										 Indløb			
		1' kvartal							2' kvartal						3' kvartal						4' kvartal					1' kvartal										2' kvartal								3' kvartal									4' kvartal												
		EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle																																								
																																																														Vægtet gns. for året			
																																																																	
Rællenavne	23.00	13.01.2016	25.01.2016	09.02.2016	24.02.2016	06.03.2016	17.03.2016	29.03.2016	11.04.2016	27.04.2016	09.05.2016	22.05.2016	08.06.2016	23.06.2016	04.07.2016	16.08.2016	31.08.2016	15.09.2016	25.09.2016	10.10.2016	25.10.2016	06.11.2016	24.11.2016	07.12.2016		2016-01-13	2016-01-25	2016-02-09	2016-02-24	2016-03-06	2016-03-17		Sum	vægtet gns.		2016-03-29	2016-04-11	2016-05-09	2016-05-09	2016-05-22	2016-06-08	Sum	vægtet gns.	2016-06-23	2016-07-04	2016-08-16	2016-08-31	2016-09-15	2016-09-25	Sum	vægtet gns.		2016-10-10	2016-10-25	2016-11-06	2016-11-24	2016-12-07	Sum	vægtet gns.				Sum år	vægtet gns.	
Nitrat-N	mg/l	1.27 mg/l	1.86 mg/l	1.58 mg/l	0.50 mg/l	1.30 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l		128651	154752	200344	33926.4	132600	2252.25		652526	1.21	Nitrat-N	1925	1932.7	1859.55	1859.55	2240.7	1540	9433	0.03	1424.5	1536.15	1251.25	1297.45	1282.05	1135.75	7927	0.04	Nitrat-N	2171.4	1701.7	1763.3	1578.5	2190.65	9406	0.04			Nitrat-N	679291	0.51	mg/l
Nitrit+nitrat-N	mg/l	1.30 mg/l	2.00 mg/l	1.80 mg/l	1.10 mg/l	1.50 mg/l	0.14 mg/l	0.05 mg/l	0.05 mg/l	0.35 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l	0.05 mg/l		131690	166400	228240	75240	153000	8190		762760	1.41	Nitrit+nitrat-N	2450	2459.8	2366.7	2366.7	2851.8	1960	12005	0.04	1813	1955.1	1592.5	1651.3	1631.7	1445.5	10089	0.05	Nitrit+nitrat-N	2763.6	2165.8	2244.2	2009	2788.1	11971	0.05			Nitrit+nitrat-N	796825	0.6	mg/l
Nitrit-N	mg/l	0.03 mg/l	0.19 mg/l	0.23 mg/l	0.58 mg/l	0.24 mg/l	0.06 mg/l	0.01 mg/l	0.01 mg/l	0.28 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.02 mg/l	0.01 mg/l		2562.89	15641.6	28656.8	39330	23970	3311.1		113472	0.21	Nitrit-N	500	502	483	483	582	400	2450	0.01	370	399	325	337	333	295	2059	0.01	Nitrit-N	564	442	458	836.4	569	2869	0.01			Nitrit-N	120851	0.09	mg/l
Nitrogen,total	mg/l	22.60 mg/l	23.10 mg/l	18.20 mg/l	33.10 mg/l	20.10 mg/l	38.30 mg/l	41.10 mg/l	39.70 mg/l	21.90 mg/l	41.80 mg/l	34.70 mg/l	50.00 mg/l	43.70 mg/l	34.50 mg/l	56.20 mg/l	63.00 mg/l	51.70 mg/l	52.30 mg/l	48.70 mg/l	41.20 mg/l	33.80 mg/l	41.20 mg/l	28.90 mg/l		2289380	1921920	2307760	2264040	2050200	2240550		13073850	24	Nitrogen,total	2055000	1992940	2018940	2018940	2019540	2000000	10050360	30	1616900	1376550	1826500	2123100	1721610	1542850	10207510	50	Nitrogen,total	2746680	1821040	1548040	1689200	1644410	9449370	39			Nitrogen,total	42781090	32	mg/l
Ortho-phosphat-P	mg/l	0.40 mg/l	0.32 mg/l	0.25 mg/l	0.88 mg/l	0.36 mg/l	1.10 mg/l	0.95 mg/l	1.10 mg/l	0.39 mg/l	1.10 mg/l	0.80 mg/l	1.50 mg/l	1.20 mg/l	0.88 mg/l	3.40 mg/l	4.00 mg/l	2.80 mg/l	3.50 mg/l	2.10 mg/l	1.50 mg/l	1.20 mg/l	1.30 mg/l	4.80 mg/l		40520	26624	31700	60192	36720	64350		260106	0.48	Ortho-phosphat-P	47500	55220	53130	53130	46560	60000	268040	0.8	44400	35112	110500	134800	93240	103250	521302	2.53	Ortho-phosphat-P	118440	66300	54960	53300	273120	566120	2.32			Ortho-phosphat-P	1615568	1.22	mg/l
pH	pH						7.40 pH																												pH																	pH										pH			pH
Phosphor, total-P	mg/l	3.00 mg/l	3.30 mg/l	2.00 mg/l	4.10 mg/l	3.10 mg/l	5.30 mg/l	4.80 mg/l	4.70 mg/l	3.30 mg/l	4.60 mg/l	4.50 mg/l	6.80 mg/l	6.20 mg/l	4.70 mg/l	6.90 mg/l	8.30 mg/l	8.60 mg/l	7.80 mg/l	5.30 mg/l	4.90 mg/l	4.40 mg/l	5.60 mg/l	7.10 mg/l		303900	274560	253600	280440	316200	310050		1738750	3.22	Phosphor, total-P	240000	235940	222180	222180	261900	272000	1214200	3.6	229400	187530	224250	279710	286380	230100	1437370	6.98	Phosphor, total-P	298920	216580	201520	229600	403990	1350610	5.53			Phosphor, total-P	5740930	4.32	mg/l
Suspenderede stoffer	mg/l	170.00 mg/l	170.00 mg/l	130.00 mg/l	190.00 mg/l	150.00 mg/l	280.00 mg/l	240.00 mg/l	250.00 mg/l	150.00 mg/l	300.00 mg/l	290.00 mg/l	430.00 mg/l	350.00 mg/l	290.00 mg/l	620.00 mg/l	320.00 mg/l	480.00 mg/l	380.00 mg/l	320.00 mg/l	250.00 mg/l	210.00 mg/l	400.00 mg/l	470.00 mg/l		17221000	14144000	16484000	12996000	15300000	16380000		92525000	171	Suspenderede stoffer	12000000	12550000	14490000	14490000	16878000	17200000	75608000	224	12950000	11571000	20150000	10784000	15984000	11210000	82649000	401	Suspenderede stoffer	18048000	11050000	9618000	16400000	26743000	81859000	335			Suspenderede stoffer	332641000	251	mg/l
Temperatur	grader C																																		Temperatur																	Temperatur										Temperatur			grader C
Vandføring	m3/d	101300.00 m3/d	83200.00 m3/d	126800.00 m3/d	68400.00 m3/d	102000.00 m3/d	58500.00 m3/d	50000.00 m3/d	50200.00 m3/d	90400.00 m3/d	48300.00 m3/d	58200.00 m3/d	40000.00 m3/d	37000.00 m3/d	39900.00 m3/d	32500.00 m3/d	33700.00 m3/d	33300.00 m3/d	29500.00 m3/d	56400.00 m3/d	44200.00 m3/d	45800.00 m3/d	41000.00 m3/d	56900.00 m3/d									540200									337100								205900								244300				Vandføring	1327500		m3/d
Udløb																																			Udløb																	Udløb										Udløb			
		EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle																																								
																																																														Vægtet gns. for året			
																																																																	
Rællenavne	24.00	13.01.2016	25.01.2016	09.02.2016	24.02.2016	06.03.2016	17.03.2016	29.03.2016	11.04.2016	27.04.2016	09.05.2016	22.05.2016	08.06.2016	23.06.2016	04.07.2016	17.07.2016	16.08.2016	31.08.2016	15.09.2016	25.09.2016	10.10.2016	25.10.2016	06.11.2016	24.11.2016	07.12.2016	2016-01-13	2016-01-25	2016-02-09	2016-02-24	2016-03-06	2016-03-17	2016-03-29	Sum	vægtet gns.		2016-04-11	2016-04-27	2016-05-09	2016-05-22	2016-06-08	2016-06-23	Sum	vægtet gns.	2016-07-04	2016-07-17	2016-08-16	2016-08-31	2016-09-15	2016-09-25	Sum	vægtet gns.		2016-10-10	2016-10-25	2016-11-06	2016-11-24	2016-12-07	Sum	vægtet gns.						
Ammonial+ammonium-N	mg/l	2.70 mg/l	1.34 mg/l	2.89 mg/l	0.66 mg/l	3.05 mg/l	0.19 mg/l	0.02 mg/l	0.02 mg/l	1.12 mg/l	0.04 mg/l	0.25 mg/l	0.02 mg/l	0.02 mg/l	0.03 mg/l	0.02 mg/l	0.07 mg/l	0.02 mg/l	0.02 mg/l	0.02 mg/l	1.78 mg/l	0.07 mg/l	0.02 mg/l	0.08 mg/l	2.52 mg/l	247050	99026	339286	40703.2	279990	9998.1	818.4	1016872	1.89	Ammonial+ammonium-N	808.5	92960	1748	13741.4	603.9	579.15	110441	0.36	1305.6	551.1	2079	539.55	534.6	466.95	5477	0.03	Ammonial+ammonium-N	94874	3145	3145	3199.5	133560	237924	0.92			Ammonial+ammonium-N	1370713	1.06	mg/l
BI5 Biolemisl iltforbrug 5 døgn	mg/l	9.60 mg/l	6.20 mg/l	9.40 mg/l	3.40 mg/l	8.90 mg/l	1.80 mg/l	1.20 mg/l	1.10 mg/l	9.60 mg/l	1.20 mg/l	2.60 mg/l	1.00 mg/l	0.80 mg/l	1.10 mg/l	1.30 mg/l	1.30 mg/l	1.50 mg/l	1.50 mg/l	1.30 mg/l	8.00 mg/l	1.40 mg/l	1.00 mg/l	1.10 mg/l	9.30 mg/l	878400	458180	1103560	208420	817020	95220	59520	3620320	6.72	BI5 Biolemisl iltforbrug 5 døgn	53900	796800	55200	140660	36600	28080	1111240	3.66	42240	43420	40950	49050	48600	36790	261050	1.33	BI5 Biolemisl iltforbrug 5 døgn	426400	59500	59500	43450	492900	1081750	4.17			BI5 Biolemisl iltforbrug 5 døgn	6074360	4.68	mg/l
BI5 modif. Biolemisl iltforbrug,modifificeret 5 døgn	mg/l	4.00 mg/l	1.90 mg/l	3.40 mg/l	1.50 mg/l	5.20 mg/l	1.50 mg/l	1.00 mg/l	0.90 mg/l	7.40 mg/l	1.20 mg/l	1.80 mg/l	0.90 mg/l	0.90 mg/l	0.90 mg/l	1.20 mg/l	1.20 mg/l	1.30 mg/l	1.40 mg/l	1.20 mg/l	3.00 mg/l	1.20 mg/l	0.90 mg/l	1.00 mg/l	3.80 mg/l	366000	140410	399160	91950	477360	79350	49600	1603830	2.98	BI5 modif. Biolemisl iltforbrug,modifificeret 5 døgn	44100	614200	55200	97380	32940	31590	875410	2.88	34560	40080	37800	42510	45360	33960	234270	1.19	BI5 modif. Biolemisl iltforbrug,modifificeret 5 døgn	159900	51000	51000	39500	201400	502800	1.94			BI5 modif. Biolemisl iltforbrug,modifificeret 5 døgn	3216310	2.48	mg/l
Chlorid	mg/l	274.00 mg/l	270.00 mg/l	126.00 mg/l	197.00 mg/l	155.00 mg/l	213.00 mg/l	215.00 mg/l	230.00 mg/l	150.00 mg/l	264.00 mg/l	150.00 mg/l	270.00 mg/l	203.00 mg/l	176.00 mg/l	255.00 mg/l	258.00 mg/l	241.00 mg/l	283.00 mg/l	285.00 mg/l	222.00 mg/l	133.00 mg/l	144.00 mg/l	252.00 mg/l	268.00 mg/l	25071000	19953000	14792400	12076100	14229000	11267700	10664000	108053200	200.69	Chlorid	11270000	12450000	12144000	8115000	9882000	7125300	60986300	200.74	6758400	8517000	8127000	7880700	9169200	8065500	48517800	246.66	Chlorid	11832600	5652500	5652500	9954000	14204000	47295600	182.12			Chlorid	264852900	203.95	mg/l
COD, lemisl iltforbrug	mg/l	19.00 mg/l	15.00 mg/l	19.00 mg/l	16.00 mg/l	21.00 mg/l	21.00 mg/l	19.00 mg/l	15.00 mg/l	20.00 mg/l	22.00 mg/l	23.00 mg/l	22.00 mg/l	19.00 mg/l	24.00 mg/l	21.00 mg/l	18.00 mg/l	19.00 mg/l	18.00 mg/l	17.00 mg/l	23.00 mg/l	16.00 mg/l	18.00 mg/l	15.00 mg/l	35.00 mg/l	1738500	1108500	2230600	980800	1927800	1110900	942400	10039500	18.65	COD, lemisl iltforbrug	735000	1660000	1012000	1244300	805200	666900	6123400	20.16	921600	701400	567000	621300	583200	481100	3875600	19.7	COD, lemisl iltforbrug	1225900	680000	680000	592500	1855000	5033400	19.38			COD, lemisl iltforbrug	25071900	19.31	mg/l
Maximum vandføring	m3/h	5600.00 m3/h	4300.00 m3/h	6300.00 m3/h	3000.00 m3/h	5100.00 m3/h	3000.00 m3/h	2500.00 m3/h	2500.00 m3/h	6200.00 m3/h	2300.00 m3/h	6000.00 m3/h	1900.00 m3/h	1900.00 m3/h	2200.00 m3/h	2100.00 m3/h	1600.00 m3/h	1800.00 m3/h	1700.00 m3/h	1600.00 m3/h	5900.00 m3/h	2500.00 m3/h	3500.00 m3/h	2000.00 m3/h	5900.00 m3/h										Maximum vandføring																	Maximum vandføring										Maximum vandføring			m3/h
Minimum vandføring	m3/h	2400.00 m3/h	2600.00 m3/h	3500.00 m3/h	2000.00 m3/h	2600.00 m3/h	1500.00 m3/h	1400.00 m3/h	1500.00 m3/h	1900.00 m3/h	1400.00 m3/h	1600.00 m3/h	1000.00 m3/h	1000.00 m3/h	1100.00 m3/h	900.00 m3/h	700.00 m3/h	800.00 m3/h	900.00 m3/h	600.00 m3/h	800.00 m3/h	1100.00 m3/h	900.00 m3/h	1100.00 m3/h	1000.00 m3/h										Minimum vandføring																	Minimum vandføring										Minimum vandføring			m3/h
Nedbør	mm	4.00 mm	0.00 mm	9.00 mm	0.00 mm	2.00 mm	0.00 mm	1.00 mm	1.00 mm	3.00 mm	0.00 mm	4.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	4.00 mm	0.00 mm	0.00 mm	0.00 mm	3.00 mm										Nedbør																	Nedbør										Nedbør			mm
Nitrat-N	mg/l	2.16 mg/l	3.93 mg/l	2.27 mg/l	2.51 mg/l	2.33 mg/l	1.86 mg/l	1.72 mg/l	1.38 mg/l	2.76 mg/l	3.29 mg/l	3.45 mg/l	0.55 mg/l	0.45 mg/l	0.59 mg/l	1.22 mg/l	1.51 mg/l	0.98 mg/l	0.61 mg/l	2.33 mg/l	4.96 mg/l	1.17 mg/l	2.60 mg/l	0.97 mg/l	4.93 mg/l	197640	290427	266498	153863	213894	98394	85312	1306028	2.43	Nitrat-N	67620	229080	151340	186645	20166.6	15795	670647	2.21	22771.2	40748	47565	31915.2	19828.8	65939	228767	1.16	Nitrat-N	264368	49725	49725	38236	261290	663344	2.55			Nitrat-N	2868786	2.21	mg/l
Nitrit+nitrat-N	mg/l	2.20 mg/l	4.00 mg/l	2.40 mg/l	2.60 mg/l	2.40 mg/l	1.90 mg/l	1.70 mg/l	1.40 mg/l	2.80 mg/l	3.30 mg/l	3.50 mg/l	0.57 mg/l	0.47 mg/l	0.61 mg/l	1.20 mg/l	1.50 mg/l	1.00 mg/l	0.63 mg/l	2.40 mg/l	5.10 mg/l	1.20 mg/l	2.60 mg/l	0.99 mg/l	5.20 mg/l	201300	295600	281760	159380	220320	100510	84320	1343190.0	2.49	Nitrit+nitrat-N	68600	232400	151800	189350	20862	16497	679509	2.24	23424	40080	47250	32700	20412	67920	231786	1.18	Nitrit+nitrat-N	271830	51000	51000	39105	275600	688535	2.65			Nitrit+nitrat-N	2943020	2.27	mg/l
Nitrit-N	mg/l	0.07 mg/l	0.10 mg/l	0.09 mg/l	0.05 mg/l	0.09 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.06 mg/l	0.01 mg/l	0.04 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.10 mg/l	0.01 mg/l	0.01 mg/l	0.01 mg/l	0.28 mg/l	6624.6	7611.7	10072.92	3340.85	8408.88	529	496	37084.0	0.07	Nitrit-N	490	4722.7	460	2158.59	366	351	8548	0.03	384	334	315	327	324	283	1967	0.01	Nitrit-N	5489.9	425	425	395	14787	21522	0.08			Nitrit-N	69121	0.05	mg/l
Nitrogen,total	mg/l	5.66 mg/l	5.61 mg/l	5.89 mg/l	5.64 mg/l	6.36 mg/l	3.49 mg/l	3.49 mg/l	3.17 mg/l	5.14 mg/l	4.45 mg/l	5.49 mg/l	2.33 mg/l	1.59 mg/l	1.57 mg/l	2.35 mg/l	3.21 mg/l	2.75 mg/l	2.04 mg/l	3.82 mg/l	7.32 mg/l	2.00 mg/l	3.10 mg/l	2.56 mg/l	9.48 mg/l	517890	414579	691486	345732	583848	184621	173104	2911260.0	5.41	Nitrogen,total	155330	426620	204700	297009	85278	55809	1224746	4.03	60288	78490	101115	89925	66096	108106	504020	2.56	Nitrogen,total	390156	85000	85000	101120	502440	1163716	4.48			Nitrogen,total	5803742	4.47	mg/l
Ortho-phosphat-P	mg/l	0.11 mg/l	0.06 mg/l	0.22 mg/l	0.05 mg/l	0.12 mg/l	0.08 mg/l	0.13 mg/l	0.06 mg/l	0.11 mg/l	0.08 mg/l	0.12 mg/l	0.09 mg/l	0.11 mg/l	0.09 mg/l	0.07 mg/l	0.05 mg/l	0.11 mg/l	0.12 mg/l	0.08 mg/l	0.20 mg/l	0.06 mg/l	0.04 mg/l	0.05 mg/l	0.25 mg/l	10065	4507.9	25828	2881.1	11016	3967.5	6448	64713.5	0.12	Ortho-phosphat-P	2793	9130	3496	6492	3367.2	3861	29139	0.1	3456	2204.4	1701	3597	3888	2292.3	17139	0.09	Ortho-phosphat-P	10660	2550	2550	1935.5	13250	30946	0.12			Ortho-phosphat-P	141937	0.11	mg/l
Oxygenmætning	pct	81.00 pct	82.00 pct	80.00 pct	80.00 pct	82.00 pct	82.00 pct	96.00 pct	97.00 pct	82.00 pct	87.00 pct	81.00 pct	88.00 pct	86.00 pct	88.00 pct	88.00 pct	87.00 pct	88.00 pct	83.00 pct	88.00 pct	82.00 pct	91.00 pct	81.00 pct	91.00 pct	82.00 pct										Oxygenmætning						3018600											Oxygenmætning										Oxygenmætning			pct
pH	pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.57 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH	7.06 pH		7.42 pH	7.54 pH	7.54 pH										pH																	pH										pH			pH
Phosphor, total-P	mg/l	0.22 mg/l	0.13 mg/l	0.36 mg/l	0.14 mg/l	0.25 mg/l	0.13 mg/l	0.16 mg/l	0.10 mg/l	0.24 mg/l	0.11 mg/l	0.22 mg/l	0.13 mg/l	0.16 mg/l	0.09 mg/l	0.08 mg/l	0.10 mg/l	0.14 mg/l	0.16 mg/l	0.18 mg/l	0.27 mg/l	0.11 mg/l	0.08 mg/l	0.11 mg/l	0.40 mg/l	20130	9607	42264	8582	22950	6877	7936	118346.0	0.22	Phosphor, total-P	4655	19920	5060	11902	4758	5616	51911	0.17	3456	2772.2	3150	4578	5184	5094	24234	0.12	Phosphor, total-P	14391	4675	4675	4345	21200	49286	0.19			Phosphor, total-P	243777	0.19	mg/l
Suspenderede stoffer	mg/l	2.90 mg/l	1.50 mg/l	0.30 mg/l	0.30 mg/l	3.10 mg/l	0.30 mg/l	0.30 mg/l	0.30 mg/l	2.80 mg/l	0.30 mg/l	1.20 mg/l	0.30 mg/l	0.30 mg/l	0.30 mg/l	0.93 mg/l	0.30 mg/l	0.97 mg/l	0.30 mg/l	0.30 mg/l	1.50 mg/l	0.74 mg/l	0.63 mg/l	0.30 mg/l	3.30 mg/l	265350	110850	35220	18390	284580	15870	14880	745140.0	1.38	Suspenderede stoffer	14700	232400	13800	64920	10980	10530	347330	1.14	11520	31062	9450	31719	9720	8490	101961	0.52	Suspenderede stoffer	79950	31450	31450	11850	174900	329600	1.27			Suspenderede stoffer	1524031	1.17	mg/l
Temperatur	grader C	9.10 grader C	8.10 grader C	8.40 grader C	8.40 grader C	8.40 grader C	9.70 grader C	9.40 grader C	10.30 grader C	9.80 grader C	12.30 grader C	13.50 grader C	15.60 grader C	15.30 grader C	15.00 grader C	15.30 grader C	15.50 grader C	16.10 grader C	17.20 grader C	15.60 grader C	14.00 grader C	11.30 grader C	12.40 grader C	11.10 grader C	10.40 grader C										Temperatur																	Temperatur										Temperatur			grader C
Vandføring	m3/d	91500.00 m3/d	73900.00 m3/d	117400.00 m3/d	61300.00 m3/d	91800.00 m3/d	52900.00 m3/d	49600.00 m3/d	49000.00 m3/d	83000.00 m3/d	46000.00 m3/d	54100.00 m3/d	36600.00 m3/d	35100.00 m3/d	38400.00 m3/d	33400.00 m3/d	31500.00 m3/d	32700.00 m3/d	32400.00 m3/d	28300.00 m3/d	53300.00 m3/d	42500.00 m3/d	43100.00 m3/d	39500.00 m3/d	53000.00 m3/d								538400									303800								196700								259700				Vandføring	1298600		m3/d
