StartTime	Parameter	Origin	Value
2016-03-16	EM.Outlet.Flow.m3.h	Outlet	2291.06528877696
2016-03-17	EM.Outlet.Flow.m3.h	Outlet	2260.61485321133
2016-03-18	EM.Outlet.Flow.m3.h	Outlet	2232.19525828556
2016-03-19	EM.Outlet.Flow.m3.h	Outlet	2137.28033305007
2016-03-20	EM.Outlet.Flow.m3.h	Outlet	2080.3765887894
2016-03-21	EM.Outlet.Flow.m3.h	Outlet	2278.28055542661
2016-03-22	EM.Outlet.Flow.m3.h	Outlet	2107.90072586756
2016-03-23	EM.Outlet.Flow.m3.h	Outlet	2049.20955325705
2016-03-24	EM.Outlet.Flow.m3.h	Outlet	1991.74529682743
2016-03-25	EM.Outlet.Flow.m3.h	Outlet	2030.48898445318
2016-03-26	EM.Outlet.Flow.m3.h	Outlet	1872.93345547844
2016-03-27	EM.Outlet.Flow.m3.h	Outlet	2696.55180254399
2016-03-28	EM.Outlet.Flow.m3.h	Outlet	2180.07382508026
2016-03-29	EM.Outlet.Flow.m3.h	Outlet	2142.67683805597
2016-03-30	EM.Outlet.Flow.m3.h	Outlet	2492.56536400508
2016-03-31	EM.Outlet.Flow.m3.h	Outlet	2040.07616241276
2016-04-01	EM.Outlet.Flow.m3.h	Outlet	1919.93312692132
2016-04-02	EM.Outlet.Flow.m3.h	Outlet	1837.07396886103
2016-04-03	EM.Outlet.Flow.m3.h	Outlet	1850.1123581291
2016-04-04	EM.Outlet.Flow.m3.h	Outlet	2400.34821110789
2016-04-05	EM.Outlet.Flow.m3.h	Outlet	3762.06524257015
2016-04-06	EM.Outlet.Flow.m3.h	Outlet	4311.90897998028
2016-04-07	EM.Outlet.Flow.m3.h	Outlet	3746.07902170542
2016-04-08	EM.Outlet.Flow.m3.h	Outlet	2866.19588338063
2016-04-09	EM.Outlet.Flow.m3.h	Outlet	2105.54894195463
2016-04-10	EM.Outlet.Flow.m3.h	Outlet	2032.47772762489
2016-04-11	EM.Outlet.Flow.m3.h	Outlet	2093.87091196678
2016-04-12	EM.Outlet.Flow.m3.h	Outlet	2855.5957094981
2016-04-13	EM.Outlet.Flow.m3.h	Outlet	2048.1805592371
