Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181123-275,MQ181123,LIB-Ribe-LT-100,,Ribe-LT-100,"","",Ribe,2016-07-06,27,2016,Summer,Recirculation,"","","","","",,,,,,,22.36615657,11.8564273,
MQ181123-276,MQ181123,LIB-Ribe-LT-103,,Ribe-LT-103,"","",Ribe,2016-07-20,29,2016,Summer,Recirculation,"","","","","",,,,,,,26.48378994,10.87511439,
MQ181123-277,MQ181123,LIB-Ribe-LT-106,,Ribe-LT-106,"","",Ribe,2016-08-03,31,2016,Summer,Recirculation,"","","","","",,,,,,,20.42769431,8.320088619,
MQ181123-278,MQ181123,LIB-Ribe-LT-109,,Ribe-LT-109,"","",Ribe,2016-08-17,33,2016,Summer,Recirculation,"","","","","",,,,,,,11.42843853,5.48090353,
MQ181123-279,MQ181123,LIB-Ribe-LT-112,,Ribe-LT-112,"","",Ribe,2016-08-31,35,2016,Summer,Recirculation,"","","","","",,,,,,,13.15526304,10.46693638,
MQ181123-280,MQ181123,LIB-Ribe-LT-115,,Ribe-LT-115,"","",Ribe,2016-09-14,37,2016,Summer,Recirculation,"","","","","",,,,,,,27.06404949,12.66917112,
MQ181123-281,MQ181123,LIB-Ribe-LT-118,,Ribe-LT-118,"","",Ribe,2016-09-28,39,2016,Fall,Recirculation,"","","","","",,,,,,,18.48109214,3.157058229,
MQ181123-282,MQ181123,LIB-Ribe-LT-121,,Ribe-LT-121,"","",Ribe,2016-10-12,41,2016,Fall,Recirculation,"","","","","",,,,,,,15.92283362,21.71049463,
MQ181123-283,MQ181123,LIB-Ribe-LT-124,,Ribe-LT-124,"","",Ribe,2016-10-26,43,2016,Fall,Recirculation,"","","","","",,,,,,,22.41964743,15.82622935,
MQ181123-284,MQ181123,LIB-Ribe-LT-127,,Ribe-LT-127,"","",Ribe,2016-11-09,45,2016,Fall,Recirculation,"","","","","",,,,,,,25.92562445,10.79685017,
MQ181123-285,MQ181123,LIB-Ribe-LT-130,,Ribe-LT-130,"","",Ribe,2016-11-23,47,2016,Fall,Recirculation,"","","","","",,,,,,,23.39294851,10.404325,
MQ181123-287,MQ181123,LIB-Ribe-LT-136,,Ribe-LT-136,"","",Ribe,2016-12-21,51,2016,Winter,Recirculation,"","","","","",,,,,,,16.2054049,9.442277128,
MQ181123-288,MQ181123,LIB-Ribe-LT-139,,Ribe-LT-139,"","",Ribe,2017-01-04,1,2017,Winter,Recirculation,"","","","","",,,,,,,18.90669333,14.40663681,
MQ181123-289,MQ181123,LIB-Ribe-LT-142,,Ribe-LT-142,"","",Ribe,2017-01-18,3,2017,Winter,Recirculation,"","","","","",,,,,,,28.59667892,12.38982806,
MQ181123-291,MQ181123,LIB-Ribe-LT-148,,Ribe-LT-148,"","",Ribe,2017-01-18,3,2017,Winter,Recirculation,"","","","","",,,,,,,42.92060096,10.30679574,
MQ181123-290,MQ181123,LIB-Ribe-LT-145,,Ribe-LT-145,"","",Ribe,2017-02-01,5,2017,Winter,Recirculation,"","","","","",,,,,,,18.5136518,17.10374223,
MQ181123-292,MQ181123,LIB-Ribe-LT-151,,Ribe-LT-151,"","",Ribe,2017-03-01,9,2017,Winter,Recirculation,"","","","","",,,,,,,40.80306061,8.930549535,
MQ181123-293,MQ181123,LIB-Ribe-LT-154,,Ribe-LT-154,"","",Ribe,2017-03-15,11,2017,Spring,Recirculation,"","","","","",,,,,,,8.88762268,9.626499061,
MQ181123-295,MQ181123,LIB-Ribe-LT-160,,Ribe-LT-160,"","",Ribe,2017-04-12,15,2017,Spring,Recirculation,"","","","","",,,,,,,24.65347225,5.657901074,
MQ181123-296,MQ181123,LIB-Ribe-LT-163,,Ribe-LT-163,"","",Ribe,2017-04-26,17,2017,Spring,Recirculation,"","","","","",,,,,,,26.49890693,12.37899148,
MQ181123-297,MQ181123,LIB-Ribe-LT-166,,Ribe-LT-166,"","",Ribe,2017-05-10,19,2017,Spring,Recirculation,"","","","","",,,,,,,19.92999674,10.43683475,
MQ181123-298,MQ181123,LIB-Ribe-LT-169,,Ribe-LT-169,"","",Ribe,2017-05-24,21,2017,Spring,Recirculation,"","","","","",,,,,,,16.82287548,20.94230121,
MQ181123-299,MQ181123,LIB-Ribe-LT-172,,Ribe-LT-172,"","",Ribe,2017-06-07,23,2017,Spring,Recirculation,"","","","","",,,,,,,35.45048607,11.06054038,
MQ181123-300,MQ181123,LIB-Ribe-LT-175,,Ribe-LT-175,"","",Ribe,2017-06-21,25,2017,Summer,Recirculation,"","","","","",,,,,,,34.90278618,9.483215335,
MQ181123-301,MQ181123,LIB-Ribe-LT-178,,Ribe-LT-178,"","",Ribe,2017-07-05,27,2017,Summer,Recirculation,"","","","","",,,,,,,35.88073864,9.991330733,
MQ181123-302,MQ181123,LIB-Ribe-LT-181,,Ribe-LT-181,"","",Ribe,2017-07-19,29,2017,Summer,Recirculation,"","","","","",,,,,,,21.73589469,9.48201127,
MQ181123-303,MQ181123,LIB-Ribe-LT-184,,Ribe-LT-184,"","",Ribe,2017-08-02,31,2017,Summer,Recirculation,"","","","","",,,,,,,22.77780362,10.20204209,
MQ181123-304,MQ181123,LIB-Ribe-LT-187,,Ribe-LT-187,"","",Ribe,2017-08-16,33,2017,Summer,Recirculation,"","","","","",,,,,,,24.46160287,13.83470597,
MQ181123-306,MQ181123,LIB-Ribe-LT-193,,Ribe-LT-193,"","",Ribe,2017-09-13,37,2017,Summer,Recirculation,"","","","","",,,,,,,26.37913391,23.03255792,
MQ181123-307,MQ181123,LIB-Ribe-LT-196,,Ribe-LT-196,"","",Ribe,2017-09-27,39,2017,Fall,Recirculation,"","","","","",,,,,,,34.29229266,18.97365506,
