Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ181221-231,MQ181221,LIB-Aalborg-Vest-LT-337,,,pre-S::Select,,Aalborg W,2016-10-31,2016,,,,,,,,,,,,,,,
MQ181221-232,MQ181221,LIB-Aalborg-Vest-LT-340,,,pre-S::Select,,Aalborg W,2016-11-07,2016,,,,,,,,,,,,,,,
MQ181221-233,MQ181221,LIB-Aalborg-Vest-LT-343,,,pre-S::Select,,Aalborg W,2016-11-14,2016,,,,,,,,,,,,,,,
MQ181221-234,MQ181221,LIB-Aalborg-Vest-LT-346,,,pre-S::Select,,Aalborg W,2016-11-22,2016,,,,,,,,,,,,,,,
MQ181221-235,MQ181221,LIB-Aalborg-Vest-LT-349,,,pre-S::Select,,Aalborg W,2016-11-28,2016,,,,,,,,,,,,,,,
MQ181221-236,MQ181221,LIB-Aalborg-Vest-LT-352,,,pre-S::Select,,Aalborg W,2016-12-05,2016,,,,,,,,,,,,,,,
MQ181221-237,MQ181221,LIB-Aalborg-Vest-LT-355,,,pre-S::Select,,Aalborg W,2016-12-15,2016,,,,,,,,,,,,,,,
MQ181221-238,MQ181221,LIB-Aalborg-Vest-LT-358,,,pre-S::Select,,Aalborg W,2016-12-21,2016,,,,,,,,,,,,,,,
MQ181221-239,MQ181221,LIB-Aalborg-Vest-LT-361,,,pre-S::Select,,Aalborg W,2016-12-28,2016,,,,,,,,,,,,,,,
MQ181221-240,MQ181221,LIB-Aalborg-Vest-LT-364,,,pre-S::Select,,Aalborg W,2017-01-02,2017,,,,,,,,,,,,,,,
MQ181221-241,MQ181221,LIB-Aalborg-Vest-LT-367,,,pre-S::Select,,Aalborg W,2017-01-09,2017,,,,,,,,,,,,,,,
MQ181221-242,MQ181221,LIB-Aalborg-Vest-LT-370,,,pre-S::Select,,Aalborg W,2017-01-16,2017,,,,,,,,,,,,,,,
MQ181221-243,MQ181221,LIB-Aalborg-Vest-LT-373,,,pre-S::Select,,Aalborg W,2017-01-25,2017,,,,,,,,,,,,,,,
MQ181221-244,MQ181221,LIB-Aalborg-Vest-LT-376,,,pre-S::Select,,Aalborg W,2017-01-30,2017,,,,,,,,,,,,,,,
MQ181221-245,MQ181221,LIB-Aalborg-Vest-LT-379,,,pre-S::Select,,Aalborg W,2017-02-07,2017,,,,,,,,,,,,,,,
MQ181221-246,MQ181221,LIB-Aalborg-Vest-LT-382,,,pre-S::Select,,Aalborg W,2017-02-15,2017,,,,,,,,,,,,,,,
MQ181221-247,MQ181221,LIB-Aalborg-Vest-LT-385,,,pre-S::Select,,Aalborg W,2017-02-21,2017,,,,,,,,,,,,,,,
MQ181221-248,MQ181221,LIB-Aalborg-Vest-LT-388,,,pre-S::Select,,Aalborg W,2017-02-28,2017,,,,,,,,,,,,,,,
MQ181221-249,MQ181221,LIB-Aalborg-Vest-LT-391,,,pre-S::Select,,Aalborg W,2017-03-08,2017,,,,,,,,,,,,,,,
MQ181221-250,MQ181221,LIB-Aalborg-Vest-LT-394,,,pre-S::Select,,Aalborg W,2017-03-13,2017,,,,,,,,,,,,,,,
MQ181221-251,MQ181221,LIB-Aalborg-Vest-LT-397,,,pre-S::Select,,Aalborg W,2017-03-20,2017,,,,,,,,,,,,,,,
