SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ210118-58,Viborg,2019-11-22,2019-47,AS
MQ210118-59,Viborg,2019-12-06,2019-49,AS
MQ210118-60,Viborg,2019-12-27,2019-52,AS
MQ210118-62,Viborg,2020-01-08,2020-2,AS
MQ210118-63,Viborg,2020-01-15,2020-3,AS
MQ210118-65,Viborg,2020-01-28,2020-4,AS
MQ210118-66,Viborg,2020-02-06,2020-6,AS
